ticker,alias,alias_type,detection_policy,confidence,reason
000001,ping an bank,name,safe_natural_language,0.90,accepted_name_alias
000002,china vanke,name,safe_natural_language,0.90,accepted_name_alias
000004,shenzhen cau technology,name,safe_natural_language,0.90,accepted_name_alias
000006,shenzhen zhenye,name,safe_natural_language,0.90,accepted_name_alias
000006,shenzhen zhenye group,name,safe_natural_language,0.90,accepted_name_alias
000007,shenzhen zero-seven,name,safe_natural_language,0.90,accepted_name_alias
000008,china high-speed railway technology,name,safe_natural_language,0.90,accepted_name_alias
000009,china baoan,name,safe_natural_language,0.90,accepted_name_alias
000009,china baoan group,name,safe_natural_language,0.90,accepted_name_alias
000010,shenzhen ecobeauty,name,safe_natural_language,0.90,accepted_name_alias
000014,shahe industry,name,safe_natural_language,0.90,accepted_name_alias
000021,shenzhen kaifa technology,name,safe_natural_language,0.90,accepted_name_alias
000027,shenzhen energy,name,safe_natural_language,0.90,accepted_name_alias
000027,shenzhen energy group,name,safe_natural_language,0.90,accepted_name_alias
000029,shenzhen special economic zone real estate & properties group,name,safe_natural_language,0.90,accepted_name_alias
000030,fawer automotive parts,name,safe_natural_language,0.90,accepted_name_alias
000031,grandjoy,name,safe_natural_language,0.90,accepted_name_alias
000031,grandjoy holdings group,name,safe_natural_language,0.90,accepted_name_alias
000032,shenzhen sed industry,name,safe_natural_language,0.90,accepted_name_alias
000034,digital china group,name,safe_natural_language,0.90,accepted_name_alias
000035,china tianying,name,safe_natural_language,0.90,accepted_name_alias
000036,china union,name,safe_natural_language,0.90,accepted_name_alias
000036,china union holdings,name,safe_natural_language,0.90,accepted_name_alias
000039,china international marine containers,name,safe_natural_language,0.90,accepted_name_alias
000039,china international marine containers group,name,safe_natural_language,0.90,accepted_name_alias
000040,kr motors,name,safe_natural_language,0.90,accepted_name_alias
000042,shenzhen centralcon investment,name,safe_natural_language,0.90,accepted_name_alias
000042,shenzhen centralcon investment holding,name,safe_natural_language,0.90,accepted_name_alias
000048,shenzhen kondarl,name,safe_natural_language,0.90,accepted_name_alias
000048,shenzhen kondarl group,name,safe_natural_language,0.90,accepted_name_alias
000049,shenzhen desay battery technology,name,safe_natural_language,0.90,accepted_name_alias
000059,north huajin chemical industries,name,safe_natural_language,0.90,accepted_name_alias
000060,shenzhen zhongjin lingnan nonfemet,name,safe_natural_language,0.90,accepted_name_alias
000061,shenzhen agricultural products,name,safe_natural_language,0.90,accepted_name_alias
000062,shenzhen huaqiang industry,name,safe_natural_language,0.90,accepted_name_alias
000065,norinco international cooperation,name,safe_natural_language,0.90,accepted_name_alias
000066,china greatwall computer shenzhen,name,safe_natural_language,0.90,accepted_name_alias
000068,shenzhen huakong seg,name,safe_natural_language,0.90,accepted_name_alias
000069,shenzhen overseas chinese town,name,safe_natural_language,0.90,accepted_name_alias
000078,shenzhen neptunus bioengineering,name,safe_natural_language,0.90,accepted_name_alias
000080,hite jinro,name,safe_natural_language,0.90,accepted_name_alias
000088,shenzhen yan tian port,name,safe_natural_language,0.90,accepted_name_alias
000088,shenzhen yan tian port holdings,name,safe_natural_language,0.90,accepted_name_alias
000089,shenzhen airport,name,safe_natural_language,0.90,accepted_name_alias
000090,shenzhen tagen,name,safe_natural_language,0.90,accepted_name_alias
000090,shenzhen tagen group,name,safe_natural_language,0.90,accepted_name_alias
000096,shenzhen guangju energy,name,safe_natural_language,0.90,accepted_name_alias
000099,citic offshore helicopter,name,safe_natural_language,0.90,accepted_name_alias
0000H0,kodex nifty100,name,safe_natural_language,0.90,accepted_name_alias
0000Y0,hk 26-12 aa,name,safe_natural_language,0.90,accepted_name_alias
0001,supercomnet,name,safe_natural_language,0.90,accepted_name_alias
0001,supercomnet technologies,name,safe_natural_language,0.90,accepted_name_alias
000100,yuhan,name,safe_natural_language,0.90,accepted_name_alias
000120,cj korea express,name,safe_natural_language,0.90,accepted_name_alias
000140,hitejinro,name,safe_natural_language,0.90,accepted_name_alias
000140,hitejinro holdings,name,safe_natural_language,0.90,accepted_name_alias
000150,doosan,name,safe_natural_language,0.90,accepted_name_alias
000151,china national complete plant import & export,name,safe_natural_language,0.90,accepted_name_alias
000153,anhui fengyuan,name,safe_natural_language,0.90,accepted_name_alias
000153,anhui fengyuan pharmaceutical,name,safe_natural_language,0.90,accepted_name_alias
000156,wasu media,name,safe_natural_language,0.90,accepted_name_alias
000156,wasu media holding,name,safe_natural_language,0.90,accepted_name_alias
000158,shijiazhuang changshan textile,name,safe_natural_language,0.90,accepted_name_alias
000159,xinjiang international industry,name,safe_natural_language,0.90,accepted_name_alias
000166,shenwan hongyuan,name,safe_natural_language,0.90,accepted_name_alias
000166,shenwan hongyuan group,name,safe_natural_language,0.90,accepted_name_alias
000180,sungchang hold,name,safe_natural_language,0.90,accepted_name_alias
0002,kotra industries,name,safe_natural_language,0.90,accepted_name_alias
000210,dl holdings,name,safe_natural_language,0.90,accepted_name_alias
000220,yuyu pharma,name,safe_natural_language,0.90,accepted_name_alias
000230,ildong,name,safe_natural_language,0.90,accepted_name_alias
000230,ildong holdings,name,safe_natural_language,0.90,accepted_name_alias
000240,hankook tire worldwide,name,safe_natural_language,0.90,accepted_name_alias
000250,sam chun dang pharm,name,safe_natural_language,0.90,accepted_name_alias
000301,jiangsu wujiang china eastern silk market,name,safe_natural_language,0.90,accepted_name_alias
000320,norooholdings,name,safe_natural_language,0.90,accepted_name_alias
000333,midea,name,safe_natural_language,0.90,accepted_name_alias
000333,midea group,name,safe_natural_language,0.90,accepted_name_alias
