ticker,exchange,asset_type,name,cotahist_ticker,cotahist_name,cotahist_bdi_code,cotahist_market_type,cotahist_date,cotahist_isin,decision
2WAV3,B3,Stock,2W ECOBANK S.A.,,,,,,,no_cotahist_match
A6OP3,B3,Stock,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,,,,,,,no_cotahist_match
AFOF11,B3,ETF,Alianza Fofii Fundo De Investimento Imobiliario,,,,,,,no_cotahist_match
AGBK4,B3,Stock,BANCO AGIBANK S.A.,,,,,,,no_cotahist_match
AGCX11,B3,ETF,FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,,,,,,,no_cotahist_match
AGPL11,B3,ETF,MAGNETIS TEVA AÇÕES AGRONEGOCIO ETF FDO IND,,,,,,,no_cotahist_match
AGRA4,B3,Stock,AGRALE S/A,,,,,,,no_cotahist_match
AMZG3,B3,Stock,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,no_cotahist_match
AQLL11,B3,ETF,ÁQUILLA FDO INV IMOB - FII,,,,,,,no_cotahist_match
ATEA3,B3,Stock,ATHENA SAUDE BRASIL S.A.,,,,,,,no_cotahist_match
BCEE3,B3,Stock,BANCO BESA S/A,,,,,,,no_cotahist_match
BCEE5,B3,Stock,BANCO BESA S/A,,,,,,,no_cotahist_match
BCPS3,B3,Stock,CLARO S.A.,,,,,,,no_cotahist_match
BCPS4,B3,Stock,CLARO S.A.,,,,,,,no_cotahist_match
BEGB4,B3,Stock,BANCO BERJ S.A.,,,,,,,no_cotahist_match
BFFT3,B3,Stock,Bluefit Academias de Ginástica e Participações S.A,,,,,,,no_cotahist_match
BNAC3,B3,Stock,BANCO NACIONAL S/A,,,,,,,no_cotahist_match
BNAC4,B3,Stock,BANCO NACIONAL S/A,,,,,,,no_cotahist_match
BNRG3,B3,Stock,BRAZIL ENERGY S.A.,,,,,,,no_cotahist_match
BRBI3,B3,Stock,BRBI BR PARTNERS S.A.,,,,,,,no_cotahist_match
BRBI4,B3,Stock,BRBI BR PARTNERS S.A.,,,,,,,no_cotahist_match
BTCE11,B3,ETF,BITCOIN ETC KARDINAL FUNDO DE ÍNDICE – IE,,,,,,,no_cotahist_match
BVEN3,B3,Stock,BOA VISTA ENERGIA S.A.,,,,,,,no_cotahist_match
C1GT3,B3,Stock,CELG TRANSMISSÃO S.A. - CELG T,,,,,,,no_cotahist_match
C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,,,,,,,no_cotahist_match
CATA3,B3,Stock,CIA INDUSTRIAL CATAGUASES,,,,,,,no_cotahist_match
CATA4,B3,Stock,CIA INDUSTRIAL CATAGUASES,,,,,,,no_cotahist_match
CBOH3,B3,Stock,CBO HOLDING S.A.,,,,,,,no_cotahist_match
CCAT3,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,no_cotahist_match
CCAT4,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,no_cotahist_match
CEAC3,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,no_cotahist_match
CEAC4,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,no_cotahist_match
CEAG3,B3,Stock,CIA DE ENTREPOSTOS E ARMAZENS GERAIS SP,,,,,,,no_cotahist_match
CEAL3,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,no_cotahist_match
CEAL4,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,no_cotahist_match
CEAP3,B3,Stock,COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA,,,,,,,no_cotahist_match
CEBD3,B3,Stock,Neoenergia Distribuicao Brasilia S.A,,,,,,,no_cotahist_match
CEEP3,B3,Stock,CIA EST. DE ENERG. ELETRICA PARTICIPAÇÕES CEEE-PAR,,,,,,,no_cotahist_match
CERO3,B3,Stock,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S/A,,,,,,,no_cotahist_match
CESA3,B3,Stock,CIA ESTADUAL DE SILOS E ARMAZENS,,,,,,,no_cotahist_match
CFHO3,B3,Stock,CARVALHO HOLDINGS SA,,,,,,,no_cotahist_match
CFHO4,B3,Stock,CARVALHO HOLDINGS SA,,,,,,,no_cotahist_match
CGOS3,B3,Stock,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,,,,,,,no_cotahist_match
CLNT3,B3,Stock,CLARANET TECHNOLOGY S.A.,,,,,,,no_cotahist_match
CMNS3,B3,Stock,CMN SOLUTIONS AO18 PARTICIPACOES S.A.,,,,,,,no_cotahist_match
CNRT5,B3,Stock,CICANORTE IND CONSERVAS ALIMENTICIAS S.A,,,,,,,no_cotahist_match
COCN5,B3,Stock,CIA DE COCOS DO NORDESTE,,,,,,,no_cotahist_match
CONX3,B3,Stock,TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.,,,,,,,no_cotahist_match
CPCH3,B3,Stock,CAPITAL CENTER HOTEIS S.A.,,,,,,,no_cotahist_match
CPCH7,B3,Stock,CAPITAL CENTER HOTEIS S.A.,,,,,,,no_cotahist_match
CPIS12,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,no_cotahist_match
CPIS3,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,no_cotahist_match
CPIS4,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,no_cotahist_match
CPNO7,B3,Stock,COPENOR - CIA PETROQUIMICA DO NORDESTE,,,,,,,no_cotahist_match
CPTS11B,B3,ETF,Capitania Securities II Fundo Investimento Imobiliario FII,,,,,,,no_cotahist_match
CRML4,B3,Stock,CARBOMIL S.A.,,,,,,,no_cotahist_match
CRPC4,B3,Stock,CRP CADERI CAPITAL DE RISCO S/A,,,,,,,no_cotahist_match
CRTE3,B3,Stock,CONC RIO-TERESOPOLIS S.A.,,,,,,,no_cotahist_match
CRTE5,B3,Stock,CONC RIO-TERESOPOLIS S.A.,,,,,,,no_cotahist_match
CSAL4,B3,Stock,CIA ABASTEC. D'AGUA E SAN. EST. ALAGOAS,,,,,,,no_cotahist_match
CSAM3,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,,,,,,,no_cotahist_match
CSAM4,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,,,,,,,no_cotahist_match
DASS3,B3,Stock,DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS SA,,,,,,,no_cotahist_match
DNEN3B,B3,Stock,DINAMICA ENERGIA S.A.,,,,,,,no_cotahist_match
DTEN3,B3,Stock,DETEN QUIMICA S.A.,,,,,,,no_cotahist_match
DTEN6,B3,Stock,DETEN QUIMICA S.A.,,,,,,,no_cotahist_match
DXXI3,B3,Stock,DUXXI IMOBILIÁRIA S.A.,,,,,,,no_cotahist_match
E3XT3,B3,Stock,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,,,,,,,no_cotahist_match
EBRK11,B3,ETF,INVESTO BLUESTAR US LISTED E-BROKERS ETF FDO INV,,,,,,,no_cotahist_match
EBTL3,B3,Stock,EMBRATEL - EMPR.BRASILEIRA DE TELEC S.A.,,,,,,,no_cotahist_match
EC3S3,B3,Stock,ENERGETICA CORUMBA III S.A.,,,,,,,no_cotahist_match
EC3S4,B3,Stock,ENERGETICA CORUMBA III S.A.,,,,,,,no_cotahist_match
EESG3,B3,Stock,ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,,,,,,,no_cotahist_match
EGCE3,B3,Stock,ENERGISA GERACAO CENTRAIS EOLICAS RN S.A.,,,,,,,no_cotahist_match
ELBR4,B3,Stock,ELEBRA S/A ELETRONICA BRASILEIRA,,,,,,,no_cotahist_match
EMBP3,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,,,,,,,no_cotahist_match
EMBP4,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,,,,,,,no_cotahist_match
ENAC3,B3,Stock,CIA ARMAZENS GERAIS ENTREPOSTOS DO ACRE,,,,,,,no_cotahist_match
EPTR4,B3,Stock,EMPR TURISMO DE PERNAMBUCO S.A. -EMPETUR,,,,,,,no_cotahist_match
ESGG11,B3,ETF,INVESTO FTSE US ALL CAP CHOICE ETF FDO INV IND IE,,,,,,,no_cotahist_match
ESGS3,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,,,,,,,no_cotahist_match
ESGS4,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,,,,,,,no_cotahist_match
ESSD3,B3,Stock,ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,no_cotahist_match
ESSE5,B3,Stock,ESSENCIA AGROPECUARIA S.A.,,,,,,,no_cotahist_match
ETGO3,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,,,,,,,no_cotahist_match
ETGO4,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,,,,,,,no_cotahist_match
ETHI11,B3,ETF,IT NOW BLOOMBERG GALAXY ETHEREUM FUNDO DE ÍNDICE,,,,,,,no_cotahist_match
F8DF5,B3,Stock,FRIGORIFICO DIAS S/A - FRIGODIAS,,,,,,,no_cotahist_match
FAEL6,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,,,,,,,no_cotahist_match
FAEL7,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,,,,,,,no_cotahist_match
FGRT5,B3,Stock,FRIGORIFICO REDENTOR S.A.,,,,,,,no_cotahist_match
FMNP3,B3,Stock,FIRMINOPOLIS TRANSMISSAO S.A.,,,,,,,no_cotahist_match
FNUV3,B3,Stock,FENAUVA-FEIRA NAC DA UVA TUR E EMPR S.A.,,,,,,,no_cotahist_match
FRNV3,B3,Stock,CIA DE NAVEG DO SAO FRANCISCO - FRANAVE,,,,,,,no_cotahist_match
FTRO3,B3,Stock,FRUTOS TROPICAIS S/A,,,,,,,no_cotahist_match
GENT3,B3,Stock,LG INFORMÁTICA S.A.,,,,,,,no_cotahist_match
GPLA5,B3,Stock,GEPLAN HOTEIS S.A.,,,,,,,no_cotahist_match
GUNI3,B3,Stock,GRUPO UNI.CO S.A.,,,,,,,no_cotahist_match
H2OO11,B3,ETF,TREND ETF NASDAQ WATER RESOURCE FDO INV DE ÍNDICE,,,,,,,no_cotahist_match
HCAR3,B3,Stock,HOSPITAL CARE CALEDONIA S.A.,,,,,,,no_cotahist_match
HEDA3,B3,Stock,HEDERA INVESTIMENTOS E PARTICIPAÇÕES S.A,,,,,,,no_cotahist_match
HLJP3,B3,Stock,HOTEL LAJE DE PEDRA S.A.,,,,,,,no_cotahist_match
