listing_key,ticker,exchange,asset_type,name,b3_code,b3_name,b3_sector_pt,b3_subsector,b3_segment,sector_update,source_url,decision,verification_evidence_required,official_source_context,sector_review_context,apply_gate_context
B3::2WAV3,2WAV3,B3,Stock,2W ECOBANK S.A.,2WAV,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=2WAV;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::A6OP3,A6OP3,B3,Stock,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,A6OP,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=A6OP;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::ADMF3,ADMF3,B3,Stock,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA,ADMF,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=ADMF;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::AGBK4,AGBK4,B3,Stock,BANCO AGIBANK S.A.,AGBK,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=AGBK;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::AGRA4,AGRA4,B3,Stock,AGRALE S/A,AGRA,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=AGRA;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::AMZG3,AMZG3,B3,Stock,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.,AMZG,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=AMZG;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::ATEA3,ATEA3,B3,Stock,ATHENA SAUDE BRASIL S.A.,ATEA,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=ATEA;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::AUAU99,AUAU99,B3,Stock,UNIÃO PET PARTICIPAÇÕES S.A.,AUAU,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=AUAU;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BCEE3,BCEE3,B3,Stock,BANCO BESA S/A,BCEE,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BCEE;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BCEE5,BCEE5,B3,Stock,BANCO BESA S/A,BCEE,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BCEE;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BCPS3,BCPS3,B3,Stock,CLARO S.A.,BCPS,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BCPS;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BCPS4,BCPS4,B3,Stock,CLARO S.A.,BCPS,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BCPS;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BEGB4,BEGB4,B3,Stock,BANCO BERJ S.A.,BEGB,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BEGB;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BETP3,BETP3,B3,Stock,BETAPART PARTICIPACOES S.A.,BETP,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BETP;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BFFT3,BFFT3,B3,Stock,Bluefit Academias de Ginástica e Participações S.A,BFFT,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BFFT;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BNAC3,BNAC3,B3,Stock,BANCO NACIONAL S/A,BNAC,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BNAC;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BNAC4,BNAC4,B3,Stock,BANCO NACIONAL S/A,BNAC,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BNAC;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BNRG3,BNRG3,B3,Stock,BRAZIL ENERGY S.A.,BNRG,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BNRG;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::BVEN3,BVEN3,B3,Stock,BOA VISTA ENERGIA S.A.,BVEN,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=BVEN;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::C1GT3,C1GT3,B3,Stock,CELG TRANSMISSÃO S.A. - CELG T,C1GT,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=C1GT;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::C3RP3,C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,C3RP,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=C3RP;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::CBOH3,CBOH3,B3,Stock,CBO HOLDING S.A.,CBOH,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=CBOH;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::CCAT3,CCAT3,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,CCAT,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=CCAT;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::CCAT4,CCAT4,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,CCAT,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=CCAT;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::CEAC3,CEAC3,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,CEAC,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=CEAC;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
B3::CEAC4,CEAC4,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,CEAC,,,,,,,no_b3_code_match,official_b3_sector_classification_code_root_match_required_before_sector_update,b3_code=CEAC;b3_name=none;b3_source_url=none,b3_sector_pt=none;b3_subsector=none;b3_segment=none;sector_update=none,decision=no_b3_code_match;verification_evidence_required=official_b3_sector_classification_code_root_match_required_before_sector_update
