ticker,exchange,asset_type,name,bse_scrip_code,bse_security_id,bse_name,bse_isin,bse_sector,bse_industry,bse_group,bse_subgroup,sector_update,name_match,isin_match,decision,error
1STCUS,BSE_IN,Stock,First Custodian Fund India Ltd,511122,1STCUS,First Custodian Fund India Ltd,INE609B01018,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
3BBLACKBIO,BSE_IN,Stock,3B BlackBio Dx Ltd,532067,3BBLACKBIO,3B BlackBio Dx Ltd,INE994E01018,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,Health Care,True,True,accept,
3BFILMS,BSE_IN,Stock,3B Films Ltd,544412,3BFILMS,3B Films Ltd,INE0TE101010,Industrials,Capital Goods,Industrial Products,Packaging,Industrials,True,True,accept,
3CIT,BSE_IN,Stock,3C IT Solutions and Telecoms (India) Ltd,544190,3CIT,3C IT Solutions and Telecoms (India) Ltd,INE0R7D01018,Information Technology,Information Technology,IT - Services,IT Enabled Services,Information Technology,True,True,accept,
4THGEN,BSE_IN,Stock,Fourth Generation Information Systems Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
7NR,BSE_IN,Stock,7NR Retail Ltd,540615,7NR,7NR Retail Ltd,INE413X01035,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,Consumer Discretionary,True,True,accept,
7SEASL,BSE_IN,Stock,7Seas Entertainment Ltd,540874,7SEASL,7Seas Entertainment Ltd,INE454F01010,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Digital Entertainment,Consumer Discretionary,True,True,accept,
A1L,BSE_IN,Stock,A-1 Ltd,542012,A1L,A-1 Ltd,INE911Z01025,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals,Materials,False,True,accept,
AADIIND,BSE_IN,Stock,Aadi Industries Ltd,530027,AADIIND,Aadi Industries Ltd,INE563D01013,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,Materials,True,True,accept,
AAIL,BSE_IN,Stock,Akar Auto Industries Ltd,530621,AAIL,Akar Auto Industries Ltd,INE864E01021,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Consumer Discretionary,True,True,accept,
AANANDALAK,BSE_IN,Stock,Aananda Lakshmi Spinning Mills Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
AANCHALISP,BSE_IN,Stock,Aanchal Ispat Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
AAPLUSTRAD,BSE_IN,Stock,AA Plus Tradelink Ltd,543319,AAPLUSTRAD,AA Plus Tradelink Ltd,INE0C5901022,Services,Services,Commercial Services & Supplies,Trading & Distributors,Industrials,True,True,accept,
AARCON,BSE_IN,Stock,Aarcon Facilities Ltd,532024,AARCON,Aarcon Facilities Ltd,INE056J01015,Financial Services,Financial Services,Finance,Other Financial Services,Financials,True,True,accept,
AARSHYAM,BSE_IN,Stock,Aar Shyam India Investment Company Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
AASHKA,BSE_IN,Stock,Aashka Hospitals Ltd,543346,AASHKA,Aashka Hospitals Ltd,INE0EAX01014,Healthcare,Healthcare,Healthcare Services,Hospital,Health Care,True,True,accept,
AASTAFIN,BSE_IN,Stock,Aastamangalam Finance Ltd,511764,AASTAFIN,Aastamangalam Finance Ltd,INE819K01014,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
AAYUSH,BSE_IN,Stock,Aayush Wellness Ltd,539528,AAYUSH,Aayush Wellness Ltd,INE430R01023,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,Consumer Staples,True,True,accept,
AAYUSHBULL,BSE_IN,Stock,Aayush Art And Bullion Ltd,540718,AAYUSHBULL,Aayush Art And Bullion Ltd,INE777X01017,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Consumer Discretionary,True,True,accept,
ABATEAS,BSE_IN,Stock,Abate As Industries Ltd,531658,ABATEAS,Abate As Industries Ltd,INE454E01013,Healthcare,Healthcare,Healthcare Services,Hospital,Health Care,True,True,accept,
ABHIJIT,BSE_IN,Stock,Abhijit Trading Company Ltd,539560,ABHIJIT,Abhijit Trading Company Ltd,INE994N01019,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,Consumer Staples,True,True,accept,
ABRFL,BSE_IN,Stock,Abram Food Ltd,544422,ABRFL,Abram Food Ltd,INE0ZDY01011,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,Consumer Staples,True,True,accept,
ABRIL,BSE_IN,Stock,Abril Paper Tech Ltd,544500,ABRIL,Abril Paper Tech Ltd,INE15MX01014,Industrials,Capital Goods,Industrial Products,Other Industrial Products,Industrials,True,True,accept,
ACCEDERE,BSE_IN,Stock,Accedere Ltd,531533,ACCEDERE,Accedere Ltd,INE578B01015,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,Information Technology,True,True,accept,
