listing_key,ticker,exchange,alias,alias_type
ADX::2POINTZERO,2POINTZERO,ADX,AEM001001019,isin
ADX::2POINTZERO,2POINTZERO,ADX,two point zero group pjsc,name
ADX::ABNIC,ABNIC,ADX,AEA001701019,isin
ADX::ABNIC,ABNIC,ADX,al buhaira national insurance,name
ADX::ADAVIATION,ADAVIATION,ADX,AEA001001014,isin
ADX::ADAVIATION,ADAVIATION,ADX,abu dhabi aviation,name
ADX::ADCB,ADCB,ADX,AEA000201011,isin
ADX::ADCB,ADCB,ADX,abu dhabi commercial bank,name
ADX::ADNHC,ADNHC,ADX,AEE01486A245,isin
ADX::ADNHC,ADNHC,ADX,a d n h catering,name
ADX::ADNIC,ADNIC,ADX,AEA001101012,isin
ADX::ADNIC,ADNIC,ADX,abu dhabi national insurance,name
ADX::ADNOCDIST,ADNOCDIST,ADX,AEA006101017,isin
ADX::ADNOCDIST,ADNOCDIST,ADX,abu dhabi national oil for distribution,name
ADX::ADNOCDRILL,ADNOCDRILL,ADX,AEA007301012,isin
ADX::ADNOCDRILL,ADNOCDRILL,ADX,adnoc drilling pjsc,name
ADX::ADNOCGAS,ADNOCGAS,ADX,AEE01195A234,isin
ADX::ADNOCGAS,ADNOCGAS,ADX,adnoc gas,name
ADX::ADNOCLS,ADNOCLS,ADX,AEE01268A239,isin
ADX::ADNOCLS,ADNOCLS,ADX,adnoc logistics & services,name
ADX::ADPORTS,ADPORTS,ADX,AEA004601018,isin
ADX::ADPORTS,ADPORTS,ADX,abu dhabi ports pjsc,name
ADX::ADSB,ADSB,ADX,AEA000901016,isin
ADX::ADSB,ADSB,ADX,abu dhabi ship building,name
ADX::AFNIC,AFNIC,ADX,AEA002901014,isin
ADX::AFNIC,AFNIC,ADX,al fujairah national insurance,name
ADX::AGILITY,AGILITY,ADX,AEE01376A248,isin
ADX::AGILITY,AGILITY,ADX,agility global,name
ADX::AGTHIA,AGTHIA,ADX,AEA001901015,isin
ADX::AGTHIA,AGTHIA,ADX,agthia group,name
ADX::AIPOWR,AIPOWR,ADX,IE000591PJN0,isin
ADX::AIPOWR,AIPOWR,ADX,boreas s&p ai data power & infrastructure - aed,name
ADX::AKIC,AKIC,ADX,AEA000401017,isin
ADX::AKIC,AKIC,ADX,al khazna insurance,name
ADX::ALAIN,ALAIN,ADX,AEA000101013,isin
ADX::ALAIN,ALAIN,ADX,al ain alahlia insurance,name
ADX::ALEFEDT,ALEFEDT,ADX,AEE01388A243,isin
ADX::ALEFEDT,ALEFEDT,ADX,alef education holding,name
ADX::ALPHADATA,ALPHADATA,ADX,AEE01575A252,isin
ADX::ALPHADATA,ALPHADATA,ADX,alpha data pjsc,name
ADX::ALPHADHABI,ALPHADHABI,ADX,AEA007601015,isin
ADX::ALPHADHABI,ALPHADHABI,ADX,alpha dhabi holding pjsc,name
ADX::ARAM,ARAM,ADX,AES000601014,isin
ADX::ARAM,ARAM,ADX,aram group,name
ADX::AWNIC,AWNIC,ADX,AEA001601011,isin
ADX::AWNIC,AWNIC,ADX,al wathba national insurance,name
ADX::BILDCO,BILDCO,ADX,AEA000501014,isin
ADX::BILDCO,BILDCO,ADX,abu dhabi national for building materials,name
ADX::BONDAE,BONDAE,ADX,IE000AUWE6L4,isin
ADX::BONDAE,BONDAE,ADX,chimera jp morgan uae bond - class-d income,name
ADX::BOROUGE,BOROUGE,ADX,AEE01072B225,isin
ADX::BOROUGE,BOROUGE,ADX,borouge,name
ADX::BURJEEL,BURJEEL,ADX,AEE01119B224,isin
ADX::BURJEEL,BURJEEL,ADX,burjeel holdings,name
ADX::CHADX15,CHADX15,ADX,AEC01137C226,isin
ADX::CHADX15,CHADX15,ADX,chimera ftse adx 15 income,name
ADX::CHHK,CHHK,ADX,AEC01272C239,isin
ADX::CHHK,CHHK,ADX,chimera s&p china hk shariah - - income,name
ADX::DHAFRA,DHAFRA,ADX,AEA000601012,isin
ADX::DHAFRA,DHAFRA,ADX,al dhafra insurance,name
ADX::DRIVE,DRIVE,ADX,AEE000601014,isin
ADX::DRIVE,DRIVE,ADX,emirates driving,name
ADX::E7,E7,ADX,AEE01073A225,isin
ADX::E7,E7,ADX,e7 group pjsc,name
ADX::EAND,EAND,ADX,AEE000401019,isin
ADX::EAND,EAND,ADX,emirates telecom. group etisalat group pjsc,name
ADX::EASYLEASE,EASYLEASE,ADX,AEE002801018,isin
ADX::EASYLEASE,EASYLEASE,ADX,easy lease motorcycle rental pjsc,name
ADX::EMSTEEL,EMSTEEL,ADX,AEA002801016,isin
ADX::EMSTEEL,EMSTEEL,ADX,emsteel building materials pjsc,name
ADX::ESHRAQ,ESHRAQ,ADX,AEE000901018,isin
ADX::FBI,FBI,ADX,AEF000501013,isin
ADX::FERTIGLB,FERTIGLB,ADX,AEF000901015,isin
ADX::FERTIGLB,FERTIGLB,ADX,fertiglobe,name
ADX::FH,FH,ADX,AEF000401016,isin
ADX::FH,FH,ADX,finance house,name
ADX::FIDELITYUNITED,FIDELITYUNITED,ADX,AEU000301017,isin
ADX::GCEM,GCEM,ADX,AEG000101010,isin
ADX::GCEM,GCEM,ADX,gulf cement,name
ADX::GHITHA,GHITHA,ADX,AEZ000101010,isin
ADX::GMPC,GMPC,ADX,AEG000401014,isin
ADX::GMPC,GMPC,ADX,gulf medical projects,name
ADX::GRMNY,GRMNY,ADX,IE000EK4H397,isin
ADX::GRMNY,GRMNY,ADX,chimera s&p germany - - income,name
ADX::HAYAH,HAYAH,ADX,AEG000801015,isin
ADX::INB,INB,ADX,AEI000101016,isin
ADX::INB,INB,ADX,invest bank,name
ADX::INVICTUS,INVICTUS,ADX,AEE01078I227,isin
ADX::INVICTUS,INVICTUS,ADX,invictus investment,name
ADX::JPANI,JPANI,ADX,IE000M10VZK6,isin
ADX::JPANI,JPANI,ADX,chimera s&p japan,name
ADX::JULPHAR,JULPHAR,ADX,AEG000201018,isin
ADX::JULPHAR,JULPHAR,ADX,gulf pharmaceutical industries,name
ADX::KICO,KICO,ADX,AEG000701017,isin
