isin,listing_key,ticker,exchange,is_primary
AN8068571086,LSE::0SCL,0SCL,LSE,1
AN8068571086,FSX::SCL,SCL,FSX,0
AN8068571086,XSTU::SCL,SCL,XSTU,0
AN8068571086,BMV::SLBN,SLBN,BMV,0
ARGCLA010015,BCBA::GCLA,GCLA,BCBA,1
ARGCLA010015,OTC::GCLAF,GCLAF,OTC,0
ARGRSU300079,BCBA::SUPV,SUPV,BCBA,1
ARGRSU300079,NYSE::SUPV,SUPV,NYSE,0
ARP2341J1058,BCBA::CECO2,CECO2,BCBA,1
ARP2341J1058,OTC::EDCFF,EDCFF,OTC,0
ARP2354W1188,BCBA::CEPU,CEPU,BCBA,1
ARP2354W1188,NYSE::CEPU,CEPU,NYSE,0
ARP290071462,BCBA::COME,COME,BCBA,1
ARP290071462,OTC::CVVIF,CVVIF,OTC,0
ARP432631215,BCBA::PAMP,PAMP,BCBA,1
ARP432631215,OTC::PPENF,PPENF,OTC,0
ARP6356B1059,BCBA::LONG,LONG,BCBA,1
ARP6356B1059,TSX::LONG,LONG,TSX,0
ARP6558L1178,BCBA::METR,METR,BCBA,1
ARP6558L1178,LSE::METR,METR,LSE,0
ARP689251253,BCBA::MOLI5,MOLI5,BCBA,1
ARP689251253,OTC::MOPLF,MOPLF,OTC,0
ARP689251337,BCBA::MOLI,MOLI,BCBA,1
ARP689251337,IDX::MOLI,MOLI,IDX,0
ARP7905G1652,BCBA::POLL,POLL,BCBA,1
ARP7905G1652,IDX::POLL,POLL,IDX,0
AT000000ETS9,VSE::ETS,ETS,VSE,1
AT000000ETS9,FSX::7YF,7YF,FSX,0
AT000000STR1,VSE::STR,STR,VSE,1
AT000000STR1,LSE::0MKP,0MKP,LSE,0
AT000000STR1,XETRA::XD4,XD4,XETRA,0
AT000000STR1,OTC::STBBF,STBBF,OTC,0
AT000000STR1,FSX::XD4,XD4,FSX,0
AT000000STR1,Munich::XD4,XD4,Munich,0
AT000000STR1,XDUS::XD4,XD4,XDUS,0
AT000000STR1,XHAN::XD4,XD4,XHAN,0
AT000000STR1,XSTU::XD4,XD4,XSTU,0
AT00000AMAG3,VSE::AMAG,AMAG,VSE,1
AT00000AMAG3,LSE::0Q7L,0Q7L,LSE,0
AT00000AMAG3,FSX::AM8,AM8,FSX,0
AT00000AMAG3,XSTU::AM8,AM8,XSTU,0
AT00000FACC2,VSE::FACC,FACC,VSE,1
AT00000FACC2,LSE::0QW9,0QW9,LSE,0
AT00000FACC2,FSX::1FC,1FC,FSX,0
AT00000FACC2,XSTU::1FC,1FC,XSTU,0
AT00000VIE62,VSE::FLU,FLU,VSE,1
AT00000VIE62,LSE::0RHU,0RHU,LSE,0
AT00000VIE62,OTC::FGWLF,FGWLF,OTC,0
