listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,core_action,fill_action,review_needed,recommended_next_source,source_gate,official_source_context,official_capability,official_masterfile_match,official_masterfile_sources,official_masterfile_sector_values,official_masterfile_exposes_sector,weak_sector_resolution_queue,residual_decision,review_bucket,review_priority,apply_eligibility,verification_evidence_required,review_strategy,recommended_next_action
PSE::DFNN,DFNN,PSE,Stock,DFNN Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::DIZ,DIZ,PSE,Stock,Dizon Copper Silver Mines Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::DMW,DMW,PSE,Stock,DM WENCESLAO & ASSOCIATES Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::DWC,DWC,PSE,Stock,Discovery World Corp,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::ECVC,ECVC,PSE,Stock,East Coast Vulcan Mining Corporation,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::ENEX,ENEX,PSE,Stock,ENEX Energy Corp.,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::FDC,FDC,PSE,Stock,Filinvest Development Coproration,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::FDCPB,FDCPB,PSE,Stock,Filinvest Development Corp,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::FNI,FNI,PSE,Stock,Global Ferronickel Holdings Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::FRUIT,FRUIT,PSE,Stock,Fruitas Holdings Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
