reason_code,priority,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,candidate_action,validation_status,listing_key,twelvedata_exchange,review_batch
low_name_similarity|severe_name_mismatch,P1,MUSH,TSXV,XTSX,Mercanto Holdings Inc.,The Good Shroom Co Inc.,Common Stock,0.071,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::MUSH,TSXV,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,TM,TSXV,XTSX,Trigon Metals Inc.,Safi Silver Corp.,Common Stock,0.083,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::TM,TSXV,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,RPX,TSXV,XTSX,Red Pine Exploration Inc.,RPX Gold Inc.,Common Stock,0.143,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::RPX,TSXV,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,LVMH,TSX,XTSE,LVMH CDR (CAD Hedged),"LVMH Moët Hennessy Louis Vuitton, Société Européenne – Depositary Receipt (underlying: LVMH Moët Hennessy Louis Vuitton SE, Euronext Paris)",Depositary Receipt,0.163,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::LVMH,TSX,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,LV,NEO,NEOE,LVMH CDR (CAD hedged),LVMH Moët Hennessy Louis Vuitton Société Européenne American Depositary Receipt,Depositary Receipt,0.227,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::LV,NEO,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,SAPS,TSX,XTSE,SAP CDR (CAD Hedged),SAPS,Common Stock,0.273,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::SAPS,TSX,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,SAPG,NEO,NEOE,SAP SE CDR (CAD Hedged),SAP SE,Depositary Receipt,0.286,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::SAPG,NEO,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,CITI,TSX,XTSE,Citigroup CDR (CAD Hedged),CITI,Common Stock,0.286,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::CITI,TSX,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,CBLT,TSXV,XTSX,CBLT Inc.,Cobalt Blockchain Inc.,Common Stock,0.286,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::CBLT,TSXV,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,FMT,TSXV,XTSX,Fuerte Metals Corporation,Talamore Mining Corp.,Common Stock,0.286,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::FMT,TSXV,batch_b_canada
