reason_code,priority,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,candidate_action,validation_status,listing_key,twelvedata_exchange,review_batch
low_name_similarity|severe_name_mismatch,P2,AYUHD,ASX,XASX,Australian Unity Limited,,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,ASX::AYUHD,ASX,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,PASUFIN,BSE_IN,XBOM,Pasupati Fincap Ltd,,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,BSE_IN::PASUFIN,BSE,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,03958,HKEX,XHKG,DFZQ,"Orient Securities Co., Ltd.",Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,HKEX::03958,HKEX,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,09890,HKEX,XHKG,TANWAN,ZX Inc.,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,HKEX::09890,HKEX,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,0QK3,LSE,XLON,Dufry AG,Avolta AG,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,LSE::0QK3,LSE,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,299A,TSE,XJPX,"Kurashiru,Inc.",Dely Inc,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSE::299A,JPX,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,3423,TSE,XJPX,S E Corporation,Se Corp,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSE::3423,JPX,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,01757,HKEX,XHKG,GLOBAL CHI-1K,Affluent Foundation Holdings,Common Stock,0.049,deepseek_classify_rename_vs_different_security,pending_deepseek_review,HKEX::01757,HKEX,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,67GX,LSE,XLON,ZIGUP PLC 5% CUM PRF 50P,Redde Northgate PLC,Common Stock,0.059,deepseek_classify_rename_vs_different_security,pending_deepseek_review,LSE::67GX,LSE,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,3358,TSE,XJPX,"Trailhead Global Holdings,Inc.","Y.S. Food Co., Ltd.",Common Stock,0.061,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSE::3358,JPX,batch_c_high_value_international
low_name_similarity|severe_name_mismatch,P2,01833,HKEX,XHKG,PA GOODDOCTOR,Ping An Healthcare and Technology Company Limited,Common Stock,0.074,deepseek_classify_rename_vs_different_security,pending_deepseek_review,HKEX::01833,HKEX,batch_c_high_value_international
