listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
BATS::HTUS,HTUS,BATS,ETF,Capitol Series Trust,United States,US,US3015058064,Large Cap,name_mismatch,Dataset name does not match official exchange directory name.,Hull Tactical US ETF,nasdaq_other_listed,True,,,
BATS::BUFS,BUFS,BATS,ETF,BUFS,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,FT Vest Laddered Small Cap Moderate Buffer ETF,nasdaq_other_listed,True,,,
NYSE ARCA::SURE,SURE,NYSE ARCA,ETF,Sonora Resources Corp,United Kingdom,GB,GB00BYWYZ460,Financials,name_mismatch,Dataset name does not match official exchange directory name.,AdvisorShares Insider Advantage ETF,nasdaq_other_listed,True,,,
Euronext::DISL,DISL,Euronext,ETF,Immobiliere Distri-Land NV,Belgium,BE,BE0003605160,Real Estate,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,DISTRI-LAND CERT,euronext_equities,True,,BBG000BRPN72,
NYSE ARCA::ACGR,ACGR,NYSE ARCA,ETF,ACGR,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,American Century Large Cap Growth ETF,nasdaq_other_listed,True,,,
NYSE ARCA::DANA,DANA,NYSE ARCA,ETF,Tidal Trust I,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Dana Limited Volatility ETF,nasdaq_other_listed,True,,,
NYSE ARCA::MBSF,MBSF,NYSE ARCA,ETF,Valued Advisers Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Regan Floating Rate MBS ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PCCE,PCCE,NYSE ARCA,ETF,Litman Gregory Funds Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Capital China Growth ETF,nasdaq_other_listed,True,,,
BATS::MSTK,MSTK,BATS,ETF,MSTK,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Tuttle Capital MSTR 0DTE Covered Call ETF,nasdaq_other_listed,True,,,
NYSE ARCA::RJDI,RJDI,NYSE ARCA,ETF,Carillon Series Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,RJ Eagle GCM Dividend Select Income ETF,nasdaq_other_listed,True,,,
NYSE ARCA::ACLC,ACLC,NYSE ARCA,ETF,ACLC,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,American Century Large Cap Equity ETF,nasdaq_other_listed,True,,,
NYSE ARCA::RJMI,RJMI,NYSE ARCA,ETF,Carillon Series Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,RJ Eagle Municipal Income ETF,nasdaq_other_listed,True,,,
BATS::DLAG,DLAG,BATS,ETF,DLAG,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,FT Vest U.S. Equity Dual Directional Buffer ETF - August,nasdaq_other_listed,True,,,
NYSE ARCA::RJVI,RJVI,NYSE ARCA,ETF,Carillon Series Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,RJ Eagle Vertical Income ETF,nasdaq_other_listed,True,,,
BATS::FLDZ,FLDZ,BATS,ETF,Listed Funds Trust,United States,US,US53656F2276,,name_mismatch,Dataset name does not match official exchange directory name.,RiverNorth Patriot ETF,nasdaq_other_listed,True,,,
NYSE ARCA::ACVT,ACVT,NYSE ARCA,ETF,The RBB Fund Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Advent Convertible Bond ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PCGG,PCGG,NYSE ARCA,ETF,Litman Gregory Funds Trust,United States,US,US53700T7440,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Capital Global Growth ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PCHI,PCHI,NYSE ARCA,ETF,FundVantage Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen High Income ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PCIG,PCIG,NYSE ARCA,ETF,Litman Gregory Funds Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Capital International Growth ETF,nasdaq_other_listed,True,,,
NYSE ARCA::VCOB,VCOB,NYSE ARCA,ETF,Tidal Trust IV,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Voya Core Bond ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PCLG,PCLG,NYSE ARCA,ETF,FundVantage Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Focus Growth ETF,nasdaq_other_listed,True,,,
