listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::GLUH,GLUH,AMS,ETF,iShares Core UK Gilts UCITS ETF USD Hedged (Dist),Ireland,IE,IE0004J6PFL7,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG019XMTFP2,
ASX::AEBD,AEBD,ASX,ETF,Betashares Ethical Australian Composite Bond ETF,Australia,AU,AU0000357675,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG01QJVLYY7,
ASX::GRNV,GRNV,ASX,ETF,Vaneck MSCI Australian Sustainable Equity ETF,Australia,AU,AU0000050353,Financials,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00CR22D62,
ASX::MOGL,MOGL,ASX,ETF,Montaka Global Fund - Active ETF,Australia,AU,AU00000MOGL8,Financials,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00JDL4146,
ASX::VACF,VACF,ASX,ETF,Vanguard Australian Corp Fixed Interest INDEX ETF,Australia,AU,AU00000VACF9,Corporate Bonds,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00CXKB571,
B3::BFAV39,BFAV39,B3,ETF,iShares Trust - iShares MSCI EAFE Min Vol Factor ETF,Brazil,BR,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
B3::GLDI11,GLDI11,B3,ETF,IT NOW GOLD BRL FUNDO DE ÍNDICE,Brazil,BR,,,verified,Matched active official exchange directory listing.,IT NOW GOLD BRL FUNDO DE ÍNDICE,b3_instruments_equities,True,,,
B3::VGIA11,VGIA11,B3,ETF,Valora Cra Fundo De Investimento In Agroindustrial Production Chains - Fiagro-Imobiliário,Brazil,BR,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
BATS::BBAX,BBAX,BATS,ETF,JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF,United States,US,US46641Q2333,Emerging Markets,verified,Matched active official exchange directory listing.,JPMorgan BetaBuilders Developed Asia Pacific-ex Japan ETF,nasdaq_other_listed,True,,,
BATS::COSW,COSW,BATS,ETF,Roundhill COST WeeklyPay ETF,Luxembourg,LU,LU0533032263,Developed Markets,verified,Matched active official exchange directory listing.,Roundhill COST WeeklyPay ETF,nasdaq_other_listed,True,,,
BATS::EMHY,EMHY,BATS,ETF,iShares J.P. Morgan EM High Yield Bond ETF,United States,US,US4642862852,High Yield Bonds,verified,Matched active official exchange directory listing.,iShares J.P. Morgan EM High Yield Bond ETF,nasdaq_other_listed,True,,,
BATS::GEVX,GEVX,BATS,ETF,Tradr 2X Long GEV Daily ETF,United States,US,,,verified,Matched active official exchange directory listing.,Tradr 2X Long GEV Daily ETF,nasdaq_other_listed,True,,,
BATS::IGV,IGV,BATS,ETF,iShares Expanded Tech-Software Sector ETF,United Kingdom,GB,GB00B29BN198,Financials,verified,Matched active official exchange directory listing.,iShares Expanded Tech-Software Sector ETF,nasdaq_other_listed,True,,,
BATS::LIBD,LIBD,BATS,ETF,Stone Ridge 2065 Inflation-Protected Longevity Income ETF,United States,US,,,verified,Matched active official exchange directory listing.,LifeX 2065 Inflation-Protected Longevity Income ETF,nasdaq_other_listed,True,,,
BATS::NOVP,NOVP,BATS,ETF,PGIM US Large-Cap Buffer 12 ETF - November,United States,US,,,verified,Matched active official exchange directory listing.,PGIM S&P 500 Buffer 12 ETF - November,nasdaq_other_listed,True,,,
BATS::PSFF,PSFF,BATS,ETF,Pacer Funds Trust - Pacer Swan SOS Fund of Funds ETF,United States,US,US69374H5688,,verified,Matched active official exchange directory listing.,Pacer Swan SOS Fund of Funds ETF,nasdaq_other_listed,True,,,
BATS::SLVP,SLVP,BATS,ETF,iShares MSCI Global Silver and Metals Miners ETF,United States,US,US4642863272,Financials,verified,Matched active official exchange directory listing.,iShares MSCI Global Silver Miners Fund,nasdaq_other_listed,True,,,
BATS::UMAR,UMAR,BATS,ETF,Innovator S&P 500 Ultra Buffer ETF - March,United States,US,US45782C3759,Large Cap,verified,Matched active official exchange directory listing.,Innovator U.S. Equity Ultra Buffer ETF - March,nasdaq_other_listed,True,,,
BATS::XVOL,XVOL,BATS,ETF,Acruence Active Hedge U.S. Equity ETF,United States,US,US8863647447,Factors,verified,Matched active official exchange directory listing.,Acruence Active Hedge U.S. Equity ETF,nasdaq_other_listed,True,,,
Euronext::BSRIC,BSRIC,Euronext,ETF,Bnp Paribas Easy -  Aggregate Bond Sri Fossil Free,Luxembourg,LU,LU2533812991,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG01F756349,
Euronext::EWRD,EWRD,Euronext,ETF,BNP Paribas Easy MSCI World SRI S-Series PAB 5% Capped UCITS ETF Capitalisation,Luxembourg,LU,LU1291108642,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG00D1MJX71,
Euronext::PINR,PINR,Euronext,ETF,Lyxor PEA Inde (MSCI India) UCITS ETF Capi,France,FR,FR0011869320,Emerging Markets,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG006K65VQ8,
JSE::CSP500,CSP500,JSE,ETF,CoreShares S&P 500 ETF,South Africa,ZA,ZAE000268694,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
JSE::SYGEU,SYGEU,JSE,ETF,Sygnia Itrix Euro Stoxx 50 ETF,South Africa,ZA,ZAE000249512,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::102780,102780,KRX,ETF,Samsung KODEX Samsung Group ETF,South Korea,KR,KR7102780004,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::204480,204480,KRX,ETF,Mirae Asset Tiger Synth China,South Korea,KR,KR7204480008,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::266410,266410,KRX,ETF,Samsung KODEX Consumer Staples ETF,South Korea,KR,KR7266410000,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::310970,310970,KRX,ETF,Tiger MSCI Korea Total Return,South Korea,KR,KR7310970009,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::388420,388420,KRX,ETF,KBSTAR NM Semicond Actv,South Korea,KR,KR7388420002,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::435540,435540,KRX,ETF,HEROES TDF 2040 Active,South Korea,KR,KR7435540000,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::456250,456250,KRX,ETF,456250,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::473640,473640,KRX,ETF,473640,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::490490,490490,KRX,ETF,490490,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::2UKS,2UKS,LSE,ETF,WisdomTree FTSE 100 2x Daily Short,Ireland,IE,IE00B94QKF15,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::3SIL,3SIL,LSE,ETF,WisdomTree Silver 3x Daily Leveraged,Ireland,IE,IE00B7XD2195,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::AMPS,AMPS,LSE,ETF,WisdomTree Battery Metals ETC GBP,United Kingdom,GB,XS2425842106,Utilities,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::BTEK,BTEK,LSE,ETF,iShares Nasdaq US Biotechnology UCITS ETF USD (Acc),Indonesia,ID,ID1000098106,Consumer Staples,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::CO2U,CO2U,LSE,ETF,SparkChange Physical Carbon EUA ETC USD,United Kingdom,GB,XS2353177293,Financials,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::DH2O,DH2O,LSE,ETF,iShares Global Water UCITS,Ireland,IE,IE00B1TXK627,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::EMID,EMID,LSE,ETF,iShares MSCI Europe Mid Cap UCITS ETF EUR (Dist),Ireland,IE,IE00BYXYX745,Mid Cap,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::FAIG,FAIG,LSE,ETF,WisdomTree Broad Commodities Longer Dated,Jersey,JE,JE00B24DMC49,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::FUIP,FUIP,LSE,ETF,Fidelity Sustainable USD Corporate Bond Paris Aligned Multifactor UCITS ETF GBP Hedged Acc,Ireland,IE,IE000X3MDCC5,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::GSEM,GSEM,LSE,ETF,Goldman Sachs ActiveBeta Emerging Market Equity UCITS ETF A USD Acc,Ireland,IE,IE00BJ5CMD00,Financials,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::HPES,HPES,LSE,ETF,HSBC FTSE EPRA NAREIT Developed Paris Aligned UCITS ETF USD (Dist) GBP,Ireland,IE,IE000SPKU8M9,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::ID34,ID34,LSE,ETF,iShares iBonds Dec 2034 Term $ Corp UCITS ETF USD (Acc),United Kingdom,GB,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::IMID,IMID,LSE,ETF,SPDR MSCI All Country World Investable Market UCITS ETF (Acc),Ireland,IE,IE00B3YLTY66,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::IWDE,IWDE,LSE,ETF,iShares MSCI World EUR Hedged UCITS ETF (Acc),Ireland,IE,IE00B441G979,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::JREM,JREM,LSE,ETF,JPMorgan ETFs (Ireland) ICAV - Global Emerging Markets Research Enh Idx Eq (ESG) UCITS ETF USD Acc,Ireland,IE,IE00BF4G6Z54,Emerging Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::LQEE,LQEE,LSE,ETF,iShares $ Corp Bond UCITS ETF EUR Hedged (Dist),Ireland,IE,IE00BF3N6Y61,Corporate Bonds,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::N400,N400,LSE,ETF,Invesco JPX-Nikkei 400 UCITS ETF,Ireland,IE,IE00BPRCH686,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::PSRE,PSRE,LSE,ETF,Invesco Markets III plc - Invesco FTSE RAFI Europe UCITS ETF,Ireland,IE,IE00B23D8X81,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::SDHA,SDHA,LSE,ETF,iShares $ Short Duration High Yield Corp Bond UCITS USD Acc,Ireland,IE,IE00BZ17CN18,High Yield Bonds,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::SPX5,SPX5,LSE,ETF,SPDR® S&P 500 UCITS ETF,Ireland,IE,IE00B6YX5C33,Large Cap,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::TIPG,TIPG,LSE,ETF,Multi Units Luxembourg - Lyxor Core US TIPS (DR) UCITS ETF,Luxembourg,LU,LU1452600270,Inflation-Protected Securities,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::UC79,UC79,LSE,ETF,UBS ETF SICAV - MSCI Emerging Markets Socially Responsible UCITS ETF,Luxembourg,LU,LU1048313891,Emerging Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::V3RE,V3RE,LSE,ETF,Vanguard Funds PLC - Vanguard ESG EUR Corporate Bond UCITS ETF,Ireland,IE,IE000QADMYA3,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::WDEE,WDEE,LSE,ETF,Invesco Markets II plc - Invesco S&P World Energy ESG UCITS ETF Acc,Ireland,IE,IE000AIFGRB9,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::XCS7,XCS7,LSE,ETF,Xtrackers MSCI China UCITS ETF 1D,Luxembourg,LU,LU2456436083,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::XGLE,XGLE,LSE,ETF,Xtrackers II - Eurozone Government Bond UCITS ETF,Luxembourg,LU,LU0290355717,Government Bonds,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::XS8R,XS8R,LSE,ETF,Xtrackers MSCI Europe Information Technology ESG Screened UCITS ETF,Luxembourg,LU,LU0292104469,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::XZW0,XZW0,LSE,ETF,Xtrackers MSCI World ESG UCITS ETF 1C,Ireland,IE,IE00BZ02LR44,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
NASDAQ::BGRN,BGRN,NASDAQ,ETF,iShares USD Green Bond ETF,United States,US,US46435U4408,Investment Grade Bonds,verified,Matched active official exchange directory listing.,iShares USD Green Bond ETF,nasdaq_listed,True,,,
NASDAQ::CLSM,CLSM,NASDAQ,ETF,Cabana Target Leading Sector Moderate ETF,United States,US,US30151E6243,,verified,Matched active official exchange directory listing.,ETC Cabana Target Leading Sector Moderate ETF,nasdaq_listed,True,,,
NASDAQ::ELIS,ELIS,NASDAQ,ETF,Direxion Daily LLY Bear 1X Shares,France,FR,FR0012435121,Industrials,verified,Matched active official exchange directory listing.,Direxion Daily LLY Bear 1X ETF,nasdaq_listed,True,,,
NASDAQ::FTAG,FTAG,NASDAQ,ETF,First Trust Indxx Global Agriculture ETF,United States,US,US33734X8121,Value,verified,Matched active official exchange directory listing.,First Trust Indxx Global Agriculture ETF,nasdaq_listed,True,,,
NASDAQ::IBGB,IBGB,NASDAQ,ETF,iShares iBonds Dec 2045 Term Treasury ETF,United States,US,,,verified,Matched active official exchange directory listing.,iShares iBonds Dec 2045 Term Treasury ETF,nasdaq_listed,True,,,
NASDAQ::LGCF,LGCF,NASDAQ,ETF,Themes US Cash Flow Champions ETF,United States,US,,,verified,Matched active official exchange directory listing.,Themes US Cash Flow Champions ETF,nasdaq_listed,True,,,
NASDAQ::NVDU,NVDU,NASDAQ,ETF,Direxion Daily NVDA Bull 1.5X Shares,United States,US,US25461A8339,,verified,Matched active official exchange directory listing.,Direxion Daily NVDA Bull 2X ETF,nasdaq_listed,True,,,
NASDAQ::QB,QB,NASDAQ,ETF,ProShares Nasdaq-100 Dynamic Buffer ETF,United States,US,,,verified,Matched active official exchange directory listing.,ProShares Nasdaq-100 Dynamic Buffer ETF,nasdaq_listed,True,,,
NASDAQ::SHPU,SHPU,NASDAQ,ETF,Direxion Daily SHOP Bull 2X ETF,United States,US,,,verified,Matched active official exchange directory listing.,Direxion Daily SHOP Bull 2X ETF,nasdaq_listed,True,,,
NASDAQ::TSLQ,TSLQ,NASDAQ,ETF,AXS TSLA Bear Daily ETF,United States,US,US46144X8671,,verified,Matched active official exchange directory listing.,Tradr 2X Short TSLA Daily ETF,nasdaq_listed,True,,,
NASDAQ::VRIG,VRIG,NASDAQ,ETF,Invesco Variable Rate Investment Grade ETF,United States,US,US73935B8625,Investment Grade Bonds,verified,Matched active official exchange directory listing.,Invesco Variable Rate Investment Grade ETF,nasdaq_listed,True,,,
NEO::EAFX-U,EAFX-U,NEO,ETF,Global X MSCI EAFE Index ETF,Canada,CA,CA37962B1031,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
NEO::WSHR,WSHR,NEO,ETF,Wealthsimple Shariah World Equity Index ETF,Canada,CA,CA94701W1041,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
NYSE::FEGE,FEGE,NYSE,ETF,The RBB Fund Trust,United States,US,,,reference_gap,Only low-confidence issuer reference evidence exists for this listing.,First Eagle Global Equity ETF,nasdaq_other_listed,True,,,
NYSE::RINT,RINT,NYSE,ETF,International Developed Equity Active ETF,United States,US,,,cross_exchange_collision,Official directory uses this ticker on other exchange(s): NASDAQ.,,,True,,,
NYSE ARCA::AMDY,AMDY,NYSE ARCA,ETF,YieldMax AMD Option Income Strategy ETF,United States,US,US88634T4774,,verified,Matched active official exchange directory listing.,Yieldmax AMD Option Income Strategy ETF,nasdaq_other_listed,True,,,
NYSE ARCA::BDRY,BDRY,NYSE ARCA,ETF,Breakwave Dry Bulk Shipping ETF,United States,US,US26923H2004,Developed Markets,verified,Matched active official exchange directory listing.,Breakwave Dry Bulk Shipping ETF,nasdaq_other_listed,True,0001610940,,
NYSE ARCA::BWEB,BWEB,NYSE ARCA,ETF,Bitwise Funds Trust - Bitwise Web3 ETF,United States,US,US0917481030,,verified,Matched active official exchange directory listing.,Bitwise Web3 ETF,nasdaq_other_listed,True,,,
NYSE ARCA::CPSA,CPSA,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF - August,United States,US,,,verified,Matched active official exchange directory listing.,Calamos S&P 500 Structured Alt Protection ETF  August,nasdaq_other_listed,True,,,
NYSE ARCA::DFAX,DFAX,NYSE ARCA,ETF,Dimensional World ex U.S. Core Equity 2 ETF,United States,US,US25434V8809,,verified,Matched active official exchange directory listing.,Dimensional World ex U.S. Core Equity 2 ETF,nasdaq_other_listed,True,,,
NYSE ARCA::DYNF,DYNF,NYSE ARCA,ETF,BlackRock US Equity Factor Rotation,United States,US,US09290C1036,Large Cap,verified,Matched active official exchange directory listing.,iShares U.S. Equity Factor Rotation Active ETF,nasdaq_other_listed,True,,,
NYSE ARCA::ERTH,ERTH,NYSE ARCA,ETF,Invesco MSCI Sustainable Future ETF,Australia,AU,AU0000106049,Health Care,verified,Matched active official exchange directory listing.,Invesco MSCI Sustainable Future ETF,nasdaq_other_listed,True,,,
NYSE ARCA::FEMR,FEMR,NYSE ARCA,ETF,Fidelity Enhanced Emerging Markets ETF,United States,US,US31609A8009,Emerging Markets,verified,Matched active official exchange directory listing.,Fidelity Enhanced Emerging Markets ETF,nasdaq_other_listed,True,,,
NYSE ARCA::FPX,FPX,NYSE ARCA,ETF,First Trust US Equity Opportunities ETF,Canada,CA,CA3025911023,Materials,verified,Matched active official exchange directory listing.,First Trust US Equity Opportunities ETF,nasdaq_other_listed,True,,,
NYSE ARCA::GINN,GINN,NYSE ARCA,ETF,Goldman Sachs Innovate Equity ETF,United States,US,US38149W8203,Growth,verified,Matched active official exchange directory listing.,Goldman Sachs Innovate Equity ETF,nasdaq_other_listed,True,,,
NYSE ARCA::HEZU,HEZU,NYSE ARCA,ETF,iShares Currency Hedged MSCI Eurozone ETF,United States,US,US46434V6395,Developed Markets,verified,Matched active official exchange directory listing.,iShares Currency Hedged MSCI Eurozone ETF,nasdaq_other_listed,True,,,
NYSE ARCA::IFED,IFED,NYSE ARCA,ETF,ETRACS IFED Invest with the Fed TR Index ETN,United States,US,US90278V7689,,verified,Matched active official exchange directory listing.,ETRACS IFED Invest with the Fed TR Index ETN,nasdaq_other_listed,True,0001114446,,
NYSE ARCA::ITOT,ITOT,NYSE ARCA,ETF,iShares Core S&P Total U.S. Stock Market ETF,United States,US,US4642871507,Large Cap,verified,Matched active official exchange directory listing.,iShares Core S&P Total U.S. Stock Market ETF,nasdaq_other_listed,True,,,
NYSE ARCA::JMEE,JMEE,NYSE ARCA,ETF,JPMorgan Market Expansion Enhanced Equity ETF,United States,US,US46641Q1186,,verified,Matched active official exchange directory listing.,JPMorgan Small & Mid Cap Enhanced Equity ETF,nasdaq_other_listed,True,,,
NYSE ARCA::LEMB,LEMB,NYSE ARCA,ETF,iShares J.P. Morgan EM Local Currency Bond ETF,Luxembourg,LU,LU1686830909,Emerging Markets,verified,Matched active official exchange directory listing.,iShares J.P. Morgan EM Local Currency Bond,nasdaq_other_listed,True,,,
