listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::NTM,NTM,AMS,ETF,VanEck Multi-Asset Balanced Allocation UCITS ETF,Australia,AU,AU000000NTM1,,reference_gap,Only weak cross-exchange collision evidence exists for this listing.,,,True,,BBG0019XB3S6,
ASX::DGGF,DGGF,ASX,ETF,Betashares Ethical Diversified Growth ETF,Australia,AU,AU0000059594,Blend,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00R05FH68,
ASX::JEME,JEME,ASX,ETF,Jpmorgan Em Research Enhanced Idx Eqty Active Etf,Australia,AU,AU0000419095,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG01G9FYH05,
ASX::POH,POH,ASX,ETF,PROGRESS 2023-2 TRUST,Australia,AU,,,verified,Matched active official exchange directory listing.,PROGRESS 2023-2 TRUST,asx_listed_companies,False,,,
ASX::ZILR,ZILR,ASX,ETF,Ziller Global Fund Active Etf,Australia,AU,AU60ZIL77911,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG020JBGZQ9,
B3::BTCE11,BTCE11,B3,ETF,BITCOIN ETC KARDINAL FUNDO DE ÍNDICE – IE,Brazil,BR,,,verified,Matched active official exchange directory listing.,BITCOIN ETC KARDINAL FUNDO DE ÍNDICE – IE,b3_instruments_equities,True,,,
B3::PACG11,PACG11,B3,ETF,BTG Pactual Ima-B Fundo De Indice,Brazil,BR,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
BATS::AMZP,AMZP,BATS,ETF,Kurv Yield Premium Strategy Amazon (AMZN) ETF,United States,US,,,verified,Matched active official exchange directory listing.,Kurv Yield Premium Strategy Amazon (AMZN) ETF,nasdaq_other_listed,True,,,
BATS::BUFD,BUFD,BATS,ETF,FT Cboe Vest Fund of Deep Buffer ETFs,United States,US,US33740U7037,Developed Markets,verified,Matched active official exchange directory listing.,FT Vest Laddered Deep Buffer ETF,nasdaq_other_listed,True,,,
BATS::DFRA,DFRA,BATS,ETF,TrimTabs ETF Trust - Donoghue Forlines Yield Enhanced Real Asset ETF,United States,US,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
BATS::FFLC,FFLC,BATS,ETF,Fidelity Fundamental Large Cap Core ETF,United States,US,,,verified,Matched active official exchange directory listing.,Fidelity Fundamental Large Cap Core ETF,nasdaq_other_listed,True,,,
