listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
NYSE ARCA::KDVD,KDVD,NYSE ARCA,ETF,Gabelli ETFs Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Keeley Dividend ETF,nasdaq_other_listed,True,,,
NYSE ARCA::STSM,STSM,NYSE ARCA,ETF,Tidal Trust II,United States,US,XS2399365399,,name_mismatch,Dataset name does not match official exchange directory name.,Defiance Daily Target 2X Short TSM ETF,nasdaq_other_listed,True,,,
TWSE::00681R,00681R,TWSE,ETF,Yuanta Securities Investment Trust Co. Ltd - Yuanta UST 20+ Bear 1x ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00943,00943,TWSE,ETF,Mega Taiwan IT Growth and High Dividend Equal Weight ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00682U,00682U,TWSE,ETF,Yuanta S&P US Dollar ER Futures,Taiwan,TW,TW00000682U4,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00944,00944,TWSE,ETF,NEXT FUNDS - Nomura Taiwan Momentum High Dividend ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::HTUS,HTUS,BATS,ETF,Capitol Series Trust,United States,US,US3015058064,Large Cap,name_mismatch,Dataset name does not match official exchange directory name.,Hull Tactical US ETF,nasdaq_other_listed,True,,,
TWSE::00683L,00683L,TWSE,ETF,Yuanta S&P US Dollar 2x Leverage ER Futures,Taiwan,TW,TW00000683L1,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00945B,00945B,TWSE,ETF,KGI SECURITIES INVT TST CO LTD,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::BUFS,BUFS,BATS,ETF,BUFS,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,FT Vest Laddered Small Cap Moderate Buffer ETF,nasdaq_other_listed,True,,,
TWSE::00684R,00684R,TWSE,ETF,Yuanta S&P US Dollar 1x Inverse ER Futures,Taiwan,TW,TW00000684R6,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00946,00946,TWSE,ETF,CAPITAL Tip Customized Taiwan Tech High Dividend And Growth ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::SURE,SURE,NYSE ARCA,ETF,Sonora Resources Corp,United Kingdom,GB,GB00BYWYZ460,Financials,name_mismatch,Dataset name does not match official exchange directory name.,AdvisorShares Insider Advantage ETF,nasdaq_other_listed,True,,,
TWSE::00685L,00685L,TWSE,ETF,Capital Taiex Daily Leveraged 2X,Taiwan,TW,TW00000685L6,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00947,00947,TWSE,ETF,Taishin Taiwan IC Design and Momentum ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
Euronext::DISL,DISL,Euronext,ETF,Immobiliere Distri-Land NV,Belgium,BE,BE0003605160,Real Estate,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,DISTRI-LAND CERT,euronext_equities,True,,BBG000BRPN72,
TWSE::00686R,00686R,TWSE,ETF,Capital Taiex Daily Inversed -1X,Taiwan,TW,TW00000686R1,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00949,00949,TWSE,ETF,Fuh Hwa Japan Global Moat Leaders ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00688L,00688L,TWSE,ETF,Cathay US Treasury 20+ YR Lev 2X,Taiwan,TW,TW00000688L0,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00951,00951,TWSE,ETF,00951,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::MSTK,MSTK,BATS,ETF,MSTK,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Tuttle Capital MSTR 0DTE Covered Call ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PCCE,PCCE,NYSE ARCA,ETF,Litman Gregory Funds Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Capital China Growth ETF,nasdaq_other_listed,True,,,
NYSE ARCA::RJDI,RJDI,NYSE ARCA,ETF,Carillon Series Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,RJ Eagle GCM Dividend Select Income ETF,nasdaq_other_listed,True,,,
TWSE::00689R,00689R,TWSE,ETF,Cathay US Treasury 20+ YR Inv 1X,Taiwan,TW,TW00000689R5,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00952,00952,TWSE,ETF,KGI Taiwan Premium Selection AI 50 ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::MBSF,MBSF,NYSE ARCA,ETF,Valued Advisers Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Regan Floating Rate MBS ETF,nasdaq_other_listed,True,,,
NYSE ARCA::RJMI,RJMI,NYSE ARCA,ETF,Carillon Series Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,RJ Eagle Municipal Income ETF,nasdaq_other_listed,True,,,
TWSE::00690,00690,TWSE,ETF,Mega Taiwan Blue Chip 30,Taiwan,TW,TW0000069004,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00953B,00953B,TWSE,ETF,CAPITAL BB-B Coupon Enhanced High Yield Bond ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::DLAG,DLAG,BATS,ETF,DLAG,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,FT Vest U.S. Equity Dual Directional Buffer ETF - August,nasdaq_other_listed,True,,,
NYSE ARCA::RJVI,RJVI,NYSE ARCA,ETF,Carillon Series Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,RJ Eagle Vertical Income ETF,nasdaq_other_listed,True,,,
TWSE::00692,00692,TWSE,ETF,Fubon TWSE Corporate Governance 100 ETF,Taiwan,TW,TW0000069202,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00954,00954,TWSE,ETF,CTBC Japan Semiconductor ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::CTWO,CTWO,NYSE ARCA,ETF,COtwo Advisors Physical European Carbon Allowance Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Common units,nasdaq_other_listed,True,0001958928,,
TWSE::00680L,00680L,TWSE,ETF,Yuanta Securities Investment Trust Co. Ltd - Yuanta Daily UST 20+ 2x ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00941,00941,TWSE,ETF,China Mobile Ltd,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::FLDZ,FLDZ,BATS,ETF,Listed Funds Trust,United States,US,US53656F2276,,name_mismatch,Dataset name does not match official exchange directory name.,RiverNorth Patriot ETF,nasdaq_other_listed,True,,,
TWSE::00693U,00693U,TWSE,ETF,Paradigm S&P GSCI Soybeans ER Futures,Taiwan,TW,TW00000693U1,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00956,00956,TWSE,ETF,CTBC Nikkei High Dividend Yield 50 ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::DIVZ,DIVZ,NYSE ARCA,ETF,Elevation Series Trust,United States,US,US53656F4744,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Dividend Income ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PCGG,PCGG,NYSE ARCA,ETF,Litman Gregory Funds Trust,United States,US,US53700T7440,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Capital Global Growth ETF,nasdaq_other_listed,True,,,
TWSE::00700,00700,TWSE,ETF,Fubon Hang Seng China Enterprises ETF,Taiwan,TW,TW0000070002,Emerging Markets,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00960,00960,TWSE,ETF,Nomura Global Shipping Leaders Income ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::PCHI,PCHI,NYSE ARCA,ETF,FundVantage Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen High Income ETF,nasdaq_other_listed,True,,,
NYSE ARCA::VCOB,VCOB,NYSE ARCA,ETF,Tidal Trust IV,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Voya Core Bond ETF,nasdaq_other_listed,True,,,
TWSE::00701,00701,TWSE,ETF,Cathay TIP TAIEX+ Low Volatility Select 30 ETF,Taiwan,TW,TW0000070101,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00961,00961,TWSE,ETF,Franklin Templeton SinoAm Taiwan ESG High Dividend ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::PCIG,PCIG,NYSE ARCA,ETF,Litman Gregory Funds Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Capital International Growth ETF,nasdaq_other_listed,True,,,
TWSE::00702,00702,TWSE,ETF,Cathay S&P 500 Low Volatility High Dividend ETF,Taiwan,TW,TW0000070200,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00962,00962,TWSE,ETF,Taishin Taiwan AI High Dividend and Momentum ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::DJP,DJP,NYSE ARCA,ETF,iPath® Bloomberg Commodity Index Total Return(SM) ETN,United States,US,US06738C7781,Commodities Broad Basket,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,iPath Bloomberg Commodity Index Total Return ETN,nasdaq_other_listed,True,0000312070,,
NYSE ARCA::PCLG,PCLG,NYSE ARCA,ETF,FundVantage Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Polen Focus Growth ETF,nasdaq_other_listed,True,,,
TWSE::00703,00703,TWSE,ETF,Taishin MSCI China,Taiwan,TW,TW0000070309,Emerging Markets,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00963,00963,TWSE,ETF,00963,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00706L,00706L,TWSE,ETF,Yuanta S&P Japanese Yen 2x Leverage ER Futures ETF,Taiwan,TW,TW00000706L0,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00964,00964,TWSE,ETF,00964,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::RNWZ,RNWZ,NYSE ARCA,ETF,Elevation Series Trust,United States,US,US53656G5716,,name_mismatch,Dataset name does not match official exchange directory name.,TrueShares Eagle Global Renewable Energy Income ETF,nasdaq_other_listed,True,,,
TWSE::00707R,00707R,TWSE,ETF,Yuanta S&P Japanese Yen 1x Inverse ER Futures ETF,Taiwan,TW,TW00000707R5,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00965,00965,TWSE,ETF,Yuanta Global Aerospace and Defense Technology ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00708L,00708L,TWSE,ETF,Yuanta S&P GSCI Gold 2X Leveraged ER Futures ETF,Taiwan,TW,TW00000708L6,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00971,00971,TWSE,ETF,Nomura US R&D Leaders Select ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::DOJE,DOJE,BATS,ETF,DOJE,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,REX-Osprey DOGE ETF,nasdaq_other_listed,True,,,
NYSE ARCA::DANA,DANA,NYSE ARCA,ETF,Tidal Trust I,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Dana Limited Volatility ETF,nasdaq_other_listed,True,,,
NYSE ARCA::YLDW,YLDW,NYSE ARCA,ETF,Ultimus Managers Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Westwood Enhanced Income Opportunity ETF,nasdaq_other_listed,True,,,
TWSE::00709,00709,TWSE,ETF,Fubon FTSE Developed Europe ETF,Taiwan,TW,TW0000070903,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00972,00972,TWSE,ETF,Nomura Japan Value-creation Momentum Dividend ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::IBHK,IBHK,BATS,ETF,IBHK,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,iShares iBonds 2031 Term High Yield and Income ETF,nasdaq_other_listed,True,,,
TWSE::00710B,00710B,TWSE,ETF,Fuh Hwa 1-5 Yr High Yield ETF,Taiwan,TW,TW00000710B3,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::009800,009800,TWSE,ETF,CTBC NASDAQ 100 ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE ARCA::TAGG,TAGG,NYSE ARCA,ETF,TagLikeMe Corp,United States,US,US87378P1057,,name_mismatch,Dataset name does not match official exchange directory name.,T. Rowe Price QM U.S. Bond ETF,nasdaq_other_listed,True,,,
TWSE::00711B,00711B,TWSE,ETF,Fuh Hwa Emerging Market 10+ Yr Bond ETF,Taiwan,TW,TW00000711B1,Emerging Markets,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::009801,009801,TWSE,ETF,CTBC US Innovation Technology ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
BATS::SBTU,SBTU,BATS,ETF,SBTU,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,T-REX 2X Long SBET Daily Target ETF,nasdaq_other_listed,True,,,
BATS::TOXR,TOXR,BATS,ETF,21Shares Core Xrp Trust,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,Shares of Beneficial Interest,nasdaq_other_listed,True,,,
TWSE::00712,00712,TWSE,ETF,Fuh Hwa FTSE Mortgage REITs ETF,Taiwan,TW,TW0000071208,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::009802,009802,TWSE,ETF,Fubon Taiwan Flagship Momentum 50 ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::00713,00713,TWSE,ETF,Yuanta Taiwan High Dividend Low Volatility,Taiwan,TW,TW0000071307,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
TWSE::009803,009803,TWSE,ETF,PGIM Taiwan Market Capitalization Momentum 50 ETF,Taiwan,TW,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
