listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
ADX::CHADX15,CHADX15,ADX,ETF,Chimera FTSE ADX 15 ETF Class B Income,United Arab Emirates,AE,AEC01137C226,Equity,verified,Matched active official exchange directory listing.,Chimera FTSE ADX 15 ETF Class B Income,adx_market_watch,True,,BBG01BGV7KK4,
ADX::SUKUK,SUKUK,ADX,ETF,Chimera Umbrella Fund - Chimera JP Morgan Global Sukuk,United Arab Emirates,AE,AEC01443C244,Fixed Income,verified,Matched active official exchange directory listing.,Chimera Umbrella Fund - Chimera JP Morgan Global Sukuk,adx_market_watch,True,,BBG01NJ29M96,
AMS::1ARKK,1ARKK,AMS,ETF,ARK INNOVATION 1X,Netherlands,NL,XS2399369037,Equity,verified,Matched active official exchange directory listing.,LS ARK Innovation Tracker ETP,euronext_etfs,True,,BBG013L1H7D8,
AMS::3CRM,3CRM,AMS,ETF,Leverage Shares 3x Salesforce.Com ETP Securities,Ireland,IE,IE00BK5BZT14,,verified,Matched active official exchange directory listing.,Leverage Shares 3x Salesforce.Com ETP Securities,euronext_etfs,True,,BBG00V3MBFY6,
AMS::600X,600X,AMS,ETF,State Street SPDR STOXX Europe 600 SRI UCITS ETF (Acc),Ireland,IE,IE00BK5H8015,,verified,Matched active official exchange directory listing.,State Street SPDR STOXX Europe 600 SRI UCITS ETF (Acc),euronext_etfs,True,,BBG00QFNKKH0,
AMS::AMAY,AMAY,AMS,ETF,IncomeShares Applied Materials (AMAT) Options ETP,Netherlands,NL,XS3299466147,Equity,verified,Matched active official exchange directory listing.,IncomeShares Applied Materials (AMAT) Options ETP,euronext_etfs,True,,BBG021098SZ7,
AMS::BMNY,BMNY,AMS,ETF,IncomeShares Bitmine (BMNR) Options ETP,Netherlands,NL,XS3299465172,,verified,Matched active official exchange directory listing.,IncomeShares Bitmine (BMNR) Options ETP,euronext_etfs,True,,BBG0210BD620,
AMS::CEMU,CEMU,AMS,ETF,iShares VII plc - iShares Core MSCI EMU UCITS ETF,Ireland,IE,IE00B53QG562,Equity,verified,Matched active official exchange directory listing.,iShares Core MSCI EMU UCITS ETF,euronext_etfs,True,,BBG00747Z1B1,
AMS::CRW3,CRW3,AMS,ETF,Leverage Shares 3x Long CoreWeave (CRWV) ETP,Netherlands,NL,XS3299464282,Leveraged/Inverse,verified,Matched active official exchange directory listing.,Leverage Shares 3x Long CoreWeave (CRWV) ETP,euronext_etfs,True,,BBG0210BR9T0,
AMS::DHYE,DHYE,AMS,ETF,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Acc),Ireland,IE,IE00BJK55B31,Fixed Income,verified,Matched active official exchange directory listing.,iShares $ High Yield Corp Bond ESG SRI UCITS ETF USD (Acc),euronext_etfs,True,,BBG00Q8HXZY5,
