listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
BATS::GDMA,GDMA,BATS,ETF,Alpha Architect Gdsdn Dynmc Mlt-Asst ETF,United States,US,US02072L8708,,name_mismatch,Dataset name does not match official exchange directory name.,Gadsden Dynamic Multi-Asset ETF,nasdaq_other_listed,True,,BBG00MFC7N82,
KRX::530023,530023,KRX,ETF,Samsung Leverage ChinaA50 Futures ETN(H),South Korea,KR,,Equity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NGX::MERGROWTH,MERGROWTH,NGX,ETF,MERISTEM GROWTH EXCHANGE TRADED FUND,Nigeria,NG,NGMERGROWTH1,Equity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00X8R7788,
NGX::VETINDETF,VETINDETF,NGX,ETF,VETIVA INDUSTRIAL ETF,Nigeria,NG,NGVETINDETF8,Equity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00B8SZH45,
OTC::CUYTY,CUYTY,OTC,ETF,Etablissementen Franz Colruyt NV ADR,United States,US,US1968501015,Equity,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,COLRUYT GRP N.V UNSP/ADR,otc_markets_stock_screener,True,,BBG000PLRKK9,
KRX::394350,394350,KRX,ETF,KOSEF Lyxor Global Future Mobility MSCI,South Korea,KR,KR7394350003,Equity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG011VK7C58,
NGX::MERVALUE,MERVALUE,NGX,ETF,MERISTEM VALUE EXCHANGE TRADED FUND,Nigeria,NG,NGMERVALUE06,Equity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00X8R7M94,
NGX::VSPBONDETF,VSPBONDETF,NGX,ETF,VETIVA S & P NIGERIA SOVEREIGN BOND ETF,Nigeria,NG,NGVSPBNDETF1,Fixed Income,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00FS09H71,
OTC::VGWEF,VGWEF,OTC,ETF,VANGUARD FUNDS PLC,Ireland,IE,IE00BKX55T58,,name_mismatch,Dataset name does not match official exchange directory name.,VANGUARD FDS ALL WLD ETF,otc_markets_stock_screener,True,,BBG0077NQ383,
KRX::0010E0,0010E0,KRX,ETF,ACE FTSE WGBI Korea,South Korea,KR,KR70010E0006,Fixed Income,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG01SB7YDZ5,
KRX::460280,460280,KRX,ETF,460280,South Korea,KR,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NGX::NEWGOLD,NEWGOLD,NGX,ETF,NEWGOLD EXCHANGE TRADED FUND,South Africa,ZA,ZAE000060067,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000V6SHB1,
OTC::TOETF,TOETF,OTC,ETF,Tosei Corporation,United States,US,,Real Estate,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,TOSEI CORP,otc_markets_stock_screener,True,0002089506,,
XETRA::TABI,TABI,XETRA,ETF,Tabula US Enhanced Infla UCITS ETF EUR H,Ireland,IE,IE00BKX90X67,Equity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG010WQXWM4,
NGX::SIAMLETF40,SIAMLETF40,NGX,ETF,SIAML PENSION ETF 40,Nigeria,NG,NGSIAMLETF46,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
OTC::IIVPF,IIVPF,OTC,ETF,iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF,United States,US,,Equity,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,ISHARES IV PLC AUTO ROBTC,otc_markets_stock_screener,True,,,
OTC::LKSGF,LKSGF,OTC,ETF,Luks Group (Vietnam Holdings) Company Limited,United States,US,,Equity,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,LUKS GROUP VIETNAM HLDGS,otc_markets_stock_screener,True,,,
