listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
ADX::QUANTM,QUANTM,ADX,ETF,Boreas Solactive Quantum Computing UCITS ETF – Share Class B – Distributing,Ireland,IE,IE000RVOB8A6,Equity,verified,Matched active official exchange directory listing.,Boreas Solactive Quantum Computing UCITS ETF – Share Class B – Distributing,adx_market_watch,True,,BBG01WF1Z340,
AMS::1ARKK,1ARKK,AMS,ETF,ARK INNOVATION 1X,Netherlands,NL,XS2399369037,Equity,verified,Matched active official exchange directory listing.,LS ARK Innovation Tracker ETP,euronext_etfs,True,,BBG013L1H7D8,
AMS::3JD,3JD,AMS,ETF,Leverage Shares 3x JD.Com ETP Securities,Netherlands,NL,XS2675718642,Leveraged/Inverse,verified,Matched active official exchange directory listing.,Leverage Shares 3x JD.Com ETP Securities,euronext_etfs,True,,BBG011C02CS3,
AMS::AGAC,AGAC,AMS,ETF,iShares Core Global Aggregate Bond UCITS ETF USD (Acc),Netherlands,NL,,Equity,verified,Matched grouped official exchange directory listing.,iShares Core Global Aggregate Bond UCITS ETF USD (Acc),euronext_etfs,True,,,
AMS::BLTN,BLTN,AMS,ETF,iSh Brzil LTN BRL Gvt Bnd,Netherlands,NL,,,verified,Matched grouped official exchange directory listing.,iSh Brzil LTN BRL Gvt Bnd UCTS ETF US Ac,euronext_etfs,True,,,
AMS::CEMU,CEMU,AMS,ETF,iShares VII plc - iShares Core MSCI EMU UCITS ETF,Ireland,IE,IE00B53QG562,Equity,verified,Matched active official exchange directory listing.,iShares Core MSCI EMU UCITS ETF,euronext_etfs,True,,BBG00747Z1B1,
AMS::CUEB,CUEB,AMS,ETF,iShares $ Treasury Bond 3-7yr UCITS ETF EUR Hedged (Acc),Ireland,IE,IE0007LAQ4A1,Fixed Income,verified,Matched active official exchange directory listing.,iShares $ Treasury Bond 3-7yr UCITS ETF EUR Hedged (Acc),euronext_etfs,True,,BBG0216N9K31,
AMS::EHEB,EHEB,AMS,ETF,iShares € HY Corp Bond Enh Active Acc,Ireland,IE,IE000CZJPCH1,Fixed Income,verified,Matched active official exchange directory listing.,iShares € HY Corp Bond Enh Active Acc,euronext_etfs,True,,BBG01YV4PPG1,
AMS::EUJP,EUJP,AMS,ETF,WisdomTree Long JPY Short EUR,Jersey,JE,JE00B3MWC642,,verified,Matched active official exchange directory listing.,WisdomTree Long JPY Short EUR,euronext_etfs,True,,BBG001Z55SG3,
AMS::GLD5,GLD5,AMS,ETF,Leverage Shares 5x Long Gold ETC,Netherlands,NL,XS3299461189,Commodity,verified,Matched active official exchange directory listing.,Leverage Shares 5x Long Gold ETC,euronext_etfs,True,,BBG02107M781,
AMS::ICEH,ICEH,AMS,ETF,iShares $ Intermediate Credit Bond UCITS ETF EUR Hedged (Acc),Ireland,IE,IE000JEHORH6,Fixed Income,verified,Matched active official exchange directory listing.,iShares $ Intermediate Credit Bond UCITS ETF EUR Hedged (Acc),euronext_etfs,True,,BBG01TT2G5R1,
AMS::IEMM,IEMM,AMS,ETF,iShares MSCI EM UCITS ETF USD (Dist) EUR,Ireland,IE,IE00B0M63177,Equity,verified,Matched active official exchange directory listing.,iShares MSCI Emerging Markets UCITS ETF (Dist),euronext_etfs,True,,BBG000KP82M4,
AMS::IGLE,IGLE,AMS,ETF,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist),Ireland,IE,IE00BKT6FT27,Fixed Income,verified,Matched active official exchange directory listing.,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist),euronext_etfs,True,,BBG00Q9ZZRP0,
AMS::IREY,IREY,AMS,ETF,IncomeShares IREN Options ETP,Netherlands,NL,XS3299466816,,verified,Matched active official exchange directory listing.,IncomeShares IREN Options ETP,euronext_etfs,True,,BBG0210F4M08,
AMS::IWDD,IWDD,AMS,ETF,iShares Core MSCI World UCITS ETF USD (Dist),Ireland,IE,IE000OHHIBC6,Equity,verified,Matched active official exchange reference via same-exchange ISIN.,iShares Core MSCI World UCITS ETF USD (Dist),euronext_etfs,True,,BBG01HGC76P9,
AMS::MARY,MARY,AMS,ETF,IncomeShares Mara (MARA) Options ETP,Netherlands,NL,XS3299469083,,verified,Matched active official exchange directory listing.,IncomeShares Mara (MARA) Options ETP,euronext_etfs,True,,BBG0210FXD60,
AMS::NBI3,NBI3,AMS,ETF,Leverage Shares 3x Long Nebius (NBIS) ETP,Netherlands,NL,XS3299461692,Leveraged/Inverse,verified,Matched active official exchange directory listing.,Leverage Shares 3x Long Nebius (NBIS) ETP,euronext_etfs,True,,BBG0210FX512,
