listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
BATS::GDMA,GDMA,BATS,ETF,Alpha Architect Gdsdn Dynmc Mlt-Asst ETF,United States,US,US02072L8708,Alternative,name_mismatch,Dataset name does not match official exchange directory name.,Gadsden Dynamic Multi-Asset ETF,nasdaq_other_listed,True,,BBG00MFC7N82,
LSE::TING,TING,LSE,ETF,Tabula US Enhanced Infla UCITS ETF GBP H,Ireland,IE,IE00BN0T9H70,Fixed Income,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00YBCB4S5,
NGX::VETBANK,VETBANK,NGX,ETF,VETIVA BANKING ETF,Nigeria,NG,NGVETBANK009,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00B8SX0G1,
NSE_KE::NEWGOLDETF,NEWGOLDETF,NSE_KE,ETF,ABSA NEW GOLD ETF,Kenya,KE,KE5000007095,Commodity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
NYSE::WT,WT,NYSE,ETF,WisdomTree Inc.,United States,US,US97717P1049,,asset_type_mismatch,Dataset asset_type=ETF but official reference says Stock.,"WisdomTree, Inc. Common Stock",nasdaq_other_listed,True,0000880631,BBG000KLDTJ2,549300WIU8IS7UFO7871
OTC::VNGUF,VNGUF,OTC,ETF,Vanguard FTSE Emerging Markets UCITS,Ireland,IE,IE00B3VVMM84,,name_mismatch,Dataset name does not match official exchange directory name.,VANGUARD FDS MSCI EMRG,otc_markets_stock_screener,True,,BBG00PZGCTJ3,
SSE_CL::CFISP500,CFISP500,SSE_CL,ETF,Fondo de Inversion ETF Singular S&P 500 Fund,Chile,CL,,Equity,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
XETRA::BJL0,BJL0,XETRA,ETF,BNP Paribas Easy ESG Enhanced EUR Corp Bond December 2027 - UCITS ETF Distribution,Luxembourg,LU,LU2823898437,Fixed Income,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG01PD5PMX5,
JSE::NGPLD,NGPLD,JSE,ETF,NewGold Palladium ETF,South Africa,ZA,ZAE000182507,Commodity,name_mismatch,Dataset name does not match official exchange directory name.,NewPalladium ETF,jse_etf_list,False,,BBG0067PY764,
LSE::HSES,HSES,LSE,ETF,HSBC EUROPE SUS EQ UCITS ETF EUR (DIST),Ireland,IE,IE000WARATZ3,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG018M9TXS3,
