financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at
AALB.AS,AALB,.AS,AMS,Aalberts N.V.,secondary_review,true,2026-04-17T07:41:14Z
ABN.AS,ABN,.AS,AMS,ABN AMRO Bank N.V.,secondary_review,true,2026-04-17T07:41:14Z
AD.AS,AD,.AS,AMS,Koninklijke Ahold Delhaize N.V.,secondary_review,true,2026-04-17T07:41:14Z
ADYEN.AS,ADYEN,.AS,AMS,Adyen N.V.,secondary_review,true,2026-04-17T07:41:14Z
AGN.AS,AGN,.AS,AMS,Aegon Ltd.,secondary_review,true,2026-04-17T07:41:14Z
AJAX.AS,AJAX,.AS,AMS,AFC Ajax N.V.,secondary_review,true,2026-04-17T07:41:14Z
AKZA.AS,AKZA,.AS,AMS,Akzo Nobel N.V.,secondary_review,true,2026-04-17T07:41:14Z
APAM.AS,APAM,.AS,AMS,Aperam S.A.,secondary_review,true,2026-04-17T07:41:14Z
ARCAD.AS,ARCAD,.AS,AMS,Arcadis N.V.,secondary_review,true,2026-04-17T07:41:14Z
ASM.AS,ASM,.AS,AMS,ASM,secondary_review,true,2026-04-17T07:41:14Z
ASML.AS,ASML,.AS,AMS,ASML Holding N.V.,secondary_review,true,2026-04-17T07:41:14Z
ASRNL.AS,ASRNL,.AS,AMS,ASR Nederland,secondary_review,true,2026-04-17T07:41:14Z
BESI.AS,BESI,.AS,AMS,BE Semiconductor Industries N.V.,secondary_review,true,2026-04-17T07:41:14Z
CRBN.AS,CRBN,.AS,AMS,Corbion N.V.,secondary_review,true,2026-04-17T07:41:14Z
CSG.AS,CSG,.AS,AMS,CZECHOSLOVAK GROUP a.s.,secondary_review,true,2026-04-17T07:41:14Z
CVC.AS,CVC,.AS,AMS,CVC Capital Partners plc,secondary_review,true,2026-04-17T07:41:14Z
DSFIR.AS,DSFIR,.AS,AMS,DSM-Firmenich AG,secondary_review,true,2026-04-17T07:41:14Z
EBUS.AS,EBUS,.AS,AMS,Ebusco,secondary_review,true,2026-04-17T07:41:14Z
FAGR.AS,FAGR,.AS,AMS,Fagron NV,secondary_review,true,2026-04-17T07:41:14Z
FAST.AS,FAST,.AS,AMS,Fastned,secondary_review,true,2026-04-17T07:41:14Z
FLOW.AS,FLOW,.AS,AMS,Flow Traders,secondary_review,true,2026-04-17T07:41:14Z
FUR.AS,FUR,.AS,AMS,Fugro N.V.,secondary_review,true,2026-04-17T07:41:14Z
GLPG.AS,GLPG,.AS,AMS,Galapagos NV,secondary_review,true,2026-04-17T07:41:14Z
HAVAS.AS,HAVAS,.AS,AMS,Havas NV,secondary_review,true,2026-04-17T07:41:14Z
HEIA.AS,HEIA,.AS,AMS,Heineken N.V.,secondary_review,true,2026-04-17T07:41:14Z
INGA.AS,INGA,.AS,AMS,ING Groep N.V.,secondary_review,true,2026-04-17T07:41:14Z
JDEP.AS,JDEP,.AS,AMS,JDE Peet's N.V.,secondary_review,true,2026-04-17T07:41:14Z
KPN.AS,KPN,.AS,AMS,Koninklijke KPN N.V.,secondary_review,true,2026-04-17T07:41:14Z
LIGHT.AS,LIGHT,.AS,AMS,Signify N.V.,secondary_review,true,2026-04-17T07:41:14Z
MICC.AS,MICC,.AS,AMS,The Magnum Ice Cream Company N.V.,secondary_review,true,2026-04-17T07:41:14Z
MTRK.AS,MTRK,.AS,AMS,MotorK,secondary_review,true,2026-04-17T07:41:14Z
NN.AS,NN,.AS,AMS,NN Group N.V.,secondary_review,true,2026-04-17T07:41:14Z
PHIA.AS,PHIA,.AS,AMS,Koninklijke Philips N.V.,secondary_review,true,2026-04-17T07:41:14Z
PNL.AS,PNL,.AS,AMS,PostNL N.V.,secondary_review,true,2026-04-17T07:41:14Z
PRX.AS,PRX,.AS,AMS,Prosus N.V.,secondary_review,true,2026-04-17T07:41:14Z
RAND.AS,RAND,.AS,AMS,Randstad NV,secondary_review,true,2026-04-17T07:41:14Z
REN.AS,REN,.AS,AMS,RELX plc,secondary_review,true,2026-04-17T07:41:14Z
SBMO.AS,SBMO,.AS,AMS,SBM Offshore N.V.,secondary_review,true,2026-04-17T07:41:14Z
SHELL.AS,SHELL,.AS,AMS,Shell plc,secondary_review,true,2026-04-17T07:41:14Z
TKWY.AS,TKWY,.AS,AMS,Just Eat Takeaway.com NV,secondary_review,true,2026-04-17T07:41:14Z
TOM2.AS,TOM2,.AS,AMS,TomTom N.V.,secondary_review,true,2026-04-17T07:41:14Z
UMG.AS,UMG,.AS,AMS,Universal Music Group N.V.,secondary_review,true,2026-04-17T07:41:14Z
UNA.AS,UNA,.AS,AMS,Unilever PLC,secondary_review,true,2026-04-17T07:41:14Z
VPK.AS,VPK,.AS,AMS,Koninklijke Vopak N.V.,secondary_review,true,2026-04-17T07:41:14Z
WKL.AS,WKL,.AS,AMS,Wolters Kluwer N.V.,secondary_review,true,2026-04-17T07:41:14Z
ABEV3.SA,ABEV3,.SA,B3,Ambev S.A.,secondary_review,true,2026-04-17T07:41:14Z
AMER3.SA,AMER3,.SA,B3,Americanas S.A.,secondary_review,true,2026-04-17T07:41:14Z
ASAI3.SA,ASAI3,.SA,B3,Sendas Distribuidora S.A.,secondary_review,true,2026-04-17T07:41:14Z
AZUL4.SA,AZUL4,.SA,B3,Azul Brazilian Airlines,secondary_review,true,2026-04-17T07:41:14Z
BBAS3.SA,BBAS3,.SA,B3,Banco do Brasil S.A.,secondary_review,true,2026-04-17T07:41:14Z
BBDC3.SA,BBDC3,.SA,B3,Banco Bradesco S.A.,secondary_review,true,2026-04-17T07:41:14Z
BEEF3.SA,BEEF3,.SA,B3,Minerva Foods,secondary_review,true,2026-04-17T07:41:14Z
BEES3.SA,BEES3,.SA,B3,Banestes S.A. - Banco do Estado do Espírito Santo,secondary_review,true,2026-04-17T07:41:14Z
BHIA3.SA,BHIA3,.SA,B3,Grupo Casas Bahia S.A.,secondary_review,true,2026-04-17T07:41:14Z
BNBR3.SA,BNBR3,.SA,B3,Banco do Nordeste do Brasil S.A.,secondary_review,true,2026-04-17T07:41:14Z
BPAC11.SA,BPAC11,.SA,B3,Banco BTG Pactual S.A.,secondary_review,true,2026-04-17T07:41:14Z
BPAN4.SA,BPAN4,.SA,B3,Banco Pan S.A.,secondary_review,true,2026-04-17T07:41:14Z
BRAP3.SA,BRAP3,.SA,B3,Bradespar S.A,secondary_review,true,2026-04-17T07:41:14Z
BRFS3.SA,BRFS3,.SA,B3,BRF S.A.,secondary_review,true,2026-04-17T07:41:14Z
BRKM3.SA,BRKM3,.SA,B3,Braskem S.A,secondary_review,true,2026-04-17T07:41:14Z
BRSR3.SA,BRSR3,.SA,B3,Banco do Estado do Rio Grande do Sul S.A.,secondary_review,true,2026-04-17T07:41:14Z
BSLI3.SA,BSLI3,.SA,B3,BRB Banco de Brasília S.A.,secondary_review,true,2026-04-17T07:41:14Z
CAMB3.SA,CAMB3,.SA,B3,Penalty,secondary_review,true,2026-04-17T07:41:14Z
CCRO3.SA,CCRO3,.SA,B3,CCR S.A.,secondary_review,true,2026-04-17T07:41:14Z
CGAS3.SA,CGAS3,.SA,B3,Companhia de Gás de São Paulo - Comgás,secondary_review,true,2026-04-17T07:41:14Z
CLSC3.SA,CLSC3,.SA,B3,Centrais Elétricas de Santa Catarina S.A.,secondary_review,true,2026-04-17T07:41:14Z
CMIG3.SA,CMIG3,.SA,B3,CEMIG,secondary_review,true,2026-04-17T07:41:14Z
COGN3.SA,COGN3,.SA,B3,Cogna Educação S.A.,secondary_review,true,2026-04-17T07:41:14Z
CPFE3.SA,CPFE3,.SA,B3,CPFL Energia S.A.,secondary_review,true,2026-04-17T07:41:14Z
CPLE3.SA,CPLE3,.SA,B3,Companhia Paranaense de Energia,secondary_review,true,2026-04-17T07:41:14Z
CSAN3.SA,CSAN3,.SA,B3,Cosan S.A.,secondary_review,true,2026-04-17T07:41:14Z
CSNA3.SA,CSNA3,.SA,B3,Companhia Siderúrgica Nacional SA,secondary_review,true,2026-04-17T07:41:14Z
CYRE3.SA,CYRE3,.SA,B3,Cyrela Brazil Realty S.A Empreendimentos e Participações,secondary_review,true,2026-04-17T07:41:14Z
DASA3.SA,DASA3,.SA,B3,Diagnósticos da América S.A.,secondary_review,true,2026-04-17T07:41:14Z
DXCO3.SA,DXCO3,.SA,B3,Dexco S.A.,secondary_review,true,2026-04-17T07:41:14Z
ECOR3.SA,ECOR3,.SA,B3,EcoRodovias Infraestrutura e Logística S.A.,secondary_review,true,2026-04-17T07:41:14Z
