listing_key,ticker,exchange,status,first_observed_at,last_observed_at,effective_at,status_source,source_report,evidence_status
ADX::2POINTZERO,2POINTZERO,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ABNIC,ABNIC,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADAVIATION,ADAVIATION,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADCB,ADCB,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADNHC,ADNHC,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADNIC,ADNIC,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADNOCDIST,ADNOCDIST,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADNOCDRILL,ADNOCDRILL,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADNOCGAS,ADNOCGAS,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADNOCLS,ADNOCLS,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADPORTS,ADPORTS,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ADSB,ADSB,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::AFNIC,AFNIC,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::AGILITY,AGILITY,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::AGTHIA,AGTHIA,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::AIPOWR,AIPOWR,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::AKIC,AKIC,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ALAIN,ALAIN,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ALEFEDT,ALEFEDT,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ALPHADATA,ALPHADATA,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ALPHADHABI,ALPHADHABI,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ARAM,ARAM,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::AWNIC,AWNIC,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::BILDCO,BILDCO,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::BONDAE,BONDAE,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::BOROUGE,BOROUGE,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::BURJEEL,BURJEEL,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::CHADX15,CHADX15,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::CHHK,CHHK,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::DHAFRA,DHAFRA,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::DRIVE,DRIVE,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::E7,E7,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::EAND,EAND,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::EASYLEASE,EASYLEASE,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::EMSTEEL,EMSTEEL,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::ESHRAQ,ESHRAQ,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::FBI,FBI,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::FERTIGLB,FERTIGLB,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::FH,FH,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::FIDELITYUNITED,FIDELITYUNITED,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::GCEM,GCEM,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::GHITHA,GHITHA,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::GMPC,GMPC,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::GRMNY,GRMNY,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::HAYAH,HAYAH,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::INB,INB,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::INVICTUS,INVICTUS,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::JPANI,JPANI,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::JULPHAR,JULPHAR,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::KICO,KICO,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::KWTI,KWTI,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::MAIR,MAIR,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::MBME,MBME,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::METHAQ,METHAQ,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::MODON,MODON,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::NBF,NBF,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
ADX::NBQ,NBQ,ADX,active,2026-05-03T18:22:50Z,2026-08-19T17:07:58Z,,snapshot,,observed_unverified
