ticker,exchange,asset_type,name,isin,hkex_quote_url,hkex_heading,hkex_industry,sector_update,decision,error
00021,HKEX,Stock,GREAT CHI HLDGS,HK0000132420,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=21&sc_lang=en,GREAT CHINA HOLDINGS (HONG KONG) LTD. (21),Properties & Construction - Properties - Property Development,Real Estate,accept,
00025,HKEX,Stock,CHEVALIER INT'L,BMG2097Z1471,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=25&sc_lang=en,CHEVALIER INTERNATIONAL HOLDINGS LTD. (25),Conglomerates - Conglomerates - Conglomerates,,unsupported_hsic_sector,
00036,HKEX,Stock,FE HLDGS INTL,HK0001095345,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=36&sc_lang=en,FAR EAST HOLDINGS INTERNATIONAL LTD. (36),Properties & Construction - Properties - Property Investment,Real Estate,accept,
00039,HKEX,Stock,CH BEIDAHUANG,KYG2117W1087,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=39&sc_lang=en,CHINA BEIDAHUANG INDUSTRY GROUP HOLDINGS LTD. (39),Consumer Staples - Consumer Staple Retailers - Supermarkets & Convenience Stores,Consumer Staples,accept,
00042,HKEX,Stock,NE ELECTRIC,CNE1000003V0,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=42&sc_lang=en,NORTHEAST ELECTRIC DEVELOPMENT CO. LTD. - H SHARES (42),Industrials - Industrial Engineering - Industrial Components & Equipment,Industrials,accept,
00046,HKEX,Stock,COMPUTER & TECH,BMG2335C1082,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=46&sc_lang=en,COMPUTER AND TECHNOLOGIES HOLDINGS LTD. (46),Information Technology - Software & Services - Internet Services and Infrastructure,Information Technology,accept,
00048,HKEX,Stock,C AUTO INT DECO,KYG211351500,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=48&sc_lang=en,CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LTD. (48),Consumer Discretionary - Automobiles - Auto Parts,Consumer Discretionary,accept,
00050,HKEX,Stock,HK FERRY (HOLD),HK0050000345,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=50&sc_lang=en,HONG KONG FERRY (HOLDINGS) CO. LTD. (50),Properties & Construction - Properties - Property Investment,Real Estate,accept,
00058,HKEX,Stock,SUNWAY INT'L,BMG858331389,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=58&sc_lang=en,SUNWAY INTERNATIONAL HOLDINGS LTD. (58),Properties & Construction - Construction - Construction Materials,Industrials,accept,
00060,HKEX,Stock,HK FOOD INV,HK0060028229,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sym=60&sc_lang=en,HONG KONG FOOD INVESTMENT HOLDINGS LTD. (60),Consumer Staples - Food & Beverages - Packaged Foods,Consumer Staples,accept,
