listing_key,ticker,exchange,isin,wkn,figi,cik,lei,figi_source,cik_source,lei_source
SZSE::000001,000001,SZSE,CNE000000040,,BBG000BZDPV5,,,OpenFIGI,,
SZSE::000002,000002,SZSE,CNE0000000T2,,BBG000BZ9Z48,,,OpenFIGI,,
SZSE::000004,000004,SZSE,CNE0000000Y2,,BBG000BZFT18,,,OpenFIGI,,
SZSE::000006,000006,SZSE,CNE000000164,,BBG000BZFR12,,,OpenFIGI,,
SZSE::000007,000007,SZSE,CNE0000000P0,,BBG000BZDMM2,,,OpenFIGI,,
SZSE::000008,000008,SZSE,CNE0000001C6,,BBG000BZGLZ7,,,OpenFIGI,,
SZSE::000009,000009,SZSE,CNE000000222,,BBG000BZDL53,,,OpenFIGI,,
HKEX::00001,00001,HKEX,KYG217651051,,BBG0087DLDQ6,,,OpenFIGI,,
SZSE::000010,000010,SZSE,CNE000000156,,BBG000P6HN18,,,OpenFIGI,,
SZSE::000011,000011,SZSE,CNE000000248,,BBG000BZDJJ3,,,OpenFIGI,,
SZSE::000012,000012,SZSE,CNE0000002R2,,BBG000BZ9JN3,,,OpenFIGI,,
SZSE::000014,000014,SZSE,CNE0000003G3,,BBG000BZBV44,,,OpenFIGI,,
SZSE::000016,000016,SZSE,CNE0000002T8,,BBG000BZCMX1,,,OpenFIGI,,
SZSE::000017,000017,SZSE,CNE0000002Q4,,BBG000BZDGS9,,,OpenFIGI,,
SZSE::000019,000019,SZSE,CNE000000354,,BBG000BZDFX5,,,OpenFIGI,,
HKEX::00002,00002,HKEX,HK0002007356,,BBG000BDV566,,,OpenFIGI,,
KRX::000020,000020,KRX,KR7000020008,,,,,,,
SZSE::000020,000020,SZSE,CNE0000002V4,,,,,,,
SZSE::000021,000021,SZSE,CNE000000FK4,,BBG000BZDWD0,,,OpenFIGI,,
SZSE::000025,000025,SZSE,CNE0000008N8,,BBG000BZFWV8,,,OpenFIGI,,
SZSE::000026,000026,SZSE,CNE000000875,,BBG000BZFP16,,,OpenFIGI,,
SZSE::000027,000027,SZSE,CNE000000933,,BBG000BZDX11,,,OpenFIGI,,
SZSE::000028,000028,SZSE,CNE0000009N6,,BBG000BZFMV0,,,OpenFIGI,,
SZSE::000029,000029,SZSE,CNE0000009X5,,BBG000BZDD06,,,OpenFIGI,,
HKEX::00003,00003,HKEX,HK0003000038,,BBG000BBRDL1,,,OpenFIGI,,
SZSE::000030,000030,SZSE,CNE0000009Z0,,BBG000BZFM68,,,OpenFIGI,,
SZSE::000031,000031,SZSE,CNE000000BJ5,,BBG000BZDB55,,,OpenFIGI,,
SZSE::000032,000032,SZSE,CNE000000BK3,,BBG000BZD950,,,OpenFIGI,,
SZSE::000034,000034,SZSE,CNE000000DQ6,,BBG000BZFKM4,,,OpenFIGI,,
SZSE::000035,000035,SZSE,CNE000000FN8,,BBG000BZ98C9,,,OpenFIGI,,
SZSE::000036,000036,SZSE,CNE000000G13,,BBG000P6K4C4,,,OpenFIGI,,
SZSE::000037,000037,SZSE,CNE000000G62,,BBG000P6HLZ5,,,OpenFIGI,,
SZSE::000039,000039,SZSE,CNE000000644,,BBG000BZ9WF3,,,OpenFIGI,,
HKEX::00004,00004,HKEX,HK0004000045,,BBG000BD5H69,,,OpenFIGI,,
KRX::000040,000040,KRX,KR7000040006,,BBG000BPJVY5,,,OpenFIGI,,
SZSE::000042,000042,SZSE,CNE000000H53,,BBG000P6HFS6,,,OpenFIGI,,
SZSE::000045,000045,SZSE,CNE000000H61,,BBG000P6FT62,,,OpenFIGI,,
SZSE::000048,000048,SZSE,CNE000000HD5,,BBG000P6JZZ2,,,OpenFIGI,,
SZSE::000049,000049,SZSE,CNE0000000F1,,BBG000P6HBK3,,,OpenFIGI,,
HKEX::00005,00005,HKEX,GB0005405286,,BBG000BQ9HJ2,,MLU0ZO3ML4LN2LL2TL39,OpenFIGI,,GLEIF
KRX::000050,000050,KRX,KR7000050005,,,,,,,
SZSE::000050,000050,SZSE,CNE000000HT1,,,,,,,
SZSE::000055,000055,SZSE,CNE000000JY7,,BBG000P65Z78,,,OpenFIGI,,
SZSE::000056,000056,SZSE,CNE000000297,,BBG000P6H777,,,OpenFIGI,,
SZSE::000058,000058,SZSE,CNE000000NR3,,BBG000P6H615,,,OpenFIGI,,
SZSE::000059,000059,SZSE,CNE000000NY9,,BBG000D3ZMP4,,,OpenFIGI,,
HKEX::00006,00006,HKEX,HK0006000050,,BBG000BDWNL9,,,OpenFIGI,,
SZSE::000060,000060,SZSE,CNE000000FS7,,BBG000D424F9,,,OpenFIGI,,
SZSE::000061,000061,SZSE,CNE0000008V1,,BBG000P6H4P4,,,OpenFIGI,,
SZSE::000062,000062,SZSE,CNE0000008R9,,BBG000D422Z1,,,OpenFIGI,,
SZSE::000063,000063,SZSE,CNE000000TK5,,BBG000GC4YL3,,,OpenFIGI,,
SZSE::000065,000065,SZSE,CNE000000VZ9,,BBG000GBSRV3,,,OpenFIGI,,
SZSE::000066,000066,SZSE,CNE000000RL7,,BBG000D3MGY1,,,OpenFIGI,,
SZSE::000068,000068,SZSE,CNE000000QV8,,BBG000D40ZT7,,,OpenFIGI,,
SZSE::000069,000069,SZSE,CNE000000SS0,,BBG000D40Y74,,,OpenFIGI,,
HKEX::00007,00007,HKEX,BMG4643R1245,,BBG000C3C4P0,,,OpenFIGI,,
KRX::000070,000070,KRX,KR7000070003,,,,,,,
SZSE::000070,000070,SZSE,CNE000001238,,,,,,,
SZSE::000078,000078,SZSE,CNE000000X95,,BBG000DYQMY6,,,OpenFIGI,,
HKEX::00008,00008,HKEX,HK0008011667,,BBG000HS1864,,,OpenFIGI,,
KRX::000080,000080,KRX,KR7000080002,,BBG000BDN2M4,,,OpenFIGI,,
SZSE::000088,000088,SZSE,CNE000000SF7,,BBG000D3ZV74,,,OpenFIGI,,
SZSE::000089,000089,SZSE,CNE000000VK1,,BBG000GBXYC3,,,OpenFIGI,,
SZSE::000090,000090,SZSE,CNE000000F89,,BBG000CW5447,,,OpenFIGI,,
SZSE::000096,000096,SZSE,CNE000001410,,BBG000DPZTZ9,,,OpenFIGI,,
SZSE::000099,000099,SZSE,CNE0000013Q1,,BBG000DPW593,,,OpenFIGI,,
KRX::0000D0,0000D0,KRX,KR70000D0009,,BBG01R8V5G38,,,OpenFIGI,,
KRX::0000H0,0000H0,KRX,KR70000H0005,,BBG01T8D72W1,,,OpenFIGI,,
KRX::0000J0,0000J0,KRX,KR70000J0003,,BBG01RFVJ771,,,OpenFIGI,,
KRX::0000Y0,0000Y0,KRX,KR70000Y0004,,BBG01RFBKNN0,,,OpenFIGI,,
KRX::0000Z0,0000Z0,KRX,KR70000Z0003,,BBG01RFBGFT6,,,OpenFIGI,,
Bursa::0001,0001,Bursa,MYQ0001OO006,A14QAZ,BBG000BGQW39,,,OpenFIGI,,
HKEX::00010,00010,HKEX,HK0010000088,,BBG000BDWB08,,,OpenFIGI,,
KRX::000100,000100,KRX,KR7000100008,,BBG000BDQQP5,,,OpenFIGI,,
HKEX::00012,00012,HKEX,HK0012000102,,BBG000BDWF36,,,OpenFIGI,,
KRX::000120,000120,KRX,KR7000120006,,BBG000BCYPM3,,,OpenFIGI,,
HKEX::00013,00013,HKEX,KYG4672N1198,,BBG000P4SQF9,,,OpenFIGI,,
HKEX::00014,00014,HKEX,HK0014000126,,BBG000BDX476,,,OpenFIGI,,
KRX::000140,000140,KRX,KR7000140004,,BBG000BDFNX5,,,OpenFIGI,,
KRX::000150,000150,KRX,KR7000150003,,BBG000BCX192,,,OpenFIGI,,
SZSE::000151,000151,SZSE,CNE0000014J4,,BBG000DPW1W6,,,OpenFIGI,,
SZSE::000153,000153,SZSE,CNE0000014X5,,BBG000DPVWK2,,,OpenFIGI,,
SZSE::000156,000156,SZSE,CNE0000014L0,,BBG000DPXXL7,,,OpenFIGI,,
SZSE::000157,000157,SZSE,CNE000001527,,,,,,,
SZSE::000158,000158,SZSE,CNE0000013X7,,BBG000DPZW37,,,OpenFIGI,,
SZSE::000159,000159,SZSE,CNE0000014R7,,BBG000DQ15Q6,,,OpenFIGI,,
HKEX::00016,00016,HKEX,HK0016000132,,BBG000BF0155,,,OpenFIGI,,
SZSE::000166,000166,SZSE,CNE100002FD4,,BBG000G92HQ4,,,OpenFIGI,,
HKEX::00017,00017,HKEX,HK0000608585,,BBG000BDYD39,,,OpenFIGI,,
HKEX::00018,00018,HKEX,HK0018000155,,BBG000BDYHP6,,,OpenFIGI,,
KRX::000180,000180,KRX,KR7000180000,,BBG000BFXSB3,,,OpenFIGI,,
HKEX::00019,00019,HKEX,HK0019000162,,BBG000BF0315,,,OpenFIGI,,
KRX::0001P0,0001P0,KRX,KR70001P0004,,BBG01RFBFVP6,,,OpenFIGI,,
KRX::0001S0,0001S0,KRX,KR70001S0001,,BBG01RFBL059,,,OpenFIGI,,
Bursa::0002,0002,Bursa,MYQ0002OO004,,BBG000BDDMJ5,,,OpenFIGI,,
