listing_key,ticker,exchange,asset_type,isin,instrument_group_key,instrument_scope,scope_reason,primary_listing_key
ADX::2POINTZERO,2POINTZERO,ADX,Stock,AEM001001019,AEM001001019,core,primary_listing,ADX::2POINTZERO
ADX::ABNIC,ABNIC,ADX,Stock,AEA001701019,AEA001701019,core,primary_listing,ADX::ABNIC
ADX::ADAVIATION,ADAVIATION,ADX,Stock,AEA001001014,AEA001001014,core,primary_listing,ADX::ADAVIATION
ADX::ADCB,ADCB,ADX,Stock,AEA000201011,AEA000201011,core,primary_listing,ADX::ADCB
ADX::ADNHC,ADNHC,ADX,Stock,AEE01486A245,AEE01486A245,core,primary_listing,ADX::ADNHC
ADX::ADNIC,ADNIC,ADX,Stock,AEA001101012,AEA001101012,core,primary_listing,ADX::ADNIC
ADX::ADNOCDIST,ADNOCDIST,ADX,Stock,AEA006101017,AEA006101017,core,primary_listing,ADX::ADNOCDIST
ADX::ADNOCDRILL,ADNOCDRILL,ADX,Stock,AEA007301012,AEA007301012,core,primary_listing,ADX::ADNOCDRILL
ADX::ADNOCGAS,ADNOCGAS,ADX,Stock,AEE01195A234,AEE01195A234,core,primary_listing,ADX::ADNOCGAS
ADX::ADNOCLS,ADNOCLS,ADX,Stock,AEE01268A239,AEE01268A239,core,primary_listing,ADX::ADNOCLS
ADX::ADPORTS,ADPORTS,ADX,Stock,AEA004601018,AEA004601018,core,primary_listing,ADX::ADPORTS
ADX::ADSB,ADSB,ADX,Stock,AEA000901016,AEA000901016,core,primary_listing,ADX::ADSB
ADX::AFNIC,AFNIC,ADX,Stock,AEA002901014,AEA002901014,core,primary_listing,ADX::AFNIC
ADX::AGILITY,AGILITY,ADX,Stock,AEE01376A248,AEE01376A248,core,primary_listing,ADX::AGILITY
ADX::AGTHIA,AGTHIA,ADX,Stock,AEA001901015,AEA001901015,core,primary_listing,ADX::AGTHIA
ADX::AIPOWR,AIPOWR,ADX,ETF,IE000591PJN0,IE000591PJN0,core,primary_listing,ADX::AIPOWR
ADX::AKIC,AKIC,ADX,Stock,AEA000401017,AEA000401017,core,primary_listing,ADX::AKIC
ADX::ALAIN,ALAIN,ADX,Stock,AEA000101013,AEA000101013,core,primary_listing,ADX::ALAIN
ADX::ALEFEDT,ALEFEDT,ADX,Stock,AEE01388A243,AEE01388A243,core,primary_listing,ADX::ALEFEDT
ADX::ALPHADATA,ALPHADATA,ADX,Stock,AEE01575A252,AEE01575A252,core,primary_listing,ADX::ALPHADATA
ADX::ALPHADHABI,ALPHADHABI,ADX,Stock,AEA007601015,AEA007601015,core,primary_listing,ADX::ALPHADHABI
ADX::ARAM,ARAM,ADX,Stock,AES000601014,AES000601014,core,primary_listing,ADX::ARAM
