exchange,current_venue_status,public_scope,decision,reason_code,required_evidence,commercial_option_key,reviewed_at
ASX,official_partial,official_public_subset,retain_official_partial,blocked_source_unavailable,Fresh complete directory; all product classes; >=99.5% collision-adjusted recall; explicit redistribution rights,asx_referencepoint,2026-08-02
ATHEX,official_partial,official_public_subset,retain_official_partial,blocked_product_class_gap,Fresh complete directory; ETF coverage; >=99.5% collision-adjusted recall; explicit redistribution rights,athex_reference_data_service,2026-08-02
BCBA,official_partial,official_security_lookup_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
BMV,official_partial,official_public_subset,retain_official_partial,blocked_denominator_missing,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
BSE_BW,official_partial,official_public_subset,retain_official_partial,blocked_source_unavailable,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
BSE_HU,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
BVC,official_partial,official_public_subset,retain_official_partial,blocked_source_unavailable,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
BVL,official_partial,official_security_lookup_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
Bursa,official_partial,official_public_subset,retain_official_partial,blocked_source_unavailable,Fresh complete directory; all product classes; >=99.5% collision-adjusted recall; written redistribution permission,bursa_information_services,2026-08-02
CPH,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete directory; all product classes; >=99.5% collision-adjusted recall; explicit redistribution rights,nasdaq_nordic_reference_data,2026-08-02
DSE_TZ,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
EGX,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
GSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
HEL,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete directory; all product classes; >=99.5% collision-adjusted recall; explicit redistribution rights,nasdaq_nordic_reference_data,2026-08-02
HOSE,official_partial,official_public_subset,retain_official_partial,blocked_source_unavailable,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
ICE_IS,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete directory; all product classes; >=99.5% collision-adjusted recall; explicit redistribution rights,nasdaq_nordic_reference_data,2026-08-02
JSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete directory; stock coverage; >=99.5% collision-adjusted recall; explicit redistribution rights,jse_reference_data,2026-08-02
LUSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
MSE_MW,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
NMFQS,official_partial,official_security_lookup_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
PSE_CZ,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
RSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
SIX,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete directory; all product classes; >=99.5% collision-adjusted recall; written redistribution approval,six_reference_data,2026-08-02
SSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
STO,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete directory; all product classes; >=99.5% collision-adjusted recall; explicit redistribution rights,nasdaq_nordic_reference_data,2026-08-02
SZSE,official_partial,official_public_subset,retain_official_partial,blocked_source_unavailable,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
TASE,official_partial,official_public_subset,retain_official_partial,blocked_source_unavailable,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
TPEX,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-03
USE_UG,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-03
VSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; ETF coverage; >=99.5% collision-adjusted recall,,2026-08-03
WSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-02
ZSE,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-03
ZSE_ZW,official_partial,official_public_subset,retain_official_partial,blocked_nonfresh_source,Fresh complete exchange directory; all product classes; >=99.5% collision-adjusted recall,,2026-08-03
