ticker,name,exchange,asset_type,sector,country,country_code,isin,aliases,source_key,source_url,reference_scope
BPAC11,BCO BTG PACTUAL S.A.,B3,Stock,,Brazil,BR,BRBPACUNT006,Banco BTG Pactual S.A.,b3_instruments_equities,https://arquivos.b3.com.br/bdi/table/InstrumentsEquities,exchange_directory
SANB11,BCO SANTANDER (BRASIL) S.A.,B3,Stock,,Brazil,BR,BRSANBCDAM13,Banco Santander (Brasil) S.A.,b3_instruments_equities,https://arquivos.b3.com.br/bdi/table/InstrumentsEquities,exchange_directory
SAPR11,CIA SANEAMENTO DO PARANA - SANEPAR,B3,Stock,,Brazil,BR,BRSAPRCDAM13,Sanepar,b3_instruments_equities,https://arquivos.b3.com.br/bdi/table/InstrumentsEquities,exchange_directory
ADOR,Ador Welding Ltd,BSE_IN,Stock,,India,IN,INE045A01017,Ador Welding Limited,bse_india_scrips,https://www.bseindia.com/corporates/List_Scrips.html,exchange_directory
BATLIBOI,Batliboi Ltd-$,BSE_IN,Stock,,India,IN,INE177C01022,Batliboi Limited,bse_india_scrips,https://www.bseindia.com/corporates/List_Scrips.html,exchange_directory
DBCORP,D. B. Corp Ltd,BSE_IN,Stock,,India,IN,INE950I01011,D B Corp Ltd.,bse_india_scrips,https://www.bseindia.com/corporates/List_Scrips.html,exchange_directory
HAWKINCOOK,Hawkins Cookers Ltd-$,BSE_IN,Stock,,India,IN,INE979B01015,Hawkins Cookers Limited,bse_india_scrips,https://www.bseindia.com/corporates/List_Scrips.html,exchange_directory
SPICEJET,Spicejet Ltd,BSE_IN,Stock,,India,IN,INE285B01017,SpiceJet,bse_india_scrips,https://www.bseindia.com/corporates/List_Scrips.html,exchange_directory
1295,PUBLIC BANK BHD,Bursa,Stock,,Malaysia,MY,MYL1295OO004,Public Bank Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5209,GAS MALAYSIA BERHAD,Bursa,Stock,,Malaysia,MY,MYL5209OO001,Gas Malaysia Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5211,SUNWAY BERHAD,Bursa,Stock,,Malaysia,MY,MYL5211OO007,Sunway Group,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5236,MATRIX CONCEPTS HOLDINGS BHD,Bursa,Stock,,Malaysia,MY,MYL5236OO004,Matrix Concepts Holdings Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5267,XIN HWA HOLDINGS BERHAD,Bursa,Stock,,Malaysia,MY,MYL5267OO009,Xin Hwa Holdings Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5272,RANHILL UTILITIES BERHAD,Bursa,Stock,,Malaysia,MY,MYL5272OO009,Ranhill Utilities Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5274,HONG LEONG CAPITAL BERHAD,Bursa,Stock,,Malaysia,MY,MYL5274OO005,Hong Leong Capital Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5347,TENAGA NASIONAL BHD,Bursa,Stock,,Malaysia,MY,MYL5347OO009,Tenaga Nasional Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
5398,GAMUDA BHD,Bursa,Stock,,Malaysia,MY,MYL5398OO002,Gamuda Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
6483,KENANGA INVESTMENT BANK BERHAD,Bursa,Stock,,Malaysia,MY,MYL6483OO001,Kenanga Investment Bank Berhad,bursa_equity_isin,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69ccd9a1e6414acef94001aa/isinequity_as_of__31_Mar_2026.pdf,listed_companies_subset
00788,CHINA TOWER,HKEX,Stock,,Hong Kong,HK,CNE100006V65,China Tower Corporation Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01105,SING TAO,HKEX,Stock,,Hong Kong,HK,BMG8196H1280,Sing Tao News Corporation Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01124,COASTAL GL,HKEX,Stock,,Hong Kong,HK,BMG2239B1643,Coastal Greenland Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01132,ORANGE SKY G H,HKEX,Stock,,Hong Kong,HK,BMG6770K1291,Orange Sky Golden Harvest Entertainment (Holdings) Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01133,HARBIN ELECTRIC,HKEX,Stock,,Hong Kong,HK,CNE1000003C0,Harbin Electric Company Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01137,HK TECH VENTURE,HKEX,Stock,,Hong Kong,HK,HK0000065349,Hong Kong Technology Venture Company Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01157,ZOOMLION,HKEX,Stock,,Hong Kong,HK,CNE100000X85,Zoomlion Heavy Industry Science and Technology,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01186,CHINA RAIL CONS,HKEX,Stock,,Hong Kong,HK,CNE100000981,China Railway Construction Corporation Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01199,COSCO SHIP PORT,HKEX,Stock,,Hong Kong,HK,BMG2442N1048,COSCO Shipping Ports Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01205,CITIC RESOURCES,HKEX,Stock,,Hong Kong,HK,BMG2155Y1075,CITIC Resources Holdings Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01208,MMG,HKEX,Stock,,Hong Kong,HK,HK1208013172,MMG Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01209,CHINA RES MIXC,HKEX,Stock,,Hong Kong,HK,KYG2122G1064,China Resources Mixc Lifestyle Services Limited,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01239,TEAMWAY INTL GP,HKEX,Stock,,Hong Kong,HK,KYG8713D1549,Teamway International Group Holdings,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
01359,CHINA CINDA,HKEX,Stock,,Hong Kong,HK,CNE100001QS1,China Cinda,hkex_securities_list,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,exchange_directory
