exchange_code,operating_mic,segment_mic,canonical_name,country_code,evidence_url,reviewed_at,reviewer
ADX,XADS,,Abu Dhabi Securities Exchange,AE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
AMS,XAMS,,Euronext Amsterdam,NL,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
ASX,XASX,,Australian Securities Exchange,AU,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
ATHEX,ASEX,XATH,Athens Exchange,GR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
B3,BVMF,,B3 - Brasil Bolsa Balcao,BR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BATS,BATS,,Cboe BZX U.S. Equities Exchange,US,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BCBA,XBUE,,Bolsas y Mercados Argentinos,AR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BHB,XBAH,,Bahrain Bourse,BH,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BIST,XIST,,Borsa Istanbul,TR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BK,XKUW,,Boursa Kuwait,KW,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BME,XMAD,,Bolsa de Madrid,ES,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BMV,XMEX,,Bolsa Mexicana de Valores,MX,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BSE_BW,XBOT,,Botswana Stock Exchange,BW,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BSE_HU,XBUD,,Budapest Stock Exchange,HU,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BSE_IN,XBOM,,BSE Ltd,IN,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BVB,XBSE,,Bucharest Stock Exchange,RO,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BVC,XBOG,,Bolsa de Valores de Colombia,CO,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
BVL,XLIM,,Bolsa de Valores de Lima,PE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
Borsa Italiana,XMIL,,Borsa Italiana,IT,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
Bursa,XKLS,,Bursa Malaysia,MY,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
CPH,XCSE,,Nasdaq Copenhagen,DK,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
CSE_LK,XCOL,,Colombo Stock Exchange,LK,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
CSE_MA,XCAS,,Casablanca Stock Exchange,MA,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
DFM,XDFM,,Dubai Financial Market,AE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
DSE_TZ,XDAR,,Dar es Salaam Stock Exchange,TZ,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
EGX,XCAI,,Egyptian Exchange,EG,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
Euronext,XPAR,,Euronext Paris,FR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
FSX,XFRA,,Frankfurt Stock Exchange,DE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
GSE,XGHA,,Ghana Stock Exchange,GH,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
HEL,XHEL,,Nasdaq Helsinki,FI,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
HKEX,XHKG,,Hong Kong Exchanges and Clearing,HK,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
HNX,HSTC,,Hanoi Stock Exchange,VN,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
HOSE,XSTC,,Ho Chi Minh Stock Exchange,VN,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
ICE_IS,XICE,,Nasdaq Iceland,IS,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
IDX,XIDX,,Indonesia Stock Exchange,ID,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
ISE,XDUB,,Euronext Dublin,IE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
JSE,XJSE,,Johannesburg Stock Exchange,ZA,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
KOSDAQ,XKRX,XKOS,KOSDAQ,KR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
KRX,XKRX,,Korea Exchange,KR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
LSE,XLON,,London Stock Exchange,GB,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
LUSE,XLUS,,Lusaka Securities Exchange,ZM,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
MSE_MW,XMSW,,Malawi Stock Exchange,MW,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
MSX,XMUS,,Muscat Stock Exchange,OM,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
Munich,XMUN,,Boerse Muenchen,DE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NASDAQ,XNAS,,Nasdaq,US,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NEO,NEOE,,NEO Exchange,CA,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NGX,XNSA,,Nigerian Exchange,NG,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NMFQS,XNAS,,Nasdaq Mutual Fund Quotation Service,US,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
