ticker,exchange,asset_type,name,category_update,matched_rule,decision
00945B,TWSE,ETF,KGI SECURITIES INVT TST CO LTD,,,no_rule_match
2080,TSE,ETF,PBR Improvement over 1x ETF,,,no_rule_match
2081,TSE,ETF,Strategic Shareholding Disposal Promotion ETF,,,no_rule_match
2082,TSE,ETF,Investor-Management Unite as One ETF,,,no_rule_match
426330,KRX,ETF,KOSEF USA ETF Industry STOXX,,,no_rule_match
460280,KRX,ETF,460280,,,no_rule_match
462A,TSE,ETF,"FUNDINNO,INC.",,,no_rule_match
8747,TSE,ETF,"YUTAKA TRUSTY SECURITIES CO.,LTD.",,,no_rule_match
ATCL,NYSE ARCA,ETF,REX ETF Trust,,,no_rule_match
BCGD,NYSE,ETF,Baron ETF Trust,,,no_rule_match
BCSM,NYSE,ETF,Baron ETF Trust,,,no_rule_match
BFRE,OTC,ETF,Ultimus Managers Trust,,,no_rule_match
BLTN,AMS,ETF,iSh Brzil LTN BRL Gvt Bnd,,,no_rule_match
BNOBF,OTC,ETF,OBAM N.V. Classic,,,no_rule_match
BPRO,NYSE ARCA,ETF,Bitwise Proficio Currency Debasement ETF,,,no_rule_match
BQGE,XETRA,ETF,Ossiam Lux Barclays Quantic Global E NR,,,no_rule_match
CDO,ASX,ETF,CADENCE OPPORTUNITIES FUND LIMITED.,,,no_rule_match
CFIBCHREN1,SSE_CL,ETF,Fondo de Inversión Banchile Rentas Inmobiliarias,,,no_rule_match
CFIBTGRCA,SSE_CL,ETF,BTG Pactual Renta Comercial F. I.,,,no_rule_match
CFIETFCC,SSE_CL,ETF,Fondo De Inversion ETF Singular Chile Corporativo,,,no_rule_match
CFIETFIPSA,SSE_CL,ETF,FI ETF SINGULAR IPSA,,,no_rule_match
CFIIMDLAT,SSE_CL,ETF,Moneda Deuda Latinoamericana fondo de inversion,,,no_rule_match
CFILVPARI1,SSE_CL,ETF,Aurus Capital Renta Inmobiliaria Fondo de Inversión,,,no_rule_match
CFINHRFLA,SSE_CL,ETF,"Fi Nevasa Ahorro, Serie A",,,no_rule_match
CFMITNIPSA,SSE_CL,ETF,Fondo Mutuo ETF IT Now IPSA,,,no_rule_match
CFND,NYSE,ETF,C1 Fund Inc.,,,no_rule_match
CLCV,NYSE ARCA,ETF,Crossmark ETF Trust,,,no_rule_match
CLOB,NYSE ARCA,ETF,VanEck ETF Trust,,,no_rule_match
CMBG,LSE,ETF,UBS AG LONDON CERT PERP(CMDJGMT IDX),,,no_rule_match
CPII,NYSE ARCA,ETF,American Beacon Select Funds,,,no_rule_match
CSIO,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,no_rule_match
CSPF,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,no_rule_match
