ticker,exchange,asset_type,name,nyse_symbol,nyse_issuer_name,nyse_issue_name,nyse_instrument_type,nyse_isin,nyse_asset_class,nyse_strategy,isin_update,category_update,decision
AACI,NASDAQ,Stock,Armada Acquisition Corp. III,,,,,,,,,,no_nyse_sample_match
AACO,NASDAQ,Stock,Abony Acquisition Corp. I,,,,,,,,,,no_nyse_sample_match
AACP,NASDAQ,Stock,Apogee Acquisition Corp,,,,,,,,,,no_nyse_sample_match
ACCL,NASDAQ,Stock,Acco Group Holdings Limited Ordinary Shares,,,,,,,,,,no_nyse_sample_match
ADAC,NASDAQ,Stock,American Drive Acquisition Company,,,,,,,,,,no_nyse_sample_match
ADAMM,NASDAQ,Stock,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable",,,,,,,,,,no_nyse_sample_match
ADUR,NASDAQ,Stock,Aduro Clean Technologies Inc.,ADUR,Aduro Clean Technologies Inc,COM,A,CA0074082060,,,,,no_update
AER,NYSE,Stock,AerCap Holdings NV,AER,AerCap Holdings N.V.,Ordinary Shares,A,NL0000687663,,,,,no_update
AERO,NYSE,Stock,"Grupo Aeroméxico, S.A.B. de C.V.",,,,,,,,,,no_nyse_sample_match
AESP,NASDAQ,Stock,Aeon Acquisition I Corp. - Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
AGRO,NYSE,Stock,Adecoagro SA,AGRO,Adecoagro S.A.,Common Shares,A,LU0584671464,,,,,no_update
AIBZ,NASDAQ,Stock,Bitzero Holdings Inc.,,,,,,,,,,no_nyse_sample_match
AIIA,NYSE,Stock,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
AIIR,NASDAQ,Stock,Air Global PLC - Ordinary shares,,,,,,,,,,no_nyse_sample_match
AIR,NYSE,Stock,AAR Corp,,,,,,,,,,name_mismatch
AIXI,NASDAQ,Stock,Xiao-I Corporation,,,,,,,,,,name_mismatch
ALAI,NYSE ARCA,ETF,The Alger ETF Trust,,,,,,,,,,name_mismatch
ALF,NASDAQ,Stock,Centurion Acquisition Corp.,,,,,,,,,,name_mismatch
ALPS,NASDAQ,Stock,ALPS Group Inc,,,,,,,,,,no_nyse_sample_match
ALUB,NYSE,Stock,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
AOMD,NYSE,Stock,"Angel Oak Mortgage REIT, Inc",,,,,,,,,,no_nyse_sample_match
APAC,NASDAQ,Stock,StoneBridge Acquisition II Corporation,,,,,,,,,,no_nyse_sample_match
APAD,NASDAQ,Stock,A Paradise Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
APMC,NASDAQ,Stock,AmperCap Acquisition Company - Ordinary Shares,,,,,,,,,,no_nyse_sample_match
APUR,NASDAQ,Stock,Aperture AC,,,,,,,,,,no_nyse_sample_match
APXT,NASDAQ,Stock,Apex Treasury Corporation,,,,,,,,,,no_nyse_sample_match
ARKT,BATS,ETF,ARK ETF Trust - Ark Q4 Defined Innovation Etf,,,,,,,,,,no_nyse_sample_match
ARMU,NYSE MKT,ETF,T-Rex 2X Long ARM Daily Target ETF,,,,,,,,,,no_nyse_sample_match
ARTC,NASDAQ,Stock,Art Technology Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
ARWG,BATS,ETF,Archer Investment Series Trust - Archer Growth ETF,,,,,,,,,,no_nyse_sample_match
ATCL,NYSE ARCA,ETF,REX ETF Trust,,,,,,,,,,no_nyse_sample_match
ATCX,NASDAQ,Stock,Atlas Critical Minerals Corporation,,,,,,,,,,no_nyse_sample_match
ATI,NYSE,Stock,ATI Inc.,,,,,,,,,,name_mismatch
AZN,NYSE,Stock,AstraZeneca PLC Ordinary Shares,,,,,,,,,,name_mismatch
AZUL,NYSE MKT,Stock,Azul S.A.,,,,,,,,,,name_mismatch
BBU,NYSE,Stock,Brookfield Business Partners LP,BBU,Brookfield Business Partners L.P.,Limited Partnership Units,A,BMG162341090,,,,,no_update
BCPL,NYSE ARCA,ETF,BNY Mellon ETF Trust II,,,,,,,,,,no_nyse_sample_match
BCSS,NYSE,Stock,Bain Capital GSS Investment Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
BDCI,NASDAQ,Stock,BTC Development Corp.,,,,,,,,,,no_nyse_sample_match
BEBE,NYSE,Stock,TGE Value Creative Solutions Corp,,,,,,,,,,no_nyse_sample_match
BFOC,NYSE ARCA,ETF,FT Vest Bitcoin Strat Floor15 ETF - Oct,,,,,,,,,,no_nyse_sample_match
BHST,NASDAQ,Stock,BioHarvest Sciences Inc.,BHST,BioHarvest Sciences Inc,COM,A,CA09076J2074,,,,,no_update
BIII,NYSE,Stock,Black Spade Acquisition III Co Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
BIO.B,NYSE,Stock,"Bio-Rad Laboratories, Inc. Class B  Common Stock",,,,,,,,,,no_nyse_sample_match
BKDV,NYSE ARCA,ETF,BNY Mellon ETF Trust II,BKDV,BNY Mellon ETF Trust II,BNY Mellon Dynamic Value ETF,ETF,US05613H1005,EQUITY,ACTIVE,US05613H1005,,accept_isin
BKFI,NYSE ARCA,ETF,BNY Mellon ETF Trust II,,,,,,,,,,no_nyse_sample_match
BLX,NYSE,Stock,Foreign Trade Bank of Latin America Inc,,,,,,,,,,name_mismatch
BPAC,NASDAQ,Stock,Blueport Acquisition Ltd,,,,,,,,,,no_nyse_sample_match
BPRE,NYSE,ETF,Bluerock Private Real Estate Fund,,,,,,,,,,no_nyse_sample_match
BREZ,NASDAQ,Stock,Breeze Acquisition Corp. II,,,,,,,,,,no_nyse_sample_match
BRHY,NASDAQ,ETF,BlackRock High Yield ETF,,,,,,,,,,name_mismatch
BRKD,NASDAQ,ETF,Direxion Daily BRKB Bear 1X Shares,,,,,,,,,,no_nyse_sample_match
BTFD,NYSE,ETF,Valkyrie Bitcoin Strategy ETF,,,,,,,,,,no_nyse_sample_match
BWIV,NYSE,Stock,Blue Water Acquisition Corp. IV Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
CAES,NASDAQ,Stock,"Cantor Equity Partners VII, Inc.",,,,,,,,,,no_nyse_sample_match
CAII,NASDAQ,Stock,Collective Acquisition Corp. II - Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
CBXJ,BATS,ETF,Calamos Bitcoin 90% Protection Strategy ETF - Month TBD 1,,,,,,,,,,no_nyse_sample_match
CCXI,NASDAQ,Stock,Churchill Capital Corp XI,,,,,,,,,,no_nyse_sample_match
CFND,NYSE,ETF,C1 Fund Inc.,,,,,,,,,,no_nyse_sample_match
CGTL,NASDAQ,Stock,Creative Global Technology Holdings Limited,CGTL,Creative Global Technology Holdings Ltd,ORD USD0.001,A,KYG2563P1028,,,,,no_update
CLBR,NYSE,Stock,Colombier Acquisition Corp. III Class A Ordinary Shares,,,,,,,,,,name_mismatch
