ticker,exchange,asset_type,name,nyse_symbol,nyse_issuer_name,nyse_issue_name,nyse_instrument_type,nyse_isin,nyse_asset_class,nyse_strategy,isin_update,category_update,decision
AAPR,BATS,ETF,Innovator Equity Defined Protection ETF - 2 Yr To April 2026,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,ETF,ETF,US45783Y3356,,,US45783Y3356,,accept_isin
ACCL,NASDAQ,Stock,Acco Group Holdings Limited Ordinary Shares,,,,,,,,,,no_nyse_sample_match
ACEI,NYSE ARCA,ETF,Innovator Equity Autocallable Income Strategy ETF,,,,,,,,,,no_nyse_sample_match
ACII,NYSE ARCA,ETF,Innovator Index Autocallable Income Strategy ETF,,,,,,,,,,no_nyse_sample_match
ACKY,NYSE ARCA,ETF,VistaShares Target 15 ACKtivist Select Income ETF,,,,,,,,,,no_nyse_sample_match
ACYN,NYSE ARCA,ETF,FT Vest Laddered Autocallable Barrier & Income ETF,,,,,,,,,,no_nyse_sample_match
ADAM,NASDAQ,Stock,"Adamas Trust, Inc.",,,,,,,,,,no_nyse_sample_match
ADAMG,NASDAQ,Stock,"Adamas Trust, Inc.",,,,,,,,,,no_nyse_sample_match
ADAMH,NASDAQ,Stock,"Adamas Trust, Inc.",,,,,,,,,,no_nyse_sample_match
ADAMM,NASDAQ,Stock,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable",,,,,,,,,,no_nyse_sample_match
ADAMN,NASDAQ,Stock,"Adamas Trust, Inc",,,,,,,,,,no_nyse_sample_match
ADAMZ,NASDAQ,Stock,"Adamas Trust, Inc",,,,,,,,,,no_nyse_sample_match
AEAQ,NASDAQ,Stock,Activate Energy Acquisition Corp. Class A Ordinary Share,,,,,,,,,,no_nyse_sample_match
AEC,NASDAQ,Stock,Anfield Energy Inc.,,,,,,,,,,no_nyse_sample_match
AERO,NYSE,Stock,"Grupo Aeroméxico, S.A.B. de C.V.",,,,,,,,,,no_nyse_sample_match
AETH,NYSE ARCA,ETF,Bitwise Trendwise Ethereum & Treasuries Rotation Strategy ETF,AETH,Bitwise Funds Trust,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,ETF,US0917483010,COMMODITIES_AND_FUTURES,ACTIVE,US0917483010,,accept_isin
AGGA,NASDAQ,ETF,Astoria Dynamic Core US Fixed Income ETF,,,,,,,,,,no_nyse_sample_match
AGIQ,NYSE ARCA,ETF,SoFi Agentic AI ETF,,,,,,,,,,no_nyse_sample_match
AINT,NYSE ARCA,ETF,FINQ DOLLAR NEUTRAL U.S. Large Cap AI-Managed Equity ETF,,,,,,,,,,no_nyse_sample_match
AIR,NYSE,Stock,AAR Corp,,,,,,,,,,name_mismatch
ALOV,NASDAQ,Stock,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. Class A Ordinary Shares",,,,,,,,,,no_nyse_sample_match
ALOY,NASDAQ,Stock,REalloys Inc.,,,,,,,,,,no_nyse_sample_match
ALUB-UN,NYSE,Stock,Alussa Energy Acquisition Corp. II,,,,,,,,,,no_nyse_sample_match
AMUU,NASDAQ,ETF,Direxion Daily AMD Bull 2X Shares,,,,,,,,,,no_nyse_sample_match
AOMD,NYSE,Stock,"Angel Oak Mortgage REIT, Inc",,,,,,,,,,no_nyse_sample_match
APRP,BATS,ETF,PGIM US Large-Cap Buffer 12 ETF - April,APRP,PGIM US Large-Cap Buffer 12 ETF - April,ETF,ETF,US69420N7003,,,US69420N7003,,accept_isin
APXM,BATS,ETF,FT Vest U.S. Equity Max Buffer ETF - April,,,,,,,,,,no_nyse_sample_match
ARKT,BATS,ETF,ARK ETF Trust - Ark Q4 Defined Innovation Etf,,,,,,,,,,no_nyse_sample_match
ARMU,NYSE MKT,ETF,T-Rex 2X Long ARM Daily Target ETF,,,,,,,,,,no_nyse_sample_match
ARWG,BATS,ETF,Archer Investment Series Trust - Archer Growth ETF,,,,,,,,,,no_nyse_sample_match
ARX,NYSE,Stock,Accelerant Holdings,,,,,,,,,,no_nyse_sample_match
ATCL,NYSE ARCA,ETF,REX ETF Trust,,,,,,,,,,no_nyse_sample_match
ATFV,NYSE ARCA,ETF,Alger 35 ETF,ATFV,The Alger ETF Trust,Alger 35 ETF,ETF,US0155642061,EQUITY,ACTIVE,,Equity,accept_etf_category
ATI,NYSE,Stock,ATI Inc.,,,,,,,,,,name_mismatch
ATII,NASDAQ,Stock,Archimedes Tech SPAC Partners II Co. Ordinary Shares,,,,,,,,,,no_nyse_sample_match
AUGP,BATS,ETF,PGIM US Large-Cap Buffer 12 ETF - August,AUGP,PGIM US Large-Cap Buffer 12 ETF - August,ETF,ETF,US69420N8258,,,US69420N8258,,accept_isin
AVS,NASDAQ,ETF,Direxion Daily AVGO Bear 1X Shares,AVS,Direxion Daily AVGO Bear 1X Shares,ETF,ETF,US25461A5517,,,US25461A5517,,accept_isin
BAR,NYSE,ETF,GraniteShares Gold Trust,BAR,GraniteShares Gold Trust,GraniteShares Gold Shares,ETV,US38748G1013,COMMODITIES_AND_FUTURES,INDEX,US38748G1013,,accept_isin
BBCQ,NASDAQ,Stock,Bleichroeder Acquisition Corp. II Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
BCGD,NYSE,ETF,Baron ETF Trust,,,,,,,,,,no_nyse_sample_match
BCSM,NYSE,ETF,Baron ETF Trust,,,,,,,,,,no_nyse_sample_match
BEBE-UN,NYSE,Stock,TGE Value Creative Solutions Co,,,,,,,,,,no_nyse_sample_match
BEDY,NASDAQ,ETF,BNY Mellon Enhanced Dividend and Income ETF,,,,,,,,,,no_nyse_sample_match
BEEX,NASDAQ,ETF,The Beehive ETF,,,,,,,,,,no_nyse_sample_match
BELT,NASDAQ,ETF,BlackRock Long-Term U.S. Equity ETF,BELT,iShares Long-Term U.S. Equity Active ETF,ETF,ETF,US09290C8148,,,US09290C8148,,accept_isin
BENJ,NYSE ARCA,ETF,Horizon Landmark ETF,,,,,,,,,,no_nyse_sample_match
BFJA,NYSE ARCA,ETF,FT Vest Bitcoin Strategy Floor15 ETF - January,,,,,,,,,,no_nyse_sample_match
BFOC,NYSE ARCA,ETF,FT Vest Bitcoin Strat Floor15 ETF - Oct,,,,,,,,,,no_nyse_sample_match
BIII-UN,NYSE,Stock,Black Spade Acquisition III Co,,,,,,,,,,no_nyse_sample_match
BITK,BATS,ETF,Tuttle Capital Bitcoin 0DTE Covered Call ETF,,,,,,,,,,no_nyse_sample_match
BITY,BATS,ETF,Amplify Bitcoin 24% Premium Income ETF,,,,,,,,,,no_nyse_sample_match
BIXI,NASDAQ,Stock,Bitcoin Infrastructure Acquisition Corp Ltd. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
BLIV,NASDAQ,Stock,BeLive Holdings Ordinary Share,,,,,,,,,,no_nyse_sample_match
BLRK,NASDAQ,Stock,Bluerock Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
BLX,NYSE,Stock,Foreign Trade Bank of Latin America Inc,,,,,,,,,,name_mismatch
BMR,NASDAQ,Stock,Beamr Imaging Ltd. Ordinary Share,BMR,Beamr Imaging Ltd,ORD,A,IL0011832438,,,,,no_update
BOTT,NASDAQ,ETF,Themes Robotics & Automation ETF,BOTT,Themes Robotics & Automation ETF,ETF,ETF,US8829278337,,,US8829278337,,accept_isin
BPH,NYSE ARCA,ETF,BP plc ADRhedged,,,,,,,,,,no_nyse_sample_match
BPRE,NYSE,ETF,Bluerock Private Real Estate Fund,,,,,,,,,,no_nyse_sample_match
BPRO,NYSE ARCA,ETF,Bitwise Proficio Currency Debasement ETF,,,,,,,,,,no_nyse_sample_match
BRHY,NASDAQ,ETF,BlackRock High Yield ETF,,,,,,,,,,name_mismatch
BRIB,NYSE ARCA,ETF,FIS Bright Portfolios Core Bond ETF,,,,,,,,,,no_nyse_sample_match
BRKD,NASDAQ,ETF,Direxion Daily BRKB Bear 1X Shares,,,,,,,,,,no_nyse_sample_match
BRKU,NASDAQ,ETF,Direxion Daily BRKB Bull 2X Shares,,,,,,,,,,no_nyse_sample_match
BSR,NYSE ARCA,ETF,Beacon Selective Risk ETF,BSR,Northern Lights Fund Trust II,Beacon Selective Risk ETF,ETF,US66538F1993,HYBRID,ACTIVE,,Multi-Asset,accept_etf_category
BTE,NYSE,Stock,Baytex Energy Corp,BTE,Baytex Energy Corp.,Common Shares,A,CA07317Q1054,,,,,no_update
BTFD,NYSE,ETF,Valkyrie Bitcoin Strategy ETF,,,,,,,,,,no_nyse_sample_match
BTGD,NASDAQ,ETF,STKD Bitcoin & Gold ETF,BTGD,STKD Bitcoin & Gold ETF,ETF,ETF,US88636R8346,,,US88636R8346,,accept_isin
BTYB,NYSE ARCA,ETF,VistaShares BitBonds 5 Yr Enhanced Weekly Distribution ETF,,,,,,,,,,no_nyse_sample_match
BUFP,BATS,ETF,PGIM Laddered Fund of Buffer 12 ETF,BUFP,PGIM Laddered Fund of Buffer 12 ETF,ETF,ETF,US69420N7185,,,US69420N7185,,accept_isin
CANQ,NASDAQ,ETF,Calamos Alternative Nasdaq & Bond ETF,CANQ,Calamos Alternative Nasdaq & Bond ETF,ETF,ETF,US12811T5065,,,US12811T5065,,accept_isin
CARY,NASDAQ,ETF,Angel Oak Income ETF,CARY,Angel Oak Funds Trust,Angel Oak Income ETF,ETF,US03463K7607,FIXED_INCOME,ACTIVE,,Fixed Income,accept_etf_category
CBXA,BATS,ETF,Calamos Bitcoin 90 Series Structured Alt Protection ETF - April,,,,,,,,,,no_nyse_sample_match
CBXJ,BATS,ETF,Calamos Bitcoin 90% Protection Strategy ETF - Month TBD 1,,,,,,,,,,no_nyse_sample_match
CCIF,NYSE,ETF,Carlyle Credit Income Fund,CCIF,Carlyle Credit Income Fund,Shares of Beneficial Interest,P,US92535C1045,,,US92535C1045,,accept_isin
CETH,BATS,ETF,21shares Core Ethereum ETF,CETH,21Shares Core Ethereum ETF,ETF,ETF,US04071F1021,,,US04071F1021,,accept_isin
CFND,NYSE,ETF,C1 Fund Inc.,,,,,,,,,,no_nyse_sample_match
CGGG,NYSE ARCA,ETF,Capital Group Equity ETF Trust I,,,,,,,,,,no_nyse_sample_match
CGMM,NYSE ARCA,ETF,Capital Group Equity ETF Trust I,,,,,,,,,,no_nyse_sample_match
CGVV,NYSE ARCA,ETF,Capital Group Equity ETF Trust I,,,,,,,,,,no_nyse_sample_match
CLCV,NYSE ARCA,ETF,Crossmark ETF Trust,,,,,,,,,,no_nyse_sample_match
CLNK,NYSE ARCA,ETF,Bitwise Chainlink ETF,,,,,,,,,,no_nyse_sample_match
CLOB,NYSE ARCA,ETF,VanEck ETF Trust,,,,,,,,,,name_mismatch
CNTN,NASDAQ,Stock,"Canton Strategic Holdings, Inc.",,,,,,,,,,no_nyse_sample_match
COHX,BATS,ETF,Tradr 2X Long COHR Daily ETF,,,,,,,,,,no_nyse_sample_match
COIA,NYSE ARCA,ETF,ProShares Ultra COIN ETF,,,,,,,,,,no_nyse_sample_match
COIW,BATS,ETF,COIN WeeklyPay™ ETF,,,,,,,,,,no_nyse_sample_match
CONI,NASDAQ,ETF,GraniteShares 1x Short COIN Daily ETF,CONI,GraniteShares 1x Short COIN Daily ETF,ETF,ETS,US38747R7281,,,US38747R7281,,accept_isin
COPZ,NYSE ARCA,ETF,Defiance Daily Target 2X Long Copper Miners ETF,,,,,,,,,,no_nyse_sample_match
CPII,NYSE ARCA,ETF,American Beacon Select Funds,,,,,,,,,,name_mismatch
CPSD,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF - December,CPSD,Calamos ETF Trust,Calamos S&P 500 Structured Alt Protection ETF - December,ETF,US12811T7954,,,US12811T7954,,accept_isin
CPSF,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF - February,,,,,,,,,,no_nyse_sample_match
CPSN,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF November,CPSN,Calamos ETF Trust,Calamos S&P 500 Structured Alt Protection ETF - November,ETF,US12811T8119,EQUITY,ACTIVE,US12811T8119,,accept_isin
CPSP,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF - April,,,,,,,,,,no_nyse_sample_match
CPSR,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF - March,,,,,,,,,,no_nyse_sample_match
CPSU,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF - June,,,,,,,,,,no_nyse_sample_match
CPSY,NYSE ARCA,ETF,Calamos S&P 500 Structured Alt Protection ETF - January,,,,,,,,,,no_nyse_sample_match
CRAC,NASDAQ,Stock,Crown Reserve Acquisition Corp. I Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
CRCA,NYSE ARCA,ETF,ProShares Ultra CRCL,,,,,,,,,,no_nyse_sample_match
CSCL,NASDAQ,ETF,Direxion Daily CSCO Bull 2X ETF,,,,,,,,,,no_nyse_sample_match
CSCS,NASDAQ,ETF,Direxion Daily CSCO Bear 1X ETF,,,,,,,,,,no_nyse_sample_match
CSIO,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,,,,,,,,no_nyse_sample_match
CSPF,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,,,,,,,,no_nyse_sample_match
CSSD,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,,,,,,,,no_nyse_sample_match
CTWO,NYSE,ETF,COtwo Advisors Physical European Carbon Allowance Trust,,,,,,,,,,no_nyse_sample_match
DABS,NYSE ARCA,ETF,DoubleLine ETF Trust,,,,,,,,,,no_nyse_sample_match
DADS,NASDAQ,ETF,Digital Asset Debt Strategy ETF,,,,,,,,,,no_nyse_sample_match
DAN,NYSE,Stock,Dana Inc,,,,,,,,,,name_mismatch
DBCA,NASDAQ,Stock,D. Boral Acquisition I Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
DCH,NYSE,Stock,Dauch Corporation,,,,,,,,,,no_nyse_sample_match
DCMT,NYSE ARCA,ETF,DoubleLine ETF Trust,DCMT,DoubleLine ETF Trust,DoubleLine Commodity Strategy ETF,ETF,US25861R5019,COMMODITIES_AND_FUTURES,ACTIVE,US25861R5019,Commodity,accept_isin_etf_category
DDDD,NYSE ARCA,ETF,YieldMax U.S. Stocks Target Double Distribution ETF,,,,,,,,,,no_nyse_sample_match
DDX,BATS,ETF,Defined Duration 10 ETF,,,,,,,,,,no_nyse_sample_match
DECM,BATS,ETF,FT Vest U.S. Equity Max Buffer ETF - December,,,,,,,,,,no_nyse_sample_match
