ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
AFOF11,B3,ETF,Alianza Fofii Fundo De Investimento Imobiliario,BZ,,,,,False,False,no_openfigi_match
AGCX11,B3,ETF,FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,BZ,,,,,False,False,no_openfigi_match
AQLL11,B3,ETF,ÁQUILLA FDO INV IMOB - FII,BZ,,,,,False,False,no_openfigi_match
C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,BZ,,,,,False,False,no_openfigi_match
CPTS11B,B3,ETF,Capitania Securities II Fundo Investimento Imobiliario FII,BZ,,,,,False,False,no_openfigi_match
ICBR3,B3,Stock,INTERCEMENT BRASIL S.A.,BZ,,,,,False,False,no_openfigi_match
MBRF11,B3,ETF,Fundo De Investimento Imobiliário Mercantil Do Brasil-fii -Inicio,BZ,,,,,False,False,no_openfigi_match
OULG11B,B3,ETF,Pedra Dourada Fundo De Investimento Imobiliário - FII,BZ,,,,,False,False,no_openfigi_match
P5RD3,B3,Stock,MATRIZ COMPANHIA METALURGICA PRADA,BZ,,,,,False,False,no_openfigi_match
VRGL3,B3,Stock,GOL LINHAS AEREAS S.A,BZ,,,,,False,False,no_openfigi_match
