ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
AAOZ,BATS,ETF,Tradr 2X Short AAOI Daily ETF,US,AAOZ,TRADR 2X SHRT AAOI DAILY ETF,ETP,,True,True,missing_isin
AAPE,BATS,ETF,Leverage Shares 2X Long AAPL Daily ETF,US,AAPE,LEVERAGE SHARES 2X AAPL ETF,ETP,,True,True,missing_isin
AAUB,NASDAQ,ETF,Alpha Architect US Equity 4 ETF,US,AAUB,ALPHA ARCHITCT US EQTY 4 ETF,ETP,,True,False,missing_isin
ACAA,NASDAQ,Stock,Averin Capital Acquisition Corp.,US,ACAA,AVERIN CAP ACQUISITIO C CL-A,Common Stock,,True,False,missing_isin
ACCL,NASDAQ,Stock,Acco Group Holdings Limited Ordinary Shares,US,ACCL,ACCO GROUP HOLDINGS LTD- A,Common Stock,,True,False,missing_isin
ACGC,NASDAQ,Stock,ACP Holdings Acquisition Corp.,US,ACGC,ACP HOLDINGS ACQUISITIO-CL A,Common Stock,,True,False,missing_isin
ACQQ,NASDAQ,ETF,ProShares Nasdaq-100 Autocallable Income ETF,US,ACQQ,PROSHARE NSDQ-100 AC IN ETF,ETP,,True,False,missing_isin
ACRT,NASDAQ,ETF,ProShares Russell 2000 Autocallable Income ETF,US,ACRT,PROSHARES RTY AUTOCALL ETF,ETP,,False,False,missing_isin
ACSP,NASDAQ,ETF,ProShares S&P 500 Autocallable Income ETF,US,ACSP,PROSHARES SPX AUTOCALL ETF,ETP,,False,False,missing_isin
AESP,NASDAQ,Stock,Aeon Acquisition I Corp. - Class A Ordinary Shares,US,AESP,AEON ACQUISITION I CORP-A,Common Stock,,True,True,missing_isin
AIIR,NASDAQ,Stock,Air Global PLC - Ordinary shares,US,AIIR,AIR HOLDINGS LTD,Common Stock,,True,False,missing_isin
AIXI,NASDAQ,Stock,Xiao-I Corporation,US,AIXI,XIAO I CORP,ADR,,True,False,missing_isin
AKAL,BATS,ETF,T-REX 2X Long AKAM Daily Target ETF,US,AKAL,T-REX 2X L AKAM DT TRG  ETF,ETP,,True,False,missing_isin
ALP,NASDAQ,Stock,Alpha Compute Corp,US,ALP,ALPHA COMPUTE CORP,Common Stock,,True,True,missing_isin
ALPS,NASDAQ,Stock,ALPS Group Inc,US,ALPS,ALPS GROUP INC,Common Stock,,True,False,missing_isin
ALPX,NASDAQ,Stock,Alpex Acquisition Corporation - Class A Ordinary Shares,US,ALPX,ALPEX ACQUISITION CORP-CL A,Common Stock,,True,True,missing_isin
AMAN,NASDAQ,Stock,Amanat Acquisition Corp,US,AMAN,AMANAT ACQUISITION CORP CL A,Common Stock,,True,True,missing_isin
AMKX,BATS,ETF,Corgi AMKR 2x Daily ETF,US,AMKX,CORGI AMKR 2X DAILY ETF,ETP,,True,True,missing_isin
AMZG,BATS,ETF,Leverage Shares 2X Long AMZN Daily ETF,US,AMZG,LEVERAGE SHARES 2X AMZN ETF,ETP,,True,True,missing_isin
ANGU,NASDAQ,ETF,SEI Ang Research Enhanced U.S. Large Cap ETF,US,ANGU,SEI ANG RESH ENH LRG CAP ETF,ETP,,True,False,missing_isin
APMC,NASDAQ,Stock,AmperCap Acquisition Company - Ordinary Shares,US,APMC,AMPERCAP ACQUISITION CO,Common Stock,,True,True,missing_isin
APMD,NASDAQ,Stock,"Apnimed, Inc. - Common Stock",US,APMD,APNIMED INC,Common Stock,,True,True,missing_isin
APUR,NASDAQ,Stock,Aperture AC,US,APUR,APERTURE AC- CL A,Common Stock,,True,True,missing_isin
ARCI,NASDAQ,Stock,Archimedes Tech SPAC Partners III Co.,US,ARCI,ARCHIMEDES TECH SPAC PARTNER,Common Stock,,True,True,missing_isin
ARCL,NASDAQ,Stock,ARC Group Acquisition I Corp,US,ARCL,ARC GROUP ACQUISITION I CORP,Common Stock,,True,True,missing_isin
ARKT,BATS,ETF,ARK ETF Trust - Ark Q4 Defined Innovation Etf,US,ARKT,ARK DIET Q4 BUFFER ETF,ETP,,True,False,missing_isin
ARWG,BATS,ETF,Archer Investment Series Trust - Archer Growth ETF,US,ARWG,ARCHER GROWTH ETF,ETP,,True,False,missing_isin
