ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
ARKT,BATS,ETF,ARK ETF Trust - Ark Q4 Defined Innovation Etf,US,ARKT,ARK DIET Q4 BUFFER ETF,ETP,,True,False,missing_isin
ARWG,BATS,ETF,Archer Investment Series Trust - Archer Growth ETF,US,ARWG,ARCHER GROWTH ETF,ETP,,True,False,missing_isin
CBXJ,BATS,ETF,Calamos Bitcoin 90% Protection Strategy ETF - Month TBD 1,US,CBXJ,CALAMOS BITCOIN 90 P ETF JAN,ETP,,False,False,missing_isin
COIW,BATS,ETF,COIN WeeklyPay™ ETF,US,COIW,ROUNDHILL COIN WEEKLYPAY ETF,ETP,,True,False,missing_isin
ENAV,BATS,ETF,Collaborative Investment Series Trust - Mohr Sector Navigator ETF,US,,,,,False,False,no_openfigi_match
FPAG,BATS,ETF,Northern Lights Fund Trust III - FPA Global Equity ETF,US,FPAG,FPA GLOBAL EQUITY ETF NEW,ETP,,True,False,missing_isin
GBXA,BATS,ETF,Goldman Sachs ETF Trust Goldman,US,,,,,False,False,no_openfigi_match
GOOW,BATS,ETF,Roundhill Etf Trust - Roundhill Google Weeklypay Etf,US,GOOW,ROUNDHILL GOOGL WEKLYPAY ETF,ETP,,True,False,missing_isin
HFSI,BATS,ETF,Hartford Strategic Income ETF,US,HFSI,HARTFOR STRATEG INCOME ETF-U,ETP,,True,False,missing_isin
IROC,BATS,ETF,Invesco Rochester High Yield Municipal ETF,US,IROC,INVESCO ROCHESTER HIGH YIELD,ETP,,True,True,missing_isin
LDDR,BATS,ETF,Stone Ridge 2035 Term Income ETF,US,LDDR,LIFEX 2035 INCOME BUCKET ETF,ETP,,True,False,missing_isin
LFDR,BATS,ETF,Stone Ridge Durable Income ETF,US,LFDR,LIFEX DURABLE INCOME ETF,ETP,,True,False,missing_isin
MDPL,BATS,ETF,Northern Lights Fund Trust IV - Monarch Dividend Plus Index ETF,US,MDPL,MONARCH DIVIDEND PLUS INDEX,ETP,,True,False,missing_isin
MSSS,BATS,ETF,Northern Lights Fund Trust IV - Monarch Select Subsector Index ETF,US,MSSS,MONARCH SELECT SUBSEC IN ETF,ETP,,True,False,missing_isin
NETX,BATS,ETF,Tradr 2X Long NET Daily ETF,US,,,,,False,False,no_openfigi_match
NFLP,BATS,ETF,Kurv Yield Prm Stgy Netflix (NFLX) ETF,US,NFLP,KURV YLD PREM STR NFLX ETF,ETP,,True,False,missing_isin
PLTW,BATS,ETF,PLTR WeeklyPay™ ETF,US,PLTW,ROUNDHILL PLTR WEEKLYPAY ETF,ETP,,True,False,missing_isin
TOPW,BATS,ETF,Roundhill WeeklyPay Universe ETF,US,TOPW,ROUNDHILL TOP WEEKLYPAY ETF,ETP,,True,False,missing_isin
TRPA,BATS,ETF,HARTFORD AAA CLO ETF,US,TRPA,HARTFORD AAA CLO ETF,ETP,,True,True,missing_isin
VOXP,BATS,ETF,Vox Populi ETF,US,VOXP,VOX POPULI ETF,ETP,,True,True,missing_isin
ZIVB,BATS,ETF,Volatility Shares Trust -1x Short VIX Mid-Term Futures Strategy ETF,US,,,,,False,False,no_openfigi_match
