ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
ALAI,NYSE ARCA,ETF,The Alger ETF Trust,US,ALAI,ALGER AI ENABLE & ADOPT ETF,ETP,,True,False,missing_isin
ATCL,NYSE ARCA,ETF,REX ETF Trust,US,ATCL,REX AUTOCALLABLE INCOME ETF,ETP,,True,False,missing_isin
BCPL,NYSE ARCA,ETF,BNY Mellon ETF Trust II,US,BCPL,BNY MELLON CORE PLUS ETF,ETP,,True,False,missing_isin
BFOC,NYSE ARCA,ETF,FT Vest Bitcoin Strat Floor15 ETF - Oct,US,BFOC,FT VEST BITCOIN SF15 ETF-OCT,ETP,,True,True,missing_isin
BKFI,NYSE ARCA,ETF,BNY Mellon ETF Trust II,US,BKFI,BNY MELLON ACTV CORE BND ETF,ETP,,True,False,missing_isin
CLCV,NYSE ARCA,ETF,Crossmark ETF Trust,US,CLCV,CROSSMARK LARGECAPVALUE ETF,ETP,,True,False,missing_isin
DCPE,NYSE ARCA,ETF,DoubleLine Shiller CAPE US Equities ETF,US,,,,,False,False,no_openfigi_match
DHLX,NYSE ARCA,ETF,Diamond Hill Funds,US,DHLX,DIAMOND HILL LC CONCEN ETF,ETP,,True,False,missing_isin
FEMD,NYSE ARCA,ETF,First Eagle ETF Trust,US,FEMD,FIRST EAGLE MID C ETY ETF,ETP,,True,False,missing_isin
FNGB,NYSE ARCA,ETF,MicroSectors™ FANG+™ 3x Leveraged ETNs,US,,,,,False,False,no_openfigi_match
FPWR,NYSE ARCA,ETF,First Trust EIP Power Solutions ETF,US,FPWR,FIRST TRUST EIP POWER SOLUTI,ETP,,True,True,missing_isin
GAID,NYSE ARCA,ETF,Guinness Atkinson Funds,US,,,,,False,False,no_openfigi_match
GAUD,NYSE ARCA,ETF,Guinness Atkinson Funds,US,,,,,False,False,no_openfigi_match
GGTL,NYSE ARCA,ETF,Gabelli Global Technology Leaders ETF,US,GGTL,GABELLI GLOBAL TECHNOLOGY LE,ETP,,True,True,missing_isin
GLIX,NYSE ARCA,ETF,Lazard Active ETF Trust,US,GLIX,LAZARD LISTED INFRASTRUCTURE,ETP,,True,False,missing_isin
GMOC,NYSE ARCA,ETF,GMO ETF Trust (Name to be changed from The 2023 ETF Series Trust II),US,GMOC,GMO ULTRA-SHORT INCOME ETF,ETP,,False,False,missing_isin
GSOL,NYSE ARCA,ETF,Grayscale Solana Trust ETF,US,GSOL,GRAYSCALE SOLANA STAKING ETF,ETP,,True,False,missing_isin
HVAC,NYSE ARCA,ETF,AdvisorShares Trust,US,HVAC,ADVISORSHARES HVAC INDUS,ETP,,True,False,missing_isin
JABS,NYSE ARCA,ETF,Janus Detroit Street Trust,US,JABS,JANUS HDRSN ASS BKD SEC ETF,ETP,,True,False,missing_isin
JEMB,NYSE ARCA,ETF,Janus Detroit Street Trust,US,JEMB,JH EM DEBT HARD CURRENCY ETF,ETP,,True,False,missing_isin
JHCR,NYSE ARCA,ETF,JHancock Core Bond ETF,US,JHCR,JOHN HANCOCK CORE BOND ETF,ETP,,True,False,missing_isin
LTAX,NYSE ARCA,ETF,Nomura ETF Trust,US,LTAX,NOMURA TAX-FREE USA ETF,ETP,,True,False,missing_isin
MEM,NYSE ARCA,ETF,MAYBANK EMERGING ETF,US,MEM,MATTHEWS EM MKT EQTY ACTIVE,ETP,,True,False,missing_isin
MUNX,NYSE ARCA,ETF,AMG ETF Trust,US,MUNX,AMG GW&K MUNI INCOME ETF,ETP,,True,False,missing_isin
NTSD,NYSE ARCA,ETF,WisdomTree Efficient U.S. Plus International Equity Fund,US,NTSD,WISDOMTREE EFF US+INTL EQ FD,ETP,,True,False,missing_isin
PCEM,NYSE ARCA,ETF,Litman Gregory Funds Trust,US,,,,,False,False,no_openfigi_match
