ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
786,PSX,Stock,786 Investment Limited,PA,786,786 INVESTMENT LTD,Common Stock,,True,True,missing_isin
ACIETF,PSX,ETF,Alfalah Consumer Index ETF,PA,,,,,False,False,no_openfigi_match
DHPL,PSX,Stock,DH Partners Ltd.,PA,DHPL,DH PARTNERS LTD,Common Stock,,True,True,missing_isin
DMTX,PSX,Stock,D. M. Textile Mills Limited,PA,,,,,False,False,no_openfigi_match
ELCM,PSX,Stock,Elahi Cotton Mills Limited,PA,ELCM,ELAHI COTTON MILLS LTD,Common Stock,,True,True,missing_isin
FCEPL,PSX,Stock,Frieslandcampina,PA,FCEPL,FRIESLANDCAMPINA ENGRO PAKIS,Common Stock,,True,False,missing_isin
FDPL,PSX,Stock,First Dawood Prop,PA,FDPL,FIRST DAWOOD PROPERTIES LTD,Common Stock,,True,False,missing_isin
GEMSPNL,PSX,Stock,Supernet Ltd.,PA,,,,,False,False,no_openfigi_match
HBLTETF,PSX,ETF,HBL Total TreasuryXD,PA,HBLTETF,HBL TOTAL TREASURY ETF,ETP,,True,False,missing_isin
HRPL,PSX,Stock,Habib Rice Prod,PA,HRPL,HABIB RICE PRODUCTS LTD,Common Stock,,True,False,missing_isin
IGIHL,PSX,Stock,IGI Holdings,PA,IGIHL,IGI HOLDINGS LTD,Common Stock,,True,False,missing_isin
IML,PSX,Stock,Imperial Limite,PA,IML,IMPERIAL LTD,Common Stock,,True,False,missing_isin
IPAK,PSX,Stock,Int. Packaging Films,PA,IPAK,INTERNATIONAL PACKAGING FILM,Common Stock,,True,False,missing_isin
JSGBETF,PSX,ETF,JS Global Banking,PA,JSGBETF,JS GLBL BANKING SECTOR ETF,ETP,,True,False,missing_isin
JSMFETF,PSX,ETF,JS Momentum,PA,JSMFETF,JS MOMENTUM FACTOR ETF,ETP,,True,True,missing_isin
LCI,PSX,Stock,Lucky Core Ind. Ltd,PA,LCI,LUCKY CORE INDUSTRIES LIMITE,Common Stock,,True,False,missing_isin
LOADSR1,PSX,Stock,LOADS Limited,PA,,,,,False,False,no_openfigi_match
LSEFSL,PSX,Stock,LSE Fin. Ser. Ld,PA,LSEFSL,LSE FINANCIAL SERVICES LTD,Common Stock,,True,False,missing_isin
MCBIM,PSX,Stock,MCB Investment Manag,PA,MCBIM,MCB INVESTMENT MANAGEMENT LT,Common Stock,,True,False,missing_isin
MIIETF,PSX,ETF,Mahanna Islamic Inde,PA,MIIETF,MAHAANA ISLAMIC INDEX ETF,ETP,,True,False,missing_isin
MZNPETF,PSX,ETF,Meezan Pakistan,PA,,,,,False,False,no_openfigi_match
NBPGETF,PSX,ETF,NBP Pakistan G ETFXD,PA,NBPGETF,NBP PAKISTAN GROWTH ETF,ETP,,True,False,missing_isin
NITGETF,PSX,ETF,NIT PakistanXD,PA,NITGETF,NIT PAKISTAN GATEWAY ETF,ETP,,True,False,missing_isin
PIAHCLA,PSX,Stock,PIA Holding Company,PA,PIAHCLA,PIA HOLDING CO LTD-CLASS A,Common Stock,,True,False,missing_isin
PIAHCLB,PSX,Stock,PIA Holding CompanyB,PA,PIAHCLB,PIA HOLDING CO LTD-CLASS B,Common Stock,,True,False,missing_isin
STL,PSX,Stock,Supernet Technologie,PA,STL,SUPERNET TECHNOLOGIES LTD,Common Stock,,True,False,missing_isin
STYLERS,PSX,Stock,Stylers Int.,PA,STYLERS,STYLERS INTERNATIONAL LTD,Common Stock,,True,False,missing_isin
TPLRF1,PSX,Stock,TPL Reit Fund 1,PA,TPLRF1,TPL REIT FUND I,REIT,,False,False,missing_isin
UBLPETF,PSX,ETF,UBLPakistanETF XD,PA,,,,,False,False,no_openfigi_match
WAFI,PSX,Stock,Wafi Energy Pak Ltd.,PA,WAFI,WAFI ENERGIES PAKISTAN LTD,Common Stock,,True,False,missing_isin
WASL,PSX,Stock,Wasi Mobility Mod,PA,WASL,WASL MOBILITY MODARABA,Common Stock,,True,False,missing_isin
WASLR,PSX,Stock,Wasl Mobility(R),PA,WASLR,WASL MOBILITY MODARAB-RIGHTS,Right,,True,True,missing_isin
WAVESAPP,PSX,Stock,Waves Home App,PA,WAVESAPP,WAVES HOME APPLIANCES LTD,Common Stock,,True,False,missing_isin
