ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
AKHI,QSE,Stock,Alkhaleej Takaful,,,,,,False,False,unsupported_openfigi_exchange
BEMA,QSE,Stock,Beema,,,,,,False,False,unsupported_openfigi_exchange
CBQK,QSE,Stock,Comm. Bank of Qatar,,,,,,False,False,unsupported_openfigi_exchange
DBIS,QSE,Stock,Dlala,,,,,,False,False,unsupported_openfigi_exchange
FALH,QSE,Stock,Faleh,,,,,,False,False,unsupported_openfigi_exchange
MCGS,QSE,Stock,Medicare,,,,,,False,False,unsupported_openfigi_exchange
MERS,QSE,Stock,Al Meera,,,,,,False,False,unsupported_openfigi_exchange
MFMS,QSE,Stock,Mosanada,,,,,,False,False,unsupported_openfigi_exchange
MPHC,QSE,Stock,Mesaieed,,,,,,False,False,unsupported_openfigi_exchange
MRDS,QSE,Stock,Mazaya,,,,,,False,False,unsupported_openfigi_exchange
NLCS,QSE,Stock,National Leasing,,,,,,False,False,unsupported_openfigi_exchange
QAMC,QSE,Stock,QAMCO,,,,,,False,False,unsupported_openfigi_exchange
QATR,QSE,ETF,Al Rayan Qatar ETF,,,,,,False,False,unsupported_openfigi_exchange
QCFS,QSE,Stock,Cinema,,,,,,False,False,unsupported_openfigi_exchange
QETF,QSE,ETF,QE Index ETF,,,,,,False,False,unsupported_openfigi_exchange
QGMD,QSE,Stock,Qatar German Co. Med,,,,,,False,False,unsupported_openfigi_exchange
QGTS,QSE,Stock,Nakilat,,,,,,False,False,unsupported_openfigi_exchange
QIIK,QSE,Stock,Intl. Islamic Bank,,,,,,False,False,unsupported_openfigi_exchange
QIMD,QSE,Stock,Ind. Manf. Co.,,,,,,False,False,unsupported_openfigi_exchange
QLMI,QSE,Stock,QLM,,,,,,False,False,unsupported_openfigi_exchange
QNBK,QSE,Stock,QNB,,,,,,False,False,unsupported_openfigi_exchange
TQES,QSE,Stock,Techno Q,,,,,,False,False,unsupported_openfigi_exchange
UDCD,QSE,Stock,United Dev. Company,,,,,,False,False,unsupported_openfigi_exchange
WDAM,QSE,Stock,Widam,,,,,,False,False,unsupported_openfigi_exchange
ZHCD,QSE,Stock,Zad Holding Company,,,,,,False,False,unsupported_openfigi_exchange
