ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
AAISA,SSE_CL,Stock,Administradora Americana de Inversiones S.A.,,,,,,False,False,unsupported_openfigi_exchange
CEMARGOSCL,SSE_CL,Stock,Cementos Argos S.A.,,,,,,False,False,unsupported_openfigi_exchange
CFIARRAA-E,SSE_CL,Stock,Arrayan Acciones Chilenas FIP,,,,,,False,False,unsupported_openfigi_exchange
CFIBCHREN1,SSE_CL,ETF,Fondo de Inversión Banchile Rentas Inmobiliarias,,,,,,False,False,unsupported_openfigi_exchange
CFIBTGRCA,SSE_CL,ETF,BTG Pactual Renta Comercial F. I.,,,,,,False,False,unsupported_openfigi_exchange
CFIETFCC,SSE_CL,ETF,Fondo De Inversion ETF Singular Chile Corporativo,,,,,,False,False,unsupported_openfigi_exchange
CFIETFCD,SSE_CL,ETF,Fondo de Inversion ETF Singular Chile Corta Duracion,,,,,,False,False,unsupported_openfigi_exchange
CFIETFGE,SSE_CL,ETF,Fondo De Inversion ETF Singular Global Equities,,,,,,False,False,unsupported_openfigi_exchange
CFIETFIPSA,SSE_CL,ETF,FI ETF SINGULAR IPSA,,,,,,False,False,unsupported_openfigi_exchange
CFIIMDLAT,SSE_CL,ETF,Moneda Deuda Latinoamericana fondo de inversion,,,,,,False,False,unsupported_openfigi_exchange
CFILVMXA-E,SSE_CL,Stock,Larrain Vial Activos S.A. Administradora General - FI Larrain Vial Mexico Mezzanine,,,,,,False,False,unsupported_openfigi_exchange
CFILVPARI1,SSE_CL,ETF,Aurus Capital Renta Inmobiliaria Fondo de Inversión,,,,,,False,False,unsupported_openfigi_exchange
CFIMBDPA-E,SSE_CL,ETF,MBI Administradora General de Fondos S.A. - MBI Deuda Privada Fondo de Inversion,,,,,,False,False,unsupported_openfigi_exchange
CFINASDAQ,SSE_CL,ETF,Fondo de Inversión ETF Singular NASDAQ 100,,,,,,False,False,unsupported_openfigi_exchange
CFINHRFLA,SSE_CL,ETF,"Fi Nevasa Ahorro, Serie A",,,,,,False,False,unsupported_openfigi_exchange
CFISP500,SSE_CL,ETF,Fondo de Inversion ETF Singular S&P 500 Fund,,,,,,False,False,unsupported_openfigi_exchange
CFMITNIPSA,SSE_CL,ETF,Fondo Mutuo ETF IT Now IPSA,,,,,,False,False,unsupported_openfigi_exchange
COUNTRY-A,SSE_CL,ETF,Prince of Wales Country Club S.A.I.,,,,,,False,False,unsupported_openfigi_exchange
IAUCL,SSE_CL,ETF,ISHARES GOLD TRUST,,,,,,False,False,unsupported_openfigi_exchange
ITAUCL,SSE_CL,Stock,Banco Itau Chile,,,,,,False,False,unsupported_openfigi_exchange
IVVCL,SSE_CL,ETF,ISHARES CORE S&P 500 ETF,,,,,,False,False,unsupported_openfigi_exchange
IYWCL,SSE_CL,ETF,ISHARES U.S. TECHNOLOGY ETF,,,,,,False,False,unsupported_openfigi_exchange
NTGCLGAS,SSE_CL,Stock,Naturgy Chile Gas Natural S.A.,,,,,,False,False,unsupported_openfigi_exchange
NUAM,SSE_CL,Stock,Holding Bursátil Regional S.A.,,,,,,False,False,unsupported_openfigi_exchange
PLANVITAL,SSE_CL,Stock,A.F.P. Planvital S.A.,,,,,,False,False,unsupported_openfigi_exchange
POTASIOS-A,SSE_CL,Stock,Potasios de Chile S.A. A,,,,,,False,False,unsupported_openfigi_exchange
POTASIOS-B,SSE_CL,Stock,Potasios de Chile S.A. B,,,,,,False,False,unsupported_openfigi_exchange
SQM-A,SSE_CL,Stock,Sociedad Química y Minera de Chile S.A,,,,,,False,False,unsupported_openfigi_exchange
