ticker,exchange,asset_type,name,figi_exch_code,openfigi_ticker,openfigi_name,openfigi_security_type,openfigi_isin,number_tokens_match,name_match,decision
2WAV3,B3,Stock,2W ECOBANK S.A.,BZ,,,,,False,False,no_openfigi_match
510720,SSE,ETF,Guotai Asset Management Co Ltd - Dividend Monthly ETF,CH,510720,GUOTAI SSE ST-OWNED ENTE DVD,ETP,,True,False,missing_isin
511260,SSE,ETF,Guotai SSE 10-Y Gov Bd ETF,CH,511260,SSE 10Y T-BOND ETF,ETP,,True,False,missing_isin
511600,SSE,ETF,华安日日鑫ETF,CH,511600,HUAAN RIRIXIN MONEY MARKET F,ETP,,True,False,missing_isin
511650,SSE,ETF,货币ETF华夏,CH,511650,CHINAAMC AMX EXP TRD MNY ETF,ETP,,True,False,missing_isin
511690,SSE,ETF,交易货币ETF大成,CH,511690,DACHENG TIANYI TRADED MMK-E,ETP,,True,False,missing_isin
511700,SSE,ETF,货币ETF平安,CH,511700,PINGAN-UOB TRADED MMK FUND-E,ETP,,True,False,missing_isin
511770,SSE,ETF,金鹰增益货币ETF,CH,511770,GOLDEN CASH PROFIT MMK-E,ETP,,True,False,missing_isin
511820,SSE,ETF,鹏华添利ETF,CH,511820,PENGHUA PROFIT ADDED MMK-B,ETP,,True,False,missing_isin
511830,SSE,ETF,货币ETF华泰柏瑞,CH,511830,HUATAI-PB TRADED MONEY MKT A,ETP,,True,False,missing_isin
511850,SSE,ETF,招商财富宝ETF,CH,511850,CH MERCHANTS CAIFUBAO MMK-E,ETP,,True,False,missing_isin
511860,SSE,ETF,货币ETF博时,CH,511860,BOSERA MARG RL TM TR MY MF-A,ETP,,True,False,missing_isin
511880,SSE,ETF,银华日利ETF,CH,511880,YINHUA TRADED MONEY MARKET,ETP,,True,False,missing_isin
511900,SSE,ETF,富国货币ETF,CH,511900,FULLGOAL SYB EXCH TRA MMKT H,ETP,,True,False,missing_isin
511930,SSE,ETF,货币ETF国联,CH,511930,GUOLIAN DAILY EARNING MMKF,ETP,,True,False,missing_isin
511950,SSE,ETF,添利货币ETF广发,CH,511950,GF TIANLI TRADED MONEY MMK F,ETP,,True,False,missing_isin
511960,SSE,ETF,货币ETF嘉实,CH,511960,HARVEST INSTI EXPRESS MMKT-H,ETP,,True,False,missing_isin
511980,SSE,ETF,货币ETF汇添富,CH,511980,CHINA UNIVERSAL TIANFUTONG-E,ETP,,True,False,missing_isin
512070,SSE,ETF,证券保险ETF易方达,CH,512070,E FUND CSI 300 FIN EX BA ETF,ETP,,False,False,missing_isin
512290,SSE,ETF,Guotai CSI Biomedicine ETF,CH,512290,GUOTAI CSI BIO-MEDICINE ETF,ETP,,True,False,missing_isin
512580,SSE,ETF,GF CSI Envirnmt Protect Inds ETF,CH,512580,GF CSI ENVIR PROTECT ETF,ETP,,True,True,missing_isin
512650,SSE,ETF,China Universal CSI Y-Rivdel int dev ETF,CH,512650,CHINA UNI CSI DELTA AREA ETF,ETP,,True,False,missing_isin
513050,SSE,ETF,E Fund CSI China Ovsea Net 50 QDII-ETF,CH,513050,EFUND OVERSEA INTERNET 50ETF,ETP,,True,False,missing_isin
513730,SSE,ETF,SOUTHEAST ASIA,CH,513730,HTPB SE ASIA+ TECH QDII,ETP,,True,False,missing_isin
513850,SSE,ETF,E FUND MSCI USA 50 ETF (QDII),CH,513850,EFD MSCI USA 50 ETF QDII,ETP,,True,False,missing_isin
515050,SSE,ETF,ChinaAMC CSI 5G Communication ETF,CH,515050,CHINAAMC SX CSI5G COMNCS ETF,ETP,,True,False,missing_isin
515060,SSE,ETF,China Asset Management Co. Ltd. - ChinaAMC CSI All Share Real Estate ETF Fund,CH,515060,CHINAAMC CSI QZ REAL EST ETF,ETP,,True,False,missing_isin
515070,SSE,ETF,China Asset Management Co. - Csi Artificial Intelligence Theme ETF Fund,CH,515070,CHINAAMC CSI AI THEME ETF,ETP,,True,False,missing_isin
515200,SSE,ETF,SWS MU Fund Management Co Ltd - SWS MU CSI Innovation 100 ETF,CH,515200,SWS MU CSI INNVT 100 ETF,ETP,,True,True,missing_isin
515210,SSE,ETF,Guotai CSI Ferrous Metals ETF,CH,515210,GT CSI FERROUS METALS ETF,ETP,,True,True,missing_isin
515770,SSE,ETF,China International Fund Management Co. Ltd. - Cifm Msci China A ETF,CH,515770,CIFM MSCI CHINA A ETF,ETP,,True,True,missing_isin
520550,SSE,ETF,China Merchants Fund Management Co. Ltd. - High Dividend Hk Equities Fund,CH,520550,CHI ME HN SN SC HI DV LW ETF,ETP,,True,False,missing_isin
