ticker,alias,alias_type,status,detection_policy,confidence,reason,duplicate_ticker_count
000001,CNE000000040,isin,reject,identifier_only,0.99,identifier_alias,1
000001,ping an bank,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000002,CNE0000000T2,isin,reject,identifier_only,0.99,identifier_alias,1
000004,CNE0000000Y2,isin,reject,identifier_only,0.99,identifier_alias,1
000004,shenzhen cau technology,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000006,CNE000000164,isin,reject,identifier_only,0.99,identifier_alias,1
000006,shenzhen zhenye group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000006,shenzhen zhenye,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000007,CNE0000000P0,isin,reject,identifier_only,0.99,identifier_alias,1
000007,shenzhen zero-seven,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000008,CNE0000001C6,isin,reject,identifier_only,0.99,identifier_alias,1
000008,china high-speed railway technology,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000009,CNE000000222,isin,reject,identifier_only,0.99,identifier_alias,1
000009,china baoan group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000009,china baoan,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00001,KYG217651051,isin,reject,identifier_only,0.99,identifier_alias,1
00001,ckh holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000010,CNE000000156,isin,reject,identifier_only,0.99,identifier_alias,1
000010,shenzhen ecobeauty,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000011,CNE000000248,isin,reject,identifier_only,0.99,identifier_alias,1
000012,CNE0000002R2,isin,reject,identifier_only,0.99,identifier_alias,1
000014,CNE0000003G3,isin,reject,identifier_only,0.99,identifier_alias,1
000014,shahe industry,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000016,CNE0000002T8,isin,reject,identifier_only,0.99,identifier_alias,1
000017,CNE0000002Q4,isin,reject,identifier_only,0.99,identifier_alias,1
000019,CNE000000354,isin,reject,identifier_only,0.99,identifier_alias,1
00002,HK0002007356,isin,reject,identifier_only,0.99,identifier_alias,1
00002,clp holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000021,CNE000000FK4,isin,reject,identifier_only,0.99,identifier_alias,1
000021,shenzhen kaifa technology,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000025,CNE0000008N8,isin,reject,identifier_only,0.99,identifier_alias,1
000026,CNE000000875,isin,reject,identifier_only,0.99,identifier_alias,1
