listing_key,ticker,exchange,asset_type,name,field,gap_class,official_masterfile_sources,official_masterfile_match,official_masterfile_exposes_isin,official_masterfile_exposes_sector,asx_isin_probe_decision,current_instrument_scope,current_scope_reason,listing_history_status,listing_history_last_observed_at,ohlcv_plausibility_status,ohlcv_review_bucket,asx_resolution_queue,scope_review_queue,scope_decision_gate,recommended_scope_action,verification_evidence_required,recommended_next_source,source_gate,review_context
ASX::AC2,AC2,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-1P,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AC3,AC3,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-2,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AF2,AF2,ASX,ETF,ANGLE ASSET FINANCE - RADIAN TRUST 2025-1,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AF4,AF4,ASX,ETF,AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AF5,AF5,ASX,ETF,AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AF6,AF6,ASX,ETF,AFG 2025-1 TRUST IN RESPECT OF SERIES 2025-1,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AF7,AF7,ASX,ETF,ANGLE ASSET FINANCE - RADIAN TRUST 2025-2,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AO2,AO2,ASX,ETF,APOLLO SERIES 2017-2 TRUST,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::AO3,AO3,ASX,ETF,APOLLO SERIES 2018-1 TRUST,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::BA2,BA2,ASX,ETF,SERIES 2019-1 REDS TRUST,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
