listing_key,ticker,exchange,name,current_etf_category,official_sector,category_update,candidate_sources,candidate_source_urls,decision,reason,verification_evidence_required,official_source_context,category_review_context,apply_gate_context
B3::ADMF3,ADMF3,B3,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::AFOF11,AFOF11,B3,Alianza Fofii Fundo De Investimento Imobiliario,Real Estate,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=Real Estate;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::AGCX11,AGCX11,B3,FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,Real Estate,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=Real Estate;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::AQLL11,AQLL11,B3,ÁQUILLA FDO INV IMOB - FII,Real Estate,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=Real Estate;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::AZUL53,AZUL53,B3,AZUL S.A.,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::B5MB11,B5MB11,B3,ETF Bradesco Ima-B5 Plus Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::B5P211,B5P211,B3,It Now Ima-B5 P2 Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::BDAP11,BDAP11,B3,Bb Etf Indice Dap5 B3 Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::BIAU39,BIAU39,B3,Ishares Gold Trust,Equity,,,b3_bdr_etfs,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_bdr_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/,current_etf_category=Equity;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::BSLV39,BSLV39,B3,Ishares Silver Trust,Equity,,,b3_bdr_etfs,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_bdr_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/,current_etf_category=Equity;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
