listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,source_gap_context,current_instrument_scope,current_scope_reason,scope_review_context,review_needed,recommended_next_source,source_gate,b3_instruments_equities_match,b3_instruments_equities_isin,cotahist_probe_decision,cotahist_probe_isin,official_source_context,residual_decision,review_bucket,review_priority,review_strategy,apply_eligibility,verification_evidence_required,residual_review_context
B3::AFOF11,AFOF11,B3,ETF,Alianza Fofii Fundo De Investimento Imobiliario,fund_or_trust_identifier_gap,core_exclusion_candidate,gap_class=fund_or_trust_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::AGCX11,AGCX11,B3,ETF,FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,fund_or_trust_identifier_gap,core_exclusion_candidate,gap_class=fund_or_trust_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::AQLL11,AQLL11,B3,ETF,ÁQUILLA FDO INV IMOB - FII,fund_or_trust_identifier_gap,core_exclusion_candidate,gap_class=fund_or_trust_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::CPTS11B,CPTS11B,B3,ETF,Capitania Securities II Fundo Investimento Imobiliario FII,fund_or_trust_identifier_gap,core_exclusion_candidate,gap_class=fund_or_trust_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::MBRF11,MBRF11,B3,ETF,Fundo De Investimento Imobiliário Mercantil Do Brasil-fii -Inicio,fund_or_trust_identifier_gap,core_exclusion_candidate,gap_class=fund_or_trust_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::NLFA11,NLFA11,B3,ETF,Nu Letras Financeiras Anbima Classe De Índice - Responsabilidade Limitada,fund_or_trust_identifier_gap,core_exclusion_candidate,gap_class=fund_or_trust_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::OULG11B,OULG11B,B3,ETF,Pedra Dourada Fundo De Investimento Imobiliário - FII,fund_or_trust_identifier_gap,core_exclusion_candidate,gap_class=fund_or_trust_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::C3RP3,C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,inactive_or_legacy_identifier_gap,core_exclusion_candidate,gap_class=inactive_or_legacy_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::ICBR3,ICBR3,B3,Stock,INTERCEMENT BRASIL S.A.,inactive_or_legacy_identifier_gap,core_exclusion_candidate,gap_class=inactive_or_legacy_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
B3::PASS5,PASS5,B3,Stock,COMPASS GAS E ENERGIA S.A.,inactive_or_legacy_identifier_gap,core_exclusion_candidate,gap_class=inactive_or_legacy_identifier_gap;source_of_truth_outcome=core_exclusion_candidate;review_needed=true,core,primary_listing_missing_isin,current_instrument_scope=core;current_scope_reason=primary_listing_missing_isin;source_of_truth_outcome=core_exclusion_candidate,true,"Current B3 source plus reviewed core, extended, or exclude scope decision before identifier work.","No ISIN fill until the B3 listing is reviewed as core, extended, or excluded.",false,,no_cotahist_match,,b3_instruments_equities_match=false;b3_instruments_equities_isin=none;cotahist_probe_decision=no_cotahist_match;cotahist_probe_isin=none,core_exclusion_candidate_requires_scope_review,scope_review_before_identifier_fill,P1,decide_b3_core_extended_or_exclude_before_identifier_work,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_fill,residual_decision=core_exclusion_candidate_requires_scope_review;review_bucket=scope_review_before_identifier_fill;apply_eligibility=blocked_until_core_or_extended_scope_decision;verification_evidence_required=scope_decision_for_core_extended_or_exclude_before_identifier_fill
