listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,source_gap_context,review_needed,recommended_next_source,source_gate,b3_probe_decision,b3_code,b3_name,b3_sector_pt,b3_subsector,b3_segment,b3_sector_update,b3_source_url,official_source_context,residual_decision,review_bucket,review_priority,review_strategy,apply_eligibility,verification_evidence_required,residual_review_context
B3::2WAV3,2WAV3,B3,Stock,2W ECOBANK S.A.,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,2WAV,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=2WAV;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::A6OP3,A6OP3,B3,Stock,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,A6OP,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=A6OP;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::ADMF3,ADMF3,B3,Stock,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,ADMF,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=ADMF;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::AGBK4,AGBK4,B3,Stock,BANCO AGIBANK S.A.,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,AGBK,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=AGBK;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::AGRA4,AGRA4,B3,Stock,AGRALE S/A,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,AGRA,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=AGRA;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::AMZG3,AMZG3,B3,Stock,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,AMZG,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=AMZG;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::ATEA3,ATEA3,B3,Stock,ATHENA SAUDE BRASIL S.A.,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,ATEA,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=ATEA;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::AUAU99,AUAU99,B3,Stock,UNIÃO PET PARTICIPAÇÕES S.A.,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,AUAU,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=AUAU;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::BCEE3,BCEE3,B3,Stock,BANCO BESA S/A,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,BCEE,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=BCEE;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
B3::BCEE5,BCEE5,B3,Stock,BANCO BESA S/A,official_industry_taxonomy_unavailable_gap,accepted_source_gap,gap_class=official_industry_taxonomy_unavailable_gap;source_of_truth_outcome=accepted_source_gap;review_needed=true,true,Stronger official B3 or issuer taxonomy source exposing sector for the exact listing.,Keep stock_sector blank until official B3 or issuer taxonomy evidence matches the exact listing.,no_b3_code_match,BCEE,,,,,,,b3_probe_decision=no_b3_code_match;b3_code=BCEE;b3_sector_update=none;b3_source_url=none,accepted_source_gap_no_b3_classification_code_match,no_b3_classification_code_match_source_gap,P3,keep_blank_until_stronger_official_b3_or_issuer_taxonomy,source_gap_keep_blank_until_official_taxonomy_evidence,stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match,residual_decision=accepted_source_gap_no_b3_classification_code_match;review_bucket=no_b3_classification_code_match_source_gap;apply_eligibility=source_gap_keep_blank_until_official_taxonomy_evidence;verification_evidence_required=stronger_official_b3_or_issuer_taxonomy_source_with_exact_listing_match
