listing_key,ticker,exchange,isin,figi,requested_exchange_hint,openfigi_exch_code,openfigi_candidate_count,identifier_isin,listing_index_isin,existing_identifier_figi,existing_listing_index_figi,decision,reason,verification_evidence_required,openfigi_probe_context,existing_identifier_context,apply_gate_context
TSXV::SUM,SUM,TSXV,CA8662511010,BBG01GRB8TG0,CN,CN,21,CA8662511010,CA8662511010,BBG01GRB8TG0,BBG01GRB8TG0,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA8662511010;listing_index_isin=CA8662511010;existing_identifier_figi=BBG01GRB8TG0;existing_listing_index_figi=BBG01GRB8TG0,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TAJ,TAJ,TSXV,CA87405Y2024,BBG000GK1HJ8,CN,CN,45,CA87405Y2024,CA87405Y2024,BBG000GK1HJ8,BBG000GK1HJ8,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=45,identifier_isin=CA87405Y2024;listing_index_isin=CA87405Y2024;existing_identifier_figi=BBG000GK1HJ8;existing_listing_index_figi=BBG000GK1HJ8,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TBLZ.P,TBLZ.P,TSXV,CA8927671047,BBG013GNF310,CN,CN,18,CA8927671047,CA8927671047,BBG013GNF310,BBG013GNF310,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA8927671047;listing_index_isin=CA8927671047;existing_identifier_figi=BBG013GNF310;existing_listing_index_figi=BBG013GNF310,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TCG.P,TCG.P,TSXV,CA89357P1062,BBG00G41DBT7,CN,CN,18,CA89357P1062,CA89357P1062,BBG00G41DBT7,BBG00G41DBT7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA89357P1062;listing_index_isin=CA89357P1062;existing_identifier_figi=BBG00G41DBT7;existing_listing_index_figi=BBG00G41DBT7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TCK.P,TCK.P,TSXV,CA89624T1057,BBG00RHN1M29,CN,CN,18,CA89624T1057,CA89624T1057,BBG00RHN1M29,BBG00RHN1M29,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA89624T1057;listing_index_isin=CA89624T1057;existing_identifier_figi=BBG00RHN1M29;existing_listing_index_figi=BBG00RHN1M29,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TGC,TGC,TSXV,CA8903671052,BBG012F5FVF5,CN,CN,65,CA8903671052,CA8903671052,BBG012F5FVF5,BBG012F5FVF5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=65,identifier_isin=CA8903671052;listing_index_isin=CA8903671052;existing_identifier_figi=BBG012F5FVF5;existing_listing_index_figi=BBG012F5FVF5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TGOL,TGOL,TSXV,CA88605F1009,BBG000DH80N3,CN,CN,75,CA88605F1009,CA88605F1009,BBG000DH80N3,BBG000DH80N3,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=75,identifier_isin=CA88605F1009;listing_index_isin=CA88605F1009;existing_identifier_figi=BBG000DH80N3;existing_listing_index_figi=BBG000DH80N3,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::THY-P,THY-P,TSXV,CA8836541059,BBG01TR7WT92,CN,CN,18,CA8836541059,CA8836541059,BBG01TR7WT92,BBG01TR7WT92,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA8836541059;listing_index_isin=CA8836541059;existing_identifier_figi=BBG01TR7WT92;existing_listing_index_figi=BBG01TR7WT92,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TIDE.P,TIDE.P,TSXV,CA4611361037,BBG014MC7644,CN,CN,18,CA4611361037,CA4611361037,BBG014MC7644,BBG014MC7644,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA4611361037;listing_index_isin=CA4611361037;existing_identifier_figi=BBG014MC7644;existing_listing_index_figi=BBG014MC7644,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TLC.P,TLC.P,TSXV,CA8873331026,BBG00LY0LMX7,CN,CN,18,CA8873331026,CA8873331026,BBG00LY0LMX7,BBG00LY0LMX7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA8873331026;listing_index_isin=CA8873331026;existing_identifier_figi=BBG00LY0LMX7;existing_listing_index_figi=BBG00LY0LMX7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TMS-H,TMS-H,TSXV,CA8761412011,BBG0092LYDM1,CN,CN,81,CA8761412011,CA8761412011,BBG0092LYDM1,BBG0092LYDM1,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=81,identifier_isin=CA8761412011;listing_index_isin=CA8761412011;existing_identifier_figi=BBG0092LYDM1;existing_listing_index_figi=BBG0092LYDM1,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TNGD,TNGD,TSXV,CA88650A1057,BBG00Z1JVDZ8,CN,CN,21,CA88650A1057,CA88650A1057,BBG00Z1JVDZ8,BBG00Z1JVDZ8,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA88650A1057;listing_index_isin=CA88650A1057;existing_identifier_figi=BBG00Z1JVDZ8;existing_listing_index_figi=BBG00Z1JVDZ8,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TNO-H,TNO-H,TSXV,CA88145Y2050,BBG000C3RQ48,CN,CN,18,CA88145Y2050,CA88145Y2050,BBG000C3RQ48,BBG000C3RQ48,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA88145Y2050;listing_index_isin=CA88145Y2050;existing_identifier_figi=BBG000C3RQ48;existing_listing_index_figi=BBG000C3RQ48,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TNX,TNX,TSXV,CA8809451005,BBG013G4DXD5,CN,CN,42,CA8809451005,CA8809451005,BBG013G4DXD5,BBG013G4DXD5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=42,identifier_isin=CA8809451005;listing_index_isin=CA8809451005;existing_identifier_figi=BBG013G4DXD5;existing_listing_index_figi=BBG013G4DXD5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
