batch_id,listing_key,ticker,exchange,asset_type,name,isin,requested_exchange_hint,openfigi_figi,openfigi_ticker,openfigi_exch_code,openfigi_name,openfigi_security_type,candidate_count,decision
canada-figi-0001,TSXV::STUV,STUV,TSXV,Stock,Stuve Gold Corp.,CA86419L1076,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::SUGR,SUGR,TSXV,Stock,Sucro Limited,CA8650013094,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::SUM,SUM,TSXV,Stock,Summit Royalties Ltd.,CA8662511010,CN,BBG01GRB8TG0,SUM,CN,SUMMIT ROYALTIES LTD,Common Stock,21,accept
canada-figi-0001,TSXV::TAJ,TAJ,TSXV,Stock,Tajiri Resources Corp.,CA87405Y2024,CN,BBG000GK1HJ8,TAJ,CN,TAJIRI RESOURCES CORP,Common Stock,45,accept
canada-figi-0001,TSXV::TAU,TAU,TSXV,Stock,Thesis Gold Inc.,CA88369B1058,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::TBLZ.P,TBLZ.P,TSXV,Stock,Trail Blazer Capital Corp.,CA8927671047,CN,BBG013GNF310,TBLZ/P,CN,TRAIL BLAZER CAPITAL CORP-P,Common Stock,18,accept
canada-figi-0001,TSXV::TCG.P,TCG.P,TSXV,Stock,Transcontinental Gold Corp.,CA89357P1062,CN,BBG00G41DBT7,TCG/P,CN,TRANSCONTINENTAL GOLD CORP,Common Stock,18,accept
canada-figi-0001,TSXV::TCK.P,TCK.P,TSXV,Stock,Trillium Acquisition Corp.,CA89624T1057,CN,BBG00RHN1M29,TCK/P,CN,TRILLIUM ACQUISITION CORP,Common Stock,18,accept
canada-figi-0001,TSXV::TGC,TGC,TSXV,Stock,Toogood Gold Corp.,CA8903671052,CN,BBG012F5FVF5,TGC,CN,TOOGOOD GOLD CORP,Common Stock,65,accept
canada-figi-0001,TSXV::TGOL,TGOL,TSXV,Stock,Thunder Gold Corp.,CA88605F1009,CN,BBG000DH80N3,TGOL,CN,THUNDER GOLD CORP,Common Stock,75,accept
canada-figi-0001,TSXV::THY-P,THY-P,TSXV,Stock,Thermopylae Capital Inc.,CA8836541059,CN,BBG01TR7WT92,THY/P,CN,THERMOPYLAE CAPITAL INC,Common Stock,18,accept
canada-figi-0001,TSXV::TIDE.P,TIDE.P,TSXV,Stock,Intertidal Capital Corp.,CA4611361037,CN,BBG014MC7644,TIDE/P,CN,INTERTIDAL CAPITAL CORP,Common Stock,18,accept
canada-figi-0001,TSXV::TLC.P,TLC.P,TSXV,Stock,Timeless Capital Corp.,CA8873331026,CN,BBG00LY0LMX7,TLC/P,CN,TIMELESS CAPITAL CORP,Common Stock,18,accept
