campaign,exchange,review_queue,official_sources,rows,action_queue,evidence_required,review_strategy,recommended_next_source,source_gate,example_listing_keys
canada_scope_blocker,NEO,core_exclusion_candidate_identifier_scope_review,cboe_canada_listing_directory,44,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",NEO::BYLD-B|NEO::CESG-B|NEO::CHCL-B|NEO::CLU-C|NEO::FCMO|NEO::GBFC|NEO::GBFD|NEO::GBFE|NEO::HNDA|NEO::IBIT-U
canada_scope_blocker,NEO,core_exclusion_candidate_identifier_scope_review,none,1,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"current official exchange or issuer source plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",NEO::NACO
canada_scope_blocker,TSX,core_exclusion_candidate_identifier_scope_review,none,14,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"current official exchange or issuer source plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",TSX::AD-UN|TSX::BGI-UN|TSX::BPF-UN|TSX::COP-U|TSX::COP-UN|TSX::IGBT-UN|TSX::INC-UN|TSX::MID-UN|TSX::MMP-UN|TSX::PBY-UN
canada_scope_blocker,TSX,core_exclusion_candidate_identifier_scope_review,tmx_etf_screener,24,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"tmx_etf_screener plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",TSX::BND.U|TSX::CCOM.B|TSX::CHCL.B|TSX::CLUP|TSX::ETHH.F|TSX::ETHH.V|TSX::FBT.F|TSX::FCUV.U|TSX::FETH.U|TSX::FFI-UN
canada_scope_blocker,TSX,core_exclusion_candidate_identifier_scope_review,tmx_etf_screener|tmx_listed_issuers,2,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"multiple_official_sources plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",TSX::NBUE|TSX::PSU
canada_scope_blocker,TSX,core_exclusion_candidate_identifier_scope_review,tmx_listed_issuers,38,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"tmx_listed_issuers plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",TSX::BPF|TSX::BTB|TSX::CATR|TSX::CEGS|TSX::CMGS|TSX::DIR|TSX::EIT|TSX::FAP|TSX::FCD|TSX::FCR
canada_scope_blocker,TSX,core_exclusion_candidate_metadata_scope_review,none,2,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_before_sector_or_category_fill,scope_review_before_canada_metadata_enrichment,current official exchange or issuer source plus reviewed scope decision before any sector or ETF-category work.,No sector or category fill until scope is decided with official listing evidence.,TSX::MAK-U|TSX::U-U
canada_scope_blocker,TSX,core_exclusion_candidate_metadata_scope_review,tmx_listed_issuers,5,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_before_sector_or_category_fill,scope_review_before_canada_metadata_enrichment,tmx_listed_issuers plus reviewed scope decision before any sector or ETF-category work.,No sector or category fill until scope is decided with official listing evidence.,TSX::BENZ|TSX::BOFA|TSX::LVMH|TSX::PGIC|TSX::VISA
canada_scope_blocker,TSXV,core_exclusion_candidate_identifier_scope_review,none,14,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"current official exchange or issuer source plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",TSXV::AB-H|TSXV::BAL-H|TSXV::FCA-U|TSXV::IBC-H|TSXV::LRC-H|TSXV::MAR-UN|TSXV::NMG-H|TSXV::NRZ-H|TSXV::PTP-H|TSXV::SURF-UN
canada_scope_blocker,TSXV,core_exclusion_candidate_identifier_scope_review,tmx_interlisted_companies|tmx_listed_issuers,1,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"multiple_official_sources plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",TSXV::SGQ
