listing_key,ticker,exchange,asset_type,name,isin,figi,figi_source,openfigi_review_status,openfigi_review_decision,openfigi_review_source,openfigi_reviewed_at,missing_isin,missing_figi,source_gap_fields,source_gap_classes,source_of_truth_outcomes,source_gap_context,official_masterfile_match,official_masterfile_sources,official_masterfile_exposes_isin,official_masterfile_exposes_sector,official_source_context,canada_resolution_queue,review_strategy,queue_evidence_required,recommended_next_source,source_gate,isin_decision,figi_decision,isin_apply_eligibility,figi_apply_eligibility,verification_evidence_required,identifier_review_context,recommended_next_action
NEO::AEMX,AEMX,NEO,ETF,AGF Emerging Markets ex China Fund Series ETF,CA00858F1099,,,accepted_source_gap_no_openfigi_match,no_openfigi_match,OpenFIGI ID_ISIN mapping,2026-05-24T14:27:35Z,false,true,,,,source_gap_fields=none;source_gap_classes=none;source_of_truth_outcomes=none,false,,false,false,official_masterfile_match=false;official_masterfile_sources=none;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,reviewed_openfigi_no_match_source_gap,keep_figi_blank_after_reviewed_openfigi_no_match,stronger_figi_source_required_openfigi_no_match_reviewed,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,isin_present,missing_figi_reviewed_source_gap_no_openfigi_match,no_isin_action_required,keep_blank_as_reviewed_openfigi_source_gap,stronger_figi_source_required_openfigi_no_match_reviewed,missing_isin=false;missing_figi=true;isin_decision=isin_present;figi_decision=missing_figi_reviewed_source_gap_no_openfigi_match;isin_apply_eligibility=no_isin_action_required;figi_apply_eligibility=keep_blank_as_reviewed_openfigi_source_gap;openfigi_review_status=accepted_source_gap_no_openfigi_match;openfigi_review_decision=no_openfigi_match,keep_blank_as_documented_openfigi_source_gap_until_stronger_source
NEO::BYLD-B,BYLD-B,NEO,ETF,MANULIFE SMART ENHANCED YIELD BOND ETF - UNHEDGED UNITS,,,,,,,,true,true,missing_isin_primary,debt_or_securitized_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=debt_or_securitized_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::CESG-B,CESG-B,NEO,ETF,CI First Asset MSCI World ESG Impact ETF,,,,,,,,true,true,missing_isin_primary,fund_or_trust_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=fund_or_trust_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::CHCL-B,CHCL-B,NEO,ETF,CI Global Healthcare Leaders Index ETF,,,,,,,,true,true,missing_isin_primary,fund_or_trust_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=fund_or_trust_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::CLU-C,CLU-C,NEO,ETF,iSHARES US FUNDAMENTAL INDEX ETF,,,,,,,,true,true,missing_isin_primary,fund_or_trust_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=fund_or_trust_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::FCMO,FCMO,NEO,ETF,Fidelity US Momentum ETF,,,,,,,,true,true,missing_isin_primary,fund_or_trust_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=fund_or_trust_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::GBFC,GBFC,NEO,ETF,GuardBondsTM 2026 Investment Grade Bond Fund ETF Units,,,,,,,,true,true,missing_isin_primary,debt_or_securitized_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=debt_or_securitized_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::GBFD,GBFD,NEO,ETF,GuardBondsTM 2027 Investment Grade Bond Fund ETF Units,,,,,,,,true,true,missing_isin_primary,debt_or_securitized_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=debt_or_securitized_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::GBFE,GBFE,NEO,ETF,GuardBonds 2028 Investment Grade Bd ETF,,,,,,,,true,true,missing_isin_primary,fund_or_trust_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=fund_or_trust_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::HNDA,HNDA,NEO,Stock,HONDA MOTOR CO LTD CDR (CAD Hedged),,,,,,,,true,true,missing_isin_primary|missing_sector_stock,adr_cdr_or_depositary_identifier_gap|adr_cdr_or_depositary_sector_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary|missing_sector_stock;source_gap_classes=adr_cdr_or_depositary_identifier_gap|adr_cdr_or_depositary_sector_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
NEO::IBIT-U,IBIT-U,NEO,ETF,iShares Bitcoin ETF USD,,,,,,,,true,true,missing_isin_primary,fund_or_trust_identifier_gap,core_exclusion_candidate,source_gap_fields=missing_isin_primary;source_gap_classes=fund_or_trust_identifier_gap;source_of_truth_outcomes=core_exclusion_candidate,true,cboe_canada_listing_directory,false,false,official_masterfile_match=true;official_masterfile_sources=cboe_canada_listing_directory;official_masterfile_exposes_isin=false;official_masterfile_exposes_sector=false,core_exclusion_candidate_identifier_scope_review,scope_review_before_canada_identifier_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,"cboe_canada_listing_directory plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",missing_isin_core_exclusion_candidate_requires_scope_review,missing_figi_requires_isin_first,blocked_until_scope_decision,blocked_until_isin_resolved,scope_decision_for_core_extended_or_exclude_before_identifier_enrichment,missing_isin=true;missing_figi=true;isin_decision=missing_isin_core_exclusion_candidate_requires_scope_review;figi_decision=missing_figi_requires_isin_first;isin_apply_eligibility=blocked_until_scope_decision;figi_apply_eligibility=blocked_until_isin_resolved;openfigi_review_status=none;openfigi_review_decision=none,review_scope_before_identifier_enrichment
