listing_key,ticker,exchange,asset_type,name,isin,figi,source_gap_fields,source_gap_classes,official_masterfile_sources,official_masterfile_match,official_masterfile_exposes_isin,official_masterfile_exposes_sector,current_instrument_scope,current_scope_reason,listing_history_status,listing_history_last_observed_at,ohlcv_plausibility_status,ohlcv_review_bucket,canada_resolution_queue,scope_review_queue,scope_decision_gate,recommended_scope_action,verification_evidence_required,recommended_next_source,source_gate,review_context
TSXV::AB-H,AB-H,TSXV,Stock,Asbestos Corporation Limited,,,missing_isin_primary|missing_sector_stock,capital_pool_or_halted_identifier_gap|official_industry_taxonomy_unavailable_gap,,false,false,false,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"current official exchange or issuer source, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|official_industry_taxonomy_unavailable_gap;official_masterfile_sources=none;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::AFV.P,AFV.P,TSXV,Stock,Apolo V Acquisition Corp.,,,missing_isin_primary|missing_sector_stock,capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap,tmx_listed_issuers,true,false,false,core,primary_listing_missing_isin,active,2026-04-08T17:39:16Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::AQR.P,AQR.P,TSXV,Stock,Anquiro Ventures Ltd.,,,missing_isin_primary|missing_sector_stock,capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap,tmx_listed_issuers,true,false,false,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::BAL-H,BAL-H,TSXV,Stock,Balto Resources Ltd,,,missing_isin_primary,capital_pool_or_halted_identifier_gap,,false,false,false,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"current official exchange or issuer source, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap;official_masterfile_sources=none;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::BAQ.P,BAQ.P,TSXV,Stock,Bluewater Acquisition Corp.,,,missing_isin_primary|missing_sector_stock,capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap,tmx_listed_issuers,true,false,false,core,primary_listing_missing_isin,active,2026-04-08T17:39:16Z,not_checked,not_checked_source_gap_cluster_sample,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::DAQ.P,DAQ.P,TSXV,Stock,Dominus Acquisition Corp.,,,missing_isin_primary,capital_pool_or_halted_identifier_gap,tmx_listed_issuers,true,false,false,core,primary_listing_missing_isin,active,2026-04-08T17:39:16Z,,,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::EIRE.P,EIRE.P,TSXV,ETF,Monaghan Capital Fund Ltd.,,,missing_etf_category|missing_isin_primary,capital_pool_or_halted_identifier_gap|official_product_taxonomy_unavailable_gap,tmx_listed_issuers,true,false,false,core,primary_listing,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|official_product_taxonomy_unavailable_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::FGCC.P,FGCC.P,TSXV,Stock,First and Goal Capital Corp.,,,missing_isin_primary|missing_sector_stock,capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap,tmx_listed_issuers,true,false,false,core,primary_listing_missing_isin,active,2026-04-08T17:39:16Z,,,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::GLIN.P,GLIN.P,TSXV,Stock,Global Investments Capital Corp.,,,missing_isin_primary|missing_sector_stock,capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap,tmx_listed_issuers,true,false,false,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
TSXV::GOWC.P,GOWC.P,TSXV,Stock,Can-Gow Capital Inc.,,,missing_isin_primary|missing_sector_stock,capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap,tmx_listed_issuers,true,false,false,core,primary_listing_missing_isin,active,2026-04-08T17:39:16Z,,,core_exclusion_candidate_identifier_scope_review,canada_cpc_shell_or_halted_scope_review,decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment,review_cpc_shell_or_halt_status_then_choose_core_extended_or_exclude,official_tmx_or_issuer_status_evidence_plus_core_extended_or_exclude_scope_decision,"tmx_listed_issuers, TMX status page, issuer filing, or halt/CPC classification evidence for the exact listing.","No ISIN, FIGI, sector, or scope change until current CPC, shell, halt, active, or inactive status is proven.",source_gap_classes=capital_pool_or_halted_identifier_gap|shell_or_cpc_sector_gap;official_masterfile_sources=tmx_listed_issuers;official_masterfile_exposes_isin=false;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_canada_identifier_or_metadata_enrichment
