contract_id,contract_key,exchange,asset_type,claim_type,venue_status,source_keys,reference_scopes,denominator_method,denominator,observed_reference_keys,covered_reference_keys,missing_reference_keys,identity_conflict_keys,unclassified_keys,recall_pct,minimum_recall_pct,freshness_status,license_status,contract_status,freshness_failures,license_failures,required_next_action
029f81dd6e38bed899b65630,ADX::ETF,ADX,ETF,official_full,official_full,adx_market_watch,exchange_directory,exchange_audit_official_active_product_rows,24,24,16,8,0,0,66.666667,99.5,fail,fail,fail_freshness,adx_market_watch: snapshot age 12.14d exceeds 7d SLA,adx_market_watch: license_status is not verified_open,resolve the failing contract evidence before stable release
0afb24b8e13fab47c53157a8,ADX::Stock,ADX,Stock,official_full,official_full,adx_market_watch,exchange_directory,exchange_audit_official_active_product_rows,99,99,68,31,0,0,68.686869,99.5,fail,fail,fail_freshness,adx_market_watch: snapshot age 12.14d exceeds 7d SLA,adx_market_watch: license_status is not verified_open,resolve the failing contract evidence before stable release
542b4ef88bb86d9b9bebe030,AMS::ETF,AMS,ETF,official_full,official_full,euronext_equities|euronext_etfs,exchange_directory,exchange_audit_official_active_product_rows,495,495,215,280,1,0,43.434343,99.5,pass,fail,fail_identity_conflict,,euronext_equities: license_status is not verified_open | euronext_etfs: license_status is not verified_open,resolve the failing contract evidence before stable release
6eb5e5fc49dbff06ebe6fc9c,AMS::Stock,AMS,Stock,official_full,official_full,euronext_equities,exchange_directory,exchange_audit_official_active_product_rows,115,115,103,12,0,0,89.565217,99.5,pass,fail,fail_license,,euronext_equities: license_status is not verified_open,resolve the failing contract evidence before stable release
153fe1cfd55e8977b2b9a8b2,ASX::ETF,ASX,ETF,official_partial,official_partial,asx_investment_products|asx_listed_companies,listed_companies_subset,observed_partial_scope_keys,598,598,461,137,11,0,77.090301,,fail,fail,partial_scope_observed,asx_listed_companies: latest refresh is unavailable,asx_investment_products: license_status is not verified_open | asx_listed_companies: license_status is not verified_open,do not promote partial scope to a full completeness claim
5494cff633a5b806d5696e35,ASX::Stock,ASX,Stock,official_partial,official_partial,asx_listed_companies,listed_companies_subset,observed_partial_scope_keys,1843,1843,1684,159,2,0,91.372762,,fail,fail,partial_scope_observed,asx_listed_companies: latest refresh is unavailable,asx_listed_companies: license_status is not verified_open,do not promote partial scope to a full completeness claim
dec31009158d3e35d8895b6b,ATHEX::Stock,ATHEX,Stock,official_partial,official_partial,athex_sector_classification,listed_companies_subset,observed_partial_scope_keys,126,126,126,0,0,0,100.0,,pass,fail,partial_scope_observed,,athex_sector_classification: license_status is not verified_open,do not promote partial scope to a full completeness claim
411b2a9c7d202b8846ce8793,B3::ETF,B3,ETF,official_full,official_full,b3_bdr_etfs|b3_instruments_equities|b3_listed_etfs,exchange_directory|listed_companies_subset,exchange_audit_official_active_product_rows,1404,1026,801,603,3,0,57.051282,99.5,fail,fail,fail_identity_conflict,b3_instruments_equities: snapshot age 12.14d exceeds 7d SLA,b3_bdr_etfs: license_status is not verified_open | b3_instruments_equities: license_status is not verified_open | b3_listed_etfs: license_status is not verified_open,resolve the failing contract evidence before stable release
9ae718d74c12f1572c5f396a,B3::Stock,B3,Stock,official_full,official_full,b3_instruments_equities,exchange_directory,exchange_audit_official_active_product_rows,427,427,409,18,0,0,95.784543,99.5,fail,fail,fail_freshness,b3_instruments_equities: snapshot age 12.14d exceeds 7d SLA,b3_instruments_equities: license_status is not verified_open,resolve the failing contract evidence before stable release
ca63cef6f6bdcbcd3b25643f,BATS::ETF,BATS,ETF,official_full,official_full,nasdaq_other_listed|nasdaq_trading_system_adds_deletes,corporate_action_daily_list|exchange_directory,exchange_audit_official_active_product_rows,1619,1610,1103,516,22,0,68.128474,99.5,pass,fail,fail_identity_conflict,,nasdaq_other_listed: license_status is not verified_open | nasdaq_trading_system_adds_deletes: license_status is not verified_open,resolve the failing contract evidence before stable release
