listing_key,ticker,exchange,asset_type,name,instrument_scope,scope_reason,quality_status,issue_types,source_gap_field,source_gap_class,source_of_truth_outcome,scope_decision,otc_review_decision_status,metadata_enrichment_gate,deepseek_decision_candidate,deepseek_confidence,deepseek_evidence_needed,deepseek_rationale,deepseek_do_not_apply_reason,review_queue,review_gate,recommended_next_action
OTC::ABNAF,ABNAF,OTC,Stock,Aben Resources Ltd,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.3,"Official company name from regulatory filing or exchange (e.g., SEC, OTC Markets).","The database name 'Aben Resources Ltd' has a flagged official_name_mismatch; without an authoritative source, the correct name cannot be confirmed.",Missing official evidence for name resolution.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ACGBY,ACGBY,OTC,Stock,Agricultural Bank of China PK,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.3,"Official company name from regulatory filing or exchange (e.g., SEC, OTC Markets).",The database name 'Agricultural Bank of China PK' has a flagged official_name_mismatch; verification against an authoritative source is required.,Missing official evidence for name resolution.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::AECX,AECX,OTC,Stock,CurrentC Power Corporation,extended,otc_listing,warn,official_name_mismatch,missing_sector_stock,otc_sector_source_gap,accepted_source_gap,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.3,"Official company name from regulatory filing or exchange (e.g., SEC, OTC Markets).",The database name 'CurrentC Power Corporation' has a flagged official_name_mismatch; an accepted sector source gap does not resolve the name mismatch.,Missing official evidence for name resolution.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::AKBTY,AKBTY,OTC,Stock,Akbank Turk Anonim Sirketi,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.3,"Official company name from regulatory filing or exchange (e.g., SEC, OTC Markets).",The database name 'Akbank Turk Anonim Sirketi' has a flagged official_name_mismatch; authoritative documentation is needed to determine the correct name.,Missing official evidence for name resolution.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::AKOM,AKOM,OTC,Stock,Aerkomm Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.3,"Official company name from regulatory filing or exchange (e.g., SEC, OTC Markets).",The database name 'Aerkomm Inc' has a flagged official_name_mismatch; resolution requires comparison with an authoritative source.,Missing official evidence for name resolution.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ANGCF,ANGCF,OTC,Stock,Angel Gold Corp,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source confirming current legal name, such as SEC filings or regulatory disclosure.",Official name mismatch flagged; extended OTC listing requires validated name before any metadata update.,Name mismatch must be resolved with official evidence before any metadata correction can be applied.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::APCOF,APCOF,OTC,Stock,New Tech Minerals Corp,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source confirming current legal name, such as SEC filings or regulatory disclosure.",Official name mismatch flagged; extended OTC listing requires validated name before any metadata update.,Name mismatch must be resolved with official evidence before any metadata correction can be applied.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::APELY,APELY,OTC,Stock,Alps Electric Co Ltd,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source confirming current legal name, such as SEC filings or regulatory disclosure.",Official name mismatch flagged; extended OTC listing requires validated name before any metadata update.,Name mismatch must be resolved with official evidence before any metadata correction can be applied.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::APETF,APETF,OTC,Stock,Alpha Esports Tech Inc,extended,otc_listing,warn,official_name_mismatch,missing_sector_stock,otc_sector_source_gap,accepted_source_gap,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source confirming current legal name, such as SEC filings or regulatory disclosure.",Official name mismatch flagged despite accepted source gap for sector; name validation still required.,Name mismatch must be resolved with official evidence before any metadata correction can be applied.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ARAFF,ARAFF,OTC,Stock,Arafura Resources Ltd,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source confirming current legal name, such as SEC filings or regulatory disclosure.",Official name mismatch flagged; extended OTC listing requires validated name before any metadata update.,Name mismatch must be resolved with official evidence before any metadata correction can be applied.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ARGGY,ARGGY,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.1,"Official company name from SEC filing, OTC Markets profile, or home exchange record.",Ticker has official name mismatch and current name is missing. Cannot resolve without official source.,Do not apply any name changes without official evidence from a regulatory filing or exchange.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ARGYF,ARGYF,OTC,Stock,Avanti Energy Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.1,"Official company name from SEC filing, OTC Markets profile, or home exchange record.",Ticker has official name mismatch. Current name 'Avanti Energy Inc' may not be official. Cannot resolve without official source.,Do not apply any name changes without official evidence from a regulatory filing or exchange.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ARLSF,ARLSF,OTC,Stock,Argo Living Soils Corp,extended,otc_listing,warn,official_name_mismatch,missing_sector_stock,otc_sector_source_gap,accepted_source_gap,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.1,"Official company name from SEC filing, OTC Markets profile, or home exchange record.",Ticker has official name mismatch. Current name 'Argo Living Soils Corp' may not be official. Cannot resolve without official source.,Do not apply any name changes without official evidence from a regulatory filing or exchange.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ARXRF,ARXRF,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.1,"Official company name from SEC filing, OTC Markets profile, or home exchange record.",Ticker has official name mismatch and current name is missing. Cannot resolve without official source.,Do not apply any name changes without official evidence from a regulatory filing or exchange.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ASBFY,ASBFY,OTC,Stock,Associated British Foods plc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.1,"Official company name from SEC filing, OTC Markets profile, or home exchange record.",Ticker has official name mismatch. Current name 'Associated British Foods plc' may not be official. Cannot resolve without official source.,Do not apply any name changes without official evidence from a regulatory filing or exchange.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ASEKY,ASEKY,OTC,Stock,Aisin Seiki Co Ltd,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,Official company name from OTC Markets profile or regulatory filing,The name 'Aisin Seiki Co Ltd' may be mismatched with the official name; official evidence required to confirm correct name.,Name update blocked pending official verification.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ATONY,ATONY,OTC,Stock,Anton Oilfield Services Group,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,Official company name from OTC Markets profile or regulatory filing,The name 'Anton Oilfield Services Group' may be mismatched with the official name; official evidence required to confirm correct name.,Name update blocked pending official verification.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ATOXF,ATOXF,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,Official company name from OTC Markets profile or regulatory filing,Name is empty; official evidence required to populate correct name.,Name update blocked pending official verification.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::ATUUF,ATUUF,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,Official company name from OTC Markets profile or regulatory filing,Name is empty; official evidence required to populate correct name.,Name update blocked pending official verification.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::AUHIF,AUHIF,OTC,Stock,Advance United Holdings Inc,extended,otc_listing,warn,official_name_mismatch,missing_sector_stock,otc_sector_source_gap,accepted_source_gap,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,Official company name from OTC Markets profile or regulatory filing,The name 'Advance United Holdings Inc' may be mismatched; official evidence required to confirm.,Name update blocked pending official verification.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::AWSL,AWSL,OTC,Stock,Atlantic Wind & Solar Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source (e.g., OTC Markets profile, SEC filing, or issuer press release) confirming the correct legal name for AWSL.","Current name 'Atlantic Wind & Solar Inc' has an official_name_mismatch flag. Without official evidence, we cannot confirm if this is accurate or what the correct name should be.",Missing official evidence to verify and resolve the name mismatch.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::AXXA,AXXA,OTC,Stock,RCABS Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source (e.g., OTC Markets profile, SEC filing, or issuer press release) confirming the correct legal name for AXXA.","Current name 'RCABS Inc' has an official_name_mismatch flag. Without official evidence, we cannot confirm if this is accurate or what the correct name should be.",Missing official evidence to verify and resolve the name mismatch.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
