listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,official_masterfile_sources,official_masterfile_sector_values,weak_sector_resolution_queue,residual_decision,deepseek_decision_candidate,deepseek_confidence,deepseek_evidence_needed,deepseek_rationale,deepseek_do_not_apply_reason,review_queue,review_gate,recommended_next_action
NGX::ABCTRANS,ABCTRANS,NGX,Stock,ABC TRANSPORT PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical mapping for official sector value 'SERVICES' from ngx_company_profile_directory or ngx_equities_price_list to database sector taxonomy.,"Official source reports sector as 'SERVICES', but without a verified canonical mapping, the value cannot be directly applied, and the gap is accepted per source_of_truth_outcome.",Sector value from official source is available but requires canonical normalization before database insertion.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::ACADEMY,ACADEMY,NGX,Stock,ACADEMY PRESS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical mapping for official sector value 'SERVICES' from ngx_company_profile_directory or ngx_equities_price_list to database sector taxonomy.,"Official source reports sector as 'SERVICES', but without a verified canonical mapping, the value cannot be directly applied, and the gap is accepted per source_of_truth_outcome.",Sector value from official source is available but requires canonical normalization before database insertion.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::AFROMEDIA,AFROMEDIA,NGX,Stock,AFROMEDIA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical mapping for official sector value 'SERVICES' from ngx_company_profile_directory or ngx_equities_price_list to database sector taxonomy.,"Official source reports sector as 'SERVICES', but without a verified canonical mapping, the value cannot be directly applied, and the gap is accepted per source_of_truth_outcome.",Sector value from official source is available but requires canonical normalization before database insertion.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::CAVERTON,CAVERTON,NGX,Stock,CAVERTON OFFSHORE SUPPORT GRP PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical mapping for official sector value 'SERVICES' from ngx_company_profile_directory or ngx_equities_price_list to database sector taxonomy.,"Official source reports sector as 'SERVICES', but without a verified canonical mapping, the value cannot be directly applied, and the gap is accepted per source_of_truth_outcome.",Sector value from official source is available but requires canonical normalization before database insertion.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::CHELLARAM,CHELLARAM,NGX,Stock,CHELLARAMS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical mapping for official sector value 'CONGLOMERATES' from ngx_company_profile_directory or ngx_equities_price_list to database sector taxonomy.,"Official source reports sector as 'CONGLOMERATES', but without a verified canonical mapping, the value cannot be directly applied, and the gap is accepted per source_of_truth_outcome.",Sector value from official source is available but requires canonical normalization before database insertion.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::CILEASING,CILEASING,NGX,Stock,C & I LEASING PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,keep_source_gap,0.2,Canonical sector mapping for raw official sector value: SERVICES from ngx_company_profile_directory|ngx_equities_price_list.,Official sector value available but requires canonical normalization to database taxonomy. Source gap accepted; no fill action until normalization is complete.,Sector normalization required; raw value may not match canonical taxonomy.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::CUSTODIAN,CUSTODIAN,NGX,Stock,CUSTODIAN INVESTMENT PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,official_sector_candidate_normalization_review,official_sector_available_review_apply,keep_source_gap,0.2,Canonical sector mapping for raw official sector value: CONGLOMERATES from ngx_company_profile_directory|ngx_equities_price_list.,Official sector value available but requires canonical normalization to database taxonomy. Source gap accepted; no fill action until normalization is complete.,Sector normalization required; raw value may not match canonical taxonomy.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::DAARCOMM,DAARCOMM,NGX,Stock,DAAR COMMUNICATIONS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,keep_source_gap,0.2,Canonical sector mapping for raw official sector value: SERVICES from ngx_company_profile_directory|ngx_equities_price_list.,Official sector value available but requires canonical normalization to database taxonomy. Source gap accepted; no fill action until normalization is complete.,Sector normalization required; raw value may not match canonical taxonomy.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::EUNISELL,EUNISELL,NGX,Stock,EUNISELL INTERLINKED PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,keep_source_gap,0.2,Canonical sector mapping for raw official sector value: SERVICES from ngx_company_profile_directory|ngx_equities_price_list.,Official sector value available but requires canonical normalization to database taxonomy. Source gap accepted; no fill action until normalization is complete.,Sector normalization required; raw value may not match canonical taxonomy.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::IKEJAHOTEL,IKEJAHOTEL,NGX,Stock,IKEJA HOTELS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,keep_source_gap,0.2,Canonical sector mapping for raw official sector value: SERVICES from ngx_company_profile_directory|ngx_equities_price_list.,Official sector value available but requires canonical normalization to database taxonomy. Source gap accepted; no fill action until normalization is complete.,Sector normalization required; raw value may not match canonical taxonomy.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::JOHNHOLT,JOHNHOLT,NGX,Stock,JOHN HOLT PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical sector mapping for official sector value 'CONGLOMERATES' from NGX masterfile for listing_key NGX::JOHNHOLT.,Official sector value is available in NGX masterfile but not yet normalized to canonical sector taxonomy; normalization review required.,Cannot apply sector until canonical mapping is verified from official source.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::JULI,JULI,NGX,Stock,JULI PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical sector mapping for official sector value 'SERVICES' from NGX masterfile for listing_key NGX::JULI.,Official sector value is available in NGX masterfile but not yet normalized to canonical sector taxonomy; normalization review required.,Cannot apply sector until canonical mapping is verified from official source.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::LEARNAFRCA,LEARNAFRCA,NGX,Stock,LEARN AFRICA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical sector mapping for official sector value 'SERVICES' from NGX masterfile for listing_key NGX::LEARNAFRCA.,Official sector value is available in NGX masterfile but not yet normalized to canonical sector taxonomy; normalization review required.,Cannot apply sector until canonical mapping is verified from official source.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::NAHCO,NAHCO,NGX,Stock,NIGERIAN AVIATION HANDLING CO. PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical sector mapping for official sector value 'SERVICES' from NGX masterfile for listing_key NGX::NAHCO.,Official sector value is available in NGX masterfile but not yet normalized to canonical sector taxonomy; normalization review required.,Cannot apply sector until canonical mapping is verified from official source.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
