exchange,venue_status,reference_scopes,current_stock_rows,current_etf_rows,official_active_stock_rows,official_active_etf_rows,missing_product_classes,official_source_keys,unavailable_source_keys,nonfresh_source_keys,source_blocker_classes,official_denominator,official_matches,official_collisions,official_missing,official_recall_pct,collision_adjusted_recall_pct,denominator_status,audit_outcome,promotion_readiness
ADX,official_full,exchange_directory,69,17,99,24,,adx_market_watch,,adx_market_watch,stale_artifact,123,85,32,6,69.11,93.41,available,refresh_required,not_applicable
AMS,official_full,exchange_directory,124,422,115,489,,euronext_equities|euronext_etfs,,,,604,374,177,53,61.92,87.59,available,maintain,not_applicable
ASX,official_partial,listed_companies_subset,1727,532,1843,602,,asx_investment_products|asx_listed_companies,asx_listed_companies,asx_investment_products|asx_listed_companies,empty_refresh|stale_artifact,0,0,0,0,,,denominator_missing,refresh_unavailable,blocked_source_unavailable
ATHEX,official_partial,listed_companies_subset,162,1,118,0,ETF,athex_sector_classification,,athex_sector_classification,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
B3,official_full,exchange_directory|listed_companies_subset,687,894,426,1428,,b3_bdr_etfs|b3_instruments_equities|b3_listed_etfs,,b3_bdr_etfs|b3_instruments_equities|b3_listed_etfs,stale_artifact,1327,1220,0,107,91.94,91.94,available,refresh_required,not_applicable
BATS,official_full,corporate_action_daily_list|exchange_directory,1,1339,4,1588,,nasdaq_other_listed|nasdaq_trading_system_adds_deletes,,nasdaq_other_listed|nasdaq_trading_system_adds_deletes,stale_artifact,1588,1245,56,287,78.4,81.27,available,refresh_required,not_applicable
BCBA,official_partial,security_lookup_subset,92,0,63,0,,byma_equity_details,,byma_equity_details,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
BHB,official_full,exchange_directory,28,0,41,0,,bahrain_bourse_listed_companies,,bahrain_bourse_listed_companies,stale_artifact,41,28,9,4,68.29,87.5,available,refresh_required,not_applicable
BIST,official_full,exchange_directory,584,30,617,30,,bist_kap_mkk_listed_securities,,bist_kap_mkk_listed_securities,stale_artifact,647,611,21,15,94.44,97.6,available,refresh_required,not_applicable
BK,official_full,exchange_directory,104,0,140,0,,boursa_kuwait_stocks,,boursa_kuwait_stocks,stale_artifact,140,102,27,11,72.86,90.27,available,refresh_required,not_applicable
BME,official_full,exchange_directory|listed_companies_subset,271,5,171,7,,bme_etf_list|bme_listed_companies|bme_security_prices_directory,,bme_etf_list|bme_listed_companies|bme_security_prices_directory,stale_artifact,50,18,0,32,36.0,36.0,available,refresh_required,not_applicable
BMV,official_partial,listed_companies_subset,189,155,22,4,,bmv_capital_trust_search|bmv_etf_search|bmv_market_data_securities|bmv_stock_search,,bmv_capital_trust_search|bmv_etf_search|bmv_market_data_securities|bmv_stock_search,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
BSE_BW,official_partial,listed_companies_subset,38,1,26,0,ETF,bse_bw_listed_companies,bse_bw_listed_companies,bse_bw_listed_companies,empty_refresh,0,0,0,0,,,denominator_missing,refresh_unavailable,blocked_source_unavailable
BSE_HU,official_partial,listed_companies_subset,49,1,20,0,ETF,bse_hu_listed_companies,,bse_hu_listed_companies,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
BSE_IN,official_full,exchange_directory,2725,7,4889,188,,bse_india_scrips,,bse_india_scrips,stale_artifact,5077,2671,1843,563,52.61,82.59,available,refresh_required,not_applicable
BVB,official_full,exchange_directory|listed_companies_subset,87,5,350,9,,bvb_fund_units_directory|bvb_shares_directory,,bvb_fund_units_directory|bvb_shares_directory,stale_artifact,350,87,119,144,24.86,37.66,available,refresh_required,not_applicable
BVC,official_partial,listed_companies_subset,3,0,3,0,,bvc_colombia_issuers,bvc_colombia_issuers,bvc_colombia_issuers,empty_refresh,0,0,0,0,,,denominator_missing,refresh_unavailable,blocked_source_unavailable
BVL,official_partial,security_lookup_subset,31,2,30,1,,bvl_issuers_directory,,bvl_issuers_directory,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
Borsa Italiana,official_full,exchange_directory,278,0,446,2457,,euronext_equities|euronext_etfs,,,,2903,250,1856,797,8.61,23.88,available,maintain,not_applicable
Bursa,official_partial,listed_companies_subset,1035,4,2377,31,,bursa_closing_prices|bursa_equity_isin,bursa_closing_prices|bursa_equity_isin,bursa_closing_prices|bursa_equity_isin,empty_refresh,0,0,0,0,,,denominator_missing,refresh_unavailable,blocked_source_unavailable
CPH,official_partial,listed_companies_subset,150,3,143,1,,nasdaq_nordic_copenhagen_etfs|nasdaq_nordic_copenhagen_shares,,nasdaq_nordic_copenhagen_etfs|nasdaq_nordic_copenhagen_shares,cache_only,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
CSE_LK,official_full,exchange_directory,307,0,625,0,,cse_lk_all_security_code|cse_lk_company_info_summary,,cse_lk_all_security_code|cse_lk_company_info_summary,stale_artifact,318,307,0,11,96.54,96.54,available,refresh_required,not_applicable
CSE_MA,official_full,exchange_directory,66,0,82,0,,cse_ma_listed_companies,,cse_ma_listed_companies,stale_artifact,82,1,64,17,1.22,5.56,available,refresh_required,not_applicable
DFM,official_full,exchange_directory,44,2,69,2,,dfm_listed_securities,,dfm_listed_securities,stale_artifact,71,45,17,9,63.38,83.33,available,refresh_required,not_applicable
DSE_TZ,official_partial,listed_companies_subset,17,0,17,0,,dse_tz_listed_companies,,dse_tz_listed_companies,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
EGX,official_partial,listed_companies_subset,223,0,191,0,,egx_listed_stocks,,,,0,0,0,0,,,denominator_missing,denominator_missing,blocked_denominator_missing
Euronext,official_full,exchange_directory|secondary_listing_subset,863,614,2973,1143,,euronext_equities|euronext_etfs,,,,2014,1341,365,308,66.58,81.32,available,maintain,not_applicable
FSX,official_full,exchange_directory,8018,125,14541,3475,,deutsche_boerse_frankfurt_all_tradable_equities,,,,18016,8007,3945,6064,44.44,56.9,available,maintain,not_applicable
GSE,official_partial,listed_companies_subset,19,0,18,0,,gse_listed_companies,,,,0,0,0,0,,,denominator_missing,denominator_missing,blocked_denominator_missing
HEL,official_partial,listed_companies_subset,199,1,191,2,,nasdaq_nordic_helsinki_etfs|nasdaq_nordic_helsinki_shares,,nasdaq_nordic_helsinki_etfs|nasdaq_nordic_helsinki_shares,cache_only,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
HKEX,official_full,exchange_directory,2658,400,2782,412,,hkex_securities_list,,,,3194,3038,70,86,95.12,97.25,available,maintain,not_applicable
HNX,official_full,exchange_directory,105,0,299,0,,hnx_listed_securities,,,,299,104,163,32,34.78,76.47,available,maintain,not_applicable
HOSE,official_partial,listed_companies_subset,140,13,408,20,,hose_etf_list|hose_fund_certificate_list|hose_listed_stocks,,,,0,0,0,0,,,denominator_missing,denominator_missing,blocked_denominator_missing
ICE_IS,official_partial,listed_companies_subset,18,0,32,0,,nasdaq_nordic_iceland_shares,,nasdaq_nordic_iceland_shares,cache_only,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
IDX,official_full,exchange_directory|listed_companies_subset,756,0,1924,0,,idx_company_profiles|idx_listed_companies,,,,962,756,187,19,78.59,97.55,available,maintain,not_applicable
ISE,official_full,exchange_directory,14,0,15,0,,euronext_equities,,,,15,9,6,0,60.0,100.0,available,maintain,not_applicable
JSE,official_partial,listed_companies_subset,85,127,0,244,Stock,jse_etf_list|jse_etn_list,,,,0,0,0,0,,,denominator_missing,denominator_missing,blocked_product_class_gap
KOSDAQ,official_full,exchange_directory,1605,0,1818,0,,krx_listed_companies,,,,1818,1595,3,220,87.73,87.88,available,maintain,not_applicable
KRX,official_full,exchange_directory,903,1088,941,1163,,krx_etf_finder|krx_listed_companies,,,,2104,1959,14,131,93.11,93.73,available,maintain,not_applicable
LSE,official_full,exchange_directory|listed_companies_subset|security_lookup_subset,4010,3020,13989,9874,,lse_company_reports|lse_instrument_directory|lse_price_explorer,lse_company_reports|lse_instrument_directory,lse_company_reports|lse_instrument_directory|lse_price_explorer,empty_refresh|stale_artifact,11092,6852,773,3467,61.77,66.4,available,refresh_unavailable,not_applicable
LUSE,official_partial,listed_companies_subset,22,0,15,0,,luse_listed_companies,,luse_listed_companies,cache_only,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
MSE_MW,official_partial,listed_companies_subset,8,0,8,0,,mse_mw_listed_companies,,mse_mw_listed_companies,cache_only,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
MSX,official_full,exchange_directory,91,0,108,0,,muscat_securities_companies,,muscat_securities_companies,cache_only,108,91,14,3,84.26,96.81,available,refresh_required,not_applicable
Munich,missing,,192,31,0,0,ETF|Stock,,,,,0,0,0,0,,,denominator_missing,official_source_required,not_applicable
NASDAQ,official_full,corporate_action_daily_list|exchange_directory,3498,1266,8572,1359,,nasdaq_listed|nasdaq_trading_system_adds_deletes|sec_company_tickers_exchange,,nasdaq_listed|nasdaq_trading_system_adds_deletes|sec_company_tickers_exchange,stale_artifact,5622,4588,54,980,81.61,82.4,available,refresh_required,not_applicable
NEO,official_full,exchange_directory,68,179,111,329,,cboe_canada_listing_directory,,cboe_canada_listing_directory,stale_artifact,440,213,64,163,48.41,56.65,available,refresh_required,not_applicable
NGX,official_full,exchange_directory|listed_companies_subset,133,12,260,0,ETF,ngx_company_profile_directory|ngx_equities_price_list,,ngx_company_profile_directory|ngx_equities_price_list,stale_artifact,130,130,0,0,100.0,100.0,available,refresh_required,not_applicable
NMFQS,official_partial,security_lookup_subset,0,6,0,7,,nasdaq_mutual_fund_quotes,,nasdaq_mutual_fund_quotes,cache_only,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
NSE_IN,official_full,exchange_directory,2355,148,2637,341,,nse_india_securities_available,,nse_india_securities_available,stale_artifact,2978,2290,235,453,76.9,83.49,available,refresh_required,not_applicable
NSE_KE,official_full,exchange_directory,44,2,66,2,,nse_ke_listed_companies,,nse_ke_listed_companies,stale_artifact,68,11,25,32,16.18,25.58,available,refresh_required,not_applicable
NYSE,official_full,exchange_directory,1930,90,5588,647,,nasdaq_other_listed|sec_company_tickers_exchange,,nasdaq_other_listed|sec_company_tickers_exchange,stale_artifact,3900,1987,569,1344,50.95,59.65,available,refresh_required,not_applicable
NYSE ARCA,official_full,corporate_action_daily_list|exchange_directory,0,2722,17,2691,,nasdaq_other_listed|nasdaq_trading_system_adds_deletes,,nasdaq_other_listed|nasdaq_trading_system_adds_deletes,stale_artifact,2707,2586,29,92,95.53,96.56,available,refresh_required,not_applicable
