listing_key,ticker,exchange,name,isin,country,country_code,country_source,official_source_key,official_source_url,official_reference_scope,official_asset_type,official_listing_status,official_sector,openfigi_target_venue_codes,openfigi_target_venue_security_types,openfigi_target_venue_tickers,openfigi_target_venue_names,openfigi_target_venue_figis,openfigi_exact_venue_common_stock,openfigi_exact_venue_name_or_ticker_support,current_ticker_collision,current_ticker_collision_venues,instrument_evidence_decision,apply_action,sector_action,evidence_reason
"BSE_IN::ANG","ANG","BSE_IN","ANG Lifesciences India Ltd","INE236W01016","India","IN","isin_prefix","bse_india_scrips","https://www.bseindia.com/corporates/List_Scrips.html","exchange_directory","Stock","active","","IB","Common Stock","ANG","ANG LIFESCIENCES INDIA LTD","BBG00HL0YJM5","true","true","true","LSE:Stock","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"BSE_IN::BABA","BABA","BSE_IN","Baba Arts Ltd-$","INE893A01036","India","IN","isin_prefix","bse_india_scrips","https://www.bseindia.com/corporates/List_Scrips.html","exchange_directory","Stock","active","","IB","Common Stock","BBA","BABA ARTS LTD","BBG000CPS9Y3","true","true","true","NYSE:Stock","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"BSE_IN::SDL","SDL","BSE_IN","Span Divergent Ltd-$","INE004E01016","India","IN","isin_prefix","bse_india_scrips","https://www.bseindia.com/corporates/List_Scrips.html","exchange_directory","Stock","active","","IB","Common Stock","SPD","SPAN DIVERGENT LTD","BBG000DYXF37","true","true","true","JSE:Stock","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"CPH::RTX","RTX","CPH","RTX","DK0010267129","Denmark","DK","isin_prefix","nasdaq_nordic_copenhagen_shares","https://api.nasdaq.com/api/nordic/screener/shares","listed_companies_subset","Stock","active","Telecommunications","DC","Common Stock","RTX","RTX A/S","BBG000BKCB04","true","true","true","NYSE:Stock","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"Euronext::BUI","BUI","Euronext","BARBARA BUI","FR0000062788","France","FR","isin_prefix","euronext_equities","https://live.euronext.com/pd_es/data/stocks/download?mics=dm_all_stock","exchange_directory","Stock","active","","FP","Common Stock","BUI","BARBARA BUI","BBG000BJ8T76","true","true","false","","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HEL::LEHTO","LEHTO","HEL","Lehto Group Oyj","FI4000081138","Finland","FI","isin_prefix","nasdaq_nordic_helsinki_shares","https://api.nasdaq.com/api/nordic/screener/shares","listed_companies_subset","Stock","active","Industrials","FH","Common Stock","LEHTO","LEHTO GROUP OYJ","BBG00CLFDS19","true","true","false","","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00712","00712","HKEX","COMTEC SOLAR","KYG234201138","Cayman Islands","KY","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","712","COMTEC SOLAR SYSTEMS GROUP","BBG000NM62R5","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00733","00733","HKEX","HOPEFLUENT","KYG459921071","Cayman Islands","KY","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","733","HOPEFLUENT GROUP HLDGS LTD","BBG000Q367W7","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00771","00771","HKEX","AUTOMATED SYS","BMG0666H1007","Bermuda","BM","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","771","AUTOMATED SYSTEMS HLDGS LTD","BBG000BW87W7","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00888","00888","HKEX","BLOCKFIN HLDG","BMG114281022","Bermuda","BM","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","888","BLOCKFIN HOLDINGS LTD","BBG000GQ31H0","true","true","true","TPEX:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00896","00896","HKEX","HANISON","KYG428581030","Cayman Islands","KY","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","896","HANISON CONSTRUCTION HOLDING","BBG000C06H47","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00909","00909","HKEX","MING YUAN CLOUD","KYG6142R1092","Cayman Islands","KY","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","909","MING YUAN CLOUD GROUP HOLDIN","BBG00VJ1MLR8","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00915","00915","HKEX","DAOHE GLOBAL","BMG2751X1314","Bermuda","BM","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","915","DAOHE GLOBAL GROUP LTD","BBG000MTLHM6","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00921","00921","HKEX","HISENSE HA","CNE100000353","China","CN","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","921","HISENSE HOME APPLIANCES GR-H","BBG000H49KJ8","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00922","00922","HKEX","ANXIANYUAN CH","BMG0400Q1197","Bermuda","BM","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","922","ANXIAN YUAN CHINA HOLDINGS L","BBG000DK74F8","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00924","00924","HKEX","KHOON GROUP","KYG5271A1013","Cayman Islands","KY","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","924","KHOON GROUP LTD","BBG00PGWH613","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
"HKEX::00927","00927","HKEX","FUJIKON IND","BMG3685C1029","Bermuda","BM","isin_prefix","hkex_securities_list","https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx","exchange_directory","Stock","active","","HK","Common Stock","927","FUJIKON IND HLDGS LTD","BBG000BP6JW8","true","true","true","TWSE:ETF","review_common_stock_openfigi","add_to_coverage_expansion","keep_blank_until_official_sector_source","Official active Stock row plus exact target-venue OpenFIGI Common Stock; add only through collision-safe coverage expansion."
