listing_key,ticker,exchange,name,fd_symbol,fd_name,fd_isin,official_ticker,official_name,official_isin,official_source_key,official_sector,official_reference_asset_type,reference_asset_type_conflict,local_same_isin_any_venue,local_same_isin_venues,openfigi_query_type,openfigi_query_value,openfigi_common_stock_match_count,openfigi_common_stock_figis,openfigi_common_stock_names,openfigi_common_stock_exchange_codes,openfigi_security_types,openfigi_match_status,apply_action,reason,stock_sector_action,isin_action
ASX::ACP,ACP,ASX,AUDALIA RESOURCES LIMITED,ACP.AX,Audalia Resources Limited,,ACP,AUDALIA RESOURCES LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,ACP,3,BBG001P2S8D3|BBG001P2S8F1|BBG001VKS659,AUDALIA RESOURCES LTD|AUDALIA RESOURCES LTD|AUDALIA RESOURCES LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::ACU,ACU,ASX,ACUMENTIS GROUP LIMITED,ACU.AX,Acumentis Group Limited,,ACU,ACUMENTIS GROUP LIMITED,,asx_listed_companies,Real Estate,Stock,false,false,,TICKER,ACU,3,BBG000BZMJ67|BBG000BZMJY6|BBG002F3HB09,ACUMENTIS GROUP LTD|ACUMENTIS GROUP LTD|ACUMENTIS GROUP LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::ADY,ADY,ASX,ADMIRALTY RESOURCES NL.,ADY.AX,Admiralty Resources NL,AU000000ADY7,ADY,ADMIRALTY RESOURCES NL.,,asx_listed_companies,Materials,Stock,false,false,,TICKER,ADY,21,BBG000PLJXX6|BBG000PLJYH2|BBG002F3K6K4|BBG00M0XVL25|BBG00M0XVL52|BBG00M0XVL98|BBG00M0XVLD3|BBG00M0XVLH9|BBG00M0XVLJ7|BBG00M0XVLK5|BBG00M0XVLL4|BBG00M0XVLP0|BBG00M0XVLQ9|BBG00M0XVLS7|BBG00M0XVLT6|BBG00M0XVLV3|BBG00M0XVLX1|BBG00M0XVM23|BBG019LPMKL8|BBG01J14TKN6|BBG01J15JVK3,ADMIRALTY RESOURCES NL|ADMIRALTY RESOURCES NL|ADMIRALTY RESOURCES NL|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP|ADYTON RESOURCES CORP,AH|AT|AU|BF|CJ|CN|CV|DG|DK|DS|DV|HD|HX|QF|QG|QH|TG|TK|TN|TV|TW,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::AEI,AEI,ASX,AERIS ENVIRONMENTAL LTD,AEI.AX,Aeris Environmental Ltd,,AEI,AERIS ENVIRONMENTAL LTD,,asx_listed_companies,Industrials,Stock,false,false,,TICKER,AEI,3,BBG000F7R695|BBG000F7R766|BBG002F3K786,AERIS ENVIRONMENTAL LTD|AERIS ENVIRONMENTAL LTD|AERIS ENVIRONMENTAL LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::AER,AER,ASX,AEERIS LTD,AER.AX,Aeeris Limited,,AER,AEERIS LTD,,asx_listed_companies,Communication Services,Stock,false,false,,TICKER,AER,3,BBG007DN3GH2|BBG007DN8NZ2|BBG007DN8SC6,AEERIS LTD|AEERIS LTD|AEERIS LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::AFG,AFG,ASX,AUSTRALIAN FINANCE GROUP LTD,AFG.AX,Australian Finance Group Limited,,AFG,AUSTRALIAN FINANCE GROUP LTD,,asx_listed_companies,Financials,Stock,false,false,,TICKER,AFG,3,BBG000Q6DRL0|BBG008NMQTD2|BBG008NMQTJ6,AUSTRALIAN FINANCE GROUP LTD|AUSTRALIAN FINANCE GROUP LTD|AUSTRALIAN FINANCE GROUP LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::AFL,AFL,ASX,AF LEGAL GROUP LTD,AFL.AX,AF Legal Group Limited,,AFL,AF LEGAL GROUP LTD,,asx_listed_companies,Industrials,Stock,false,false,,TICKER,AFL,3,BBG000JQSX53|BBG000JQSXS8|BBG002F3JSS0,AF LEGAL GROUP|AF LEGAL GROUP|AF LEGAL GROUP,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::AFP,AFP,ASX,AFT PHARMACEUTICALS LIMITED,AFP.AX,AFT Pharmaceuticals Limited,,AFP,AFT PHARMACEUTICALS LIMITED,,asx_listed_companies,Health Care,Stock,false,false,,TICKER,AFP,3,BBG00BQXDKJ5|BBG00BQXDKK3|BBG00BQXDKP8,AFT PHARMACEUTICALS LTD|AFT PHARMACEUTICALS LTD|AFT PHARMACEUTICALS LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::AIV,AIV,ASX,ACTIVEX LIMITED,AIV.AX,ActivEX Limited,,AIV,ACTIVEX LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,AIV,3,BBG000BPLVG2|BBG000BPLW25|BBG002F3J4D9,ACTIVEX LTD|ACTIVEX LTD|ACTIVEX LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::ALB,ALB,ASX,ALBION RESOURCES LIMITED,ALB.AX,Albion Resources Limited,AU0000142002,ALB,ALBION RESOURCES LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,ALB,3,BBG00ZVZ34C5|BBG00ZVZ34D4|BBG00ZVZ34J8,ALBION RESOURCES LTD/AU|ALBION RESOURCES LTD/AU|ALBION RESOURCES LTD/AU,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
