status,mapped_exchange,fd_exchange,fd_symbol,fd_name,fd_isin,fd_sector,official_ticker,official_name,official_isin,official_source_key,evidence
same_isin,LSE,LSE,ATR.L,Schroder Asian Total Return Inv. Company,GB0008710799,Financials,ATR,SCHRODER ASIAN TOTAL RETURN INVESTMENT COMPANY PLC,GB0008710799,lse_price_explorer,official active reference: exact ISIN
same_isin,LSE,LSE,CRS.L,Crystal Amber Fund Limited,GG00B1Z2SL48,Financials,CRS,CRYSTAL AMBER FUND LIMITED,GG00B1Z2SL48,lse_price_explorer,official active reference: exact ISIN
same_isin,LSE,LSE,PIN.L,Pantheon International PLC,GB00BP37WF17,Financials,PIN,PANTHEON INTERNATIONAL PLC,GB00BP37WF17,lse_price_explorer,official active reference: exact ISIN
same_ticker_name,ASX,ASX,ACP.AX,Audalia Resources Limited,,Materials,ACP,AUDALIA RESOURCES LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,ACU.AX,Acumentis Group Limited,,Real Estate,ACU,ACUMENTIS GROUP LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,ADY.AX,Admiralty Resources NL,AU000000ADY7,Materials,ADY,ADMIRALTY RESOURCES NL.,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AEI.AX,Aeris Environmental Ltd,,Industrials,AEI,AERIS ENVIRONMENTAL LTD,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AER.AX,Aeeris Limited,,Information Technology,AER,AEERIS LTD,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AFG.AX,Australian Finance Group Limited,,Financials,AFG,AUSTRALIAN FINANCE GROUP LTD,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AFL.AX,AF Legal Group Limited,,Consumer Discretionary,AFL,AF LEGAL GROUP LTD,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AFP.AX,AFT Pharmaceuticals Limited,,Health Care,AFP,AFT PHARMACEUTICALS LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AIV.AX,ActivEX Limited,,Materials,AIV,ACTIVEX LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,ALB.AX,Albion Resources Limited,AU0000142002,Materials,ALB,ALBION RESOURCES LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,ALC.AX,Alcidion Group Limited,,Health Care,ALC,ALCIDION GROUP LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AMH.AX,Amcil Limited,,Financials,AMH,AMCIL LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AMN.AX,Agrimin Limited,,Materials,AMN,AGRIMIN LIMITED,,asx_listed_companies,official active reference: ticker + name
same_ticker_name,ASX,ASX,AOA.AX,Ausmon Resources Limited,,Materials,AOA,AUSMON RESOURCES LIMITED,,asx_listed_companies,official active reference: ticker + name
