mapped_exchange,rows,same_ticker_name_rows,same_isin_rows,review_security_type_required,manual_reference_asset_type_conflict,manual_non_equity_name_signal,existing_local_other_asset_type,blocked_non_common_stock,reference_asset_type_conflict_rows,local_same_isin_any_venue_rows
ASX,89,89,0,89,0,0,0,0,0,0
BSE_IN,95,95,0,95,0,0,0,0,0,6
Bursa,46,46,0,46,0,0,0,0,0,0
CPH,1,1,0,1,0,0,0,0,0,0
Euronext,5,5,0,5,0,0,0,0,0,0
HEL,1,1,0,1,0,0,0,0,0,0
IDX,64,64,0,64,0,0,0,0,0,0
KOSDAQ,29,29,0,29,0,0,0,0,0,0
KRX,16,16,0,16,0,0,0,0,0,0
LSE,54,51,3,48,6,0,0,0,6,0
NASDAQ,30,30,0,26,0,4,0,0,4,0
NYSE,148,148,0,19,121,3,5,0,129,0
OSL,1,1,0,1,0,0,0,0,0,0
OTC,32,32,0,32,0,0,0,0,0,0
PSE_CZ,1,1,0,1,0,0,0,0,0,0
QSE,1,1,0,1,0,0,0,0,0,0
SET,183,183,0,183,0,0,0,0,0,0
SGX,21,21,0,21,0,0,0,0,0,0
SIX,1,1,0,1,0,0,0,0,0,0
STO,12,12,0,12,0,0,0,0,0,1
TADAWUL,12,12,0,12,0,0,0,0,0,0
TASE,21,21,0,21,0,0,0,0,0,0
TSE,22,22,0,22,0,0,0,0,0,0
TSX,5,5,0,5,0,0,0,0,0,0
TSXV,30,30,0,30,0,0,0,0,0,0
XETRA,12,12,0,12,0,0,0,0,0,6
