financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
533.SI,533,.SI,SGX,ABR Holdings Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
5DN.SI,5DN,.SI,SGX,Ezra Holdings Ltd,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
5E2.SI,5E2,.SI,SGX,Seatrium Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
5JS.SI,5JS,.SI,SGX,Indofood Agri Resources,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
5ML.SI,5ML,.SI,SGX,Old Chang Kee Ltd.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
5WH.SI,5WH,.SI,SGX,Rex International Holding,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
9CI.SI,9CI,.SI,SGX,CapitaLand Group Pte. Ltd.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
AV5.SI,AV5,.SI,SGX,Chemoil Energy Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
B2W.SI,B2W,.SI,SGX,Total Access Communication,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
B58.SI,B58,.SI,SGX,Banyan Group Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
BN4.SI,BN4,.SI,SGX,Keppel Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
C07.SI,C07,.SI,SGX,Jardine Cycle & Carriage Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
C09.SI,C09,.SI,SGX,City Developments Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
