financialdata_symbol,financialdata_ticker,financialdata_exchange,financialdata_name,financialdata_review_scope,official_ticker,official_exchange,official_name,official_isin,official_source_key,official_reference_scope,decision,reason,financialdata_review_queue,review_priority,review_strategy,apply_eligibility,verification_evidence_required,recommended_next_source,source_gate,financialdata_discovery_context,official_identity_context,supplement_review_context
2852.KL,2852,Bursa,Cahya Mata Sarawak Berhad,current_exchange_gap,2852,Bursa,CAHYA MATA SARAWAK BHD,MYL2852OO001,bursa_equity_isin,listed_companies_subset,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=Bursa;financialdata_ticker=2852;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=Bursa;official_ticker=2852;official_source_key=bursa_equity_isin;official_reference_scope=listed_companies_subset;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
042670.KS,042670,KRX,"HD Hyundai Infracore Co., Ltd.",current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=KRX;financialdata_ticker=042670;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
053000.KS,053000,KRX,Woori Financial Group Inc.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=KRX;financialdata_ticker=053000;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
300720.KS,300720,KRX,Hanil Cement,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=KRX;financialdata_ticker=300720;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
AZUL4.SA,AZUL4,B3,Azul Brazilian Airlines,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=AZUL4;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
BPAC11.SA,BPAC11,B3,Banco BTG Pactual S.A.,current_exchange_gap,BPAC11,B3,BCO BTG PACTUAL S.A.,BRBPACUNT006,b3_instruments_equities,exchange_directory,preserve,already_in_financialdata_supplement,preserve_existing_reviewed_supplement,P4,preserve_existing_reviewed_supplement_no_new_apply,preserve_existing_reviewed_supplement_no_new_apply,existing_reviewed_supplement_retained_with_original_official_source,Existing reviewed FinancialData supplement source; re-check only if the original official source changes.,Preserve existing reviewed supplement; do not create a new row from FinancialData alone.,financialdata_exchange=B3;financialdata_ticker=BPAC11;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=B3;official_ticker=BPAC11;official_source_key=b3_instruments_equities;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=preserve;reason=already_in_financialdata_supplement;financialdata_review_queue=preserve_existing_reviewed_supplement;apply_eligibility=preserve_existing_reviewed_supplement_no_new_apply;verification_evidence_required=existing_reviewed_supplement_retained_with_original_official_source
BPAN4.SA,BPAN4,B3,Banco Pan S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=BPAN4;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
BRFS3.SA,BRFS3,B3,BRF S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=BRFS3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
CCRO3.SA,CCRO3,B3,CCR S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=CCRO3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
ELET3.SA,ELET3,B3,Centrais Elétricas Brasileiras S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=ELET3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
