financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
AALB.AS,AALB,.AS,AMS,Aalberts N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::AALB,AALBERTS NV,AMS::AALB,AMS,1,0
ABN.AS,ABN,.AS,AMS,ABN AMRO Bank N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::ABN,ABN AMRO BANK N.V.,AMS::ABN,AMS,1,0
AD.AS,AD,.AS,AMS,Koninklijke Ahold Delhaize N.V.,secondary_review,true,2026-04-17T07:41:14Z,ticker_present_other_exchange,review_exchange_mapping_or_cross_listing,true,current_exchange_mapping_review,review_exchange_mapping_before_use,,,NYSE::AD,NYSE,0,0
ADYEN.AS,ADYEN,.AS,AMS,Adyen N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::ADYEN,ADYEN,AMS::ADYEN,AMS,1,0
AGN.AS,AGN,.AS,AMS,Aegon Ltd.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::AGN,AEGON,AMS::AGN,AMS,1,0
AJAX.AS,AJAX,.AS,AMS,AFC Ajax N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::AJAX,AJAX,AMS::AJAX,AMS,1,0
AKZA.AS,AKZA,.AS,AMS,Akzo Nobel N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::AKZA,AKZO NOBEL,AMS::AKZA,AMS,1,0
APAM.AS,APAM,.AS,AMS,Aperam S.A.,secondary_review,true,2026-04-17T07:41:14Z,ticker_present_other_exchange,review_exchange_mapping_or_cross_listing,true,current_exchange_mapping_review,review_exchange_mapping_before_use,,,NYSE::APAM,NYSE,0,0
ARCAD.AS,ARCAD,.AS,AMS,Arcadis N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::ARCAD,ARCADIS,AMS::ARCAD,AMS,1,0
ASM.AS,ASM,.AS,AMS,ASM,secondary_review,true,2026-04-17T07:41:14Z,ticker_present_other_exchange,review_exchange_mapping_or_cross_listing,true,current_exchange_mapping_review,review_exchange_mapping_before_use,,,NYSE MKT::ASM,NYSE MKT,0,0
