isin,registered_country,isin_valid,cluster_count,listing_count,listing_keys,member_names,member_exchanges,member_tickers,shared_tickers,collision_signals,decision_candidate,review_queue,review_gate,recommended_next_source,closure_status
CA08663L1040,Canada,true,2,2,NYSE ARCA::SPXU|TSX::SPXU,Global X S&P 500 Index Bull ETF | ProShares UltraPro Short S&P500,NYSE ARCA | TSX,SPXU,SPXU,name_clusters_disjoint;ticker_collision;registered_country_known,ticker_collision_isin_misassignment_suspected,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US9621661043,United States,true,5,15,LSE::0LWG|NYSE::WY|OTC::AIABF|OTC::CIMDF|OTC::DYNDF|OTC::GEBHF|OTC::GMALF|OTC::KLKBY|OTC::MLYNF|OTC::PNAGF|OTC::RMGNF|OTC::RNMBF|OTC::SDPNF|OTC::SIMEF|OTC::TNABF,Capital A Berhad | Dye & Durham Limited | RHI Magnesita N.V | Rheinmetall AG | Weyerhaeuser Co.,LSE | NYSE | OTC,0LWG | AIABF | CIMDF | DYNDF | GEBHF | GMALF | KLKBY | MLYNF | PNAGF | RMGNF | RNMBF | SDPNF | SIMEF | TNABF | WY,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
DE000A161408,Germany,true,2,5,LSE::0RVI|OTC::HELFY|OTC::HLFFF|OTC::HLFGY|OTC::HLTFF,HelloFresh SE | Hilton Food Group plc,LSE | OTC,0RVI | HELFY | HLFFF | HLFGY | HLTFF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE00B6R52259,Ireland,true,2,5,LSE::ISAC|NASDAQ::SSAC|TASE::IS-FF505|TASE::ISFF505|XETRA::IUSQ,ISHARES V PLC | SPACSphere Acquisition Corp. Class A Ordinary Shares,LSE | NASDAQ | TASE | XETRA,IS-FF505 | ISAC | ISFF505 | IUSQ | SSAC,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
LU1900066207,Luxembourg,true,2,5,LSE::RIOL|LSE::RIOU|OTC::BRANF|SIX::LYRIO|XETRA::LBRA,Baran Group Ltd | Lyxor MSCI Brazil UCITS ETF Acc,LSE | OTC | SIX | XETRA,BRANF | LBRA | LYRIO | RIOL | RIOU,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
NL0015000IY2,Netherlands,true,2,5,LSE::0UMG|OTC::NZSCF|OTC::UMGNF|OTC::UNVGY|XETRA::0VD,New Zealand Coastal Seafoods Limited | Universal Music Group N.V.,LSE | OTC | XETRA,0UMG | 0VD | NZSCF | UMGNF | UNVGY,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US57636Q1040,United States,true,3,5,ASX::MA1|LSE::0R2Z|LSE::MAST|NYSE::MA|XETRA::M4I,MA CREDIT INCOME TRUST | MAST Energy Developments PLC | Mastercard Inc.,ASX | LSE | NYSE | XETRA,0R2Z | M4I | MA | MA1 | MAST,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA53056H1047,Canada,true,2,4,LSE::0V46|OTC::LGDTF|OTC::PGWFF|TSX::LGD,Liberty Gold Corp. | PGG Wrightson Limited,LSE | OTC | TSX,0V46 | LGD | LGDTF | PGWFF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA8119161054,Canada,true,3,4,LSE::0VGV|NYSE::SA|OTC::BCDRF|OTC::SARDF,Banco Santander S.A | Sanford Limited | Seabridge Gold Inc.,LSE | NYSE | OTC,0VGV | BCDRF | SA | SARDF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CH0012142631,Switzerland,true,2,4,LSE::0QJS|OTC::CNHHY|OTC::CRRNF|SIX::CLN,Cairn Homes plc | Clariant AG,LSE | OTC | SIX,0QJS | CLN | CNHHY | CRRNF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CH0024638212,Switzerland,true,2,4,LSE::0QOT|OTC::SHLRF|SET::SHR|SIX::SCHN,S Hotels and Resorts Public Company Limited | Schindler Holding AG,LSE | OTC | SET | SIX,0QOT | SCHN | SHLRF | SHR,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
