campaign,listing_key,ticker,exchange,asset_type,name,isin,residual_type,severity,cluster_size,evidence_source,decision,review_priority,verification_evidence_required,recommended_next_source,source_gate
C4_identity_residual_burn_down,LSE::0A90,0A90,LSE,Stock,0A90,LU1789205884,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,KRX::460280,460280,KRX,ETF,460280,KR7460280001,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,AMS::ACOMO,ACOMO,AMS,Stock,ACOMO,NL0000313286,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,AMS::ADYEN,ADYEN,AMS,Stock,ADYEN,NL0012969182,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,AMS::AJAX,AJAX,AMS,Stock,AJAX,NL0000018034,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,CSE_MA::AKDITAL,AKDITAL,CSE_MA,Stock,AKDITAL,MA0000012585,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,OSL::AKER,AKER,OSL,Stock,AKER,NO0010234552,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,ATHEX::AKTR,AKTR,ATHEX,Stock,AKTR,GRS432003028,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,AMS::ALFEN,ALFEN,AMS,Stock,ALFEN,NL0012817175,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
C4_identity_residual_burn_down,OTC::ANNSD,ANNSD,OTC,Stock,ANNSD,,name_equals_ticker,medium,1,data/listings.csv,manual_review_requires_official_identifier_evidence,P2,valid_isin_checksum_openfigi_id_isin_and_official_masterfile_or_same_legal_entity_evidence,"Official masterfile, national numbering agency, OpenFIGI ID_ISIN, issuer page, CIK/LEI, or corporate-action evidence.","Never collapse or rewrite identities from shared ticker, shared name token, or umbrella ISIN alone."
