campaign,listing_key,ticker,exchange,asset_type,current_name,official_or_feed_name,source_kind,evidence_source,decision,review_priority,confidence_reason,verification_evidence_required,recommended_next_source,source_gate
C2_name_freshness,OTC::ACQC,ACQC,OTC,Stock,Relativity Acquisition Corp.,RELATIVITY ACQ CORP A,entry_quality_official_name_mismatch,OTC Markets:otc_markets_stock_screener,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,OTC::ADLRF,ADLRF,OTC,Stock,Adrian Resources Ltd,ALARIS EQUITY PARTNERS INCOME TR,entry_quality_official_name_mismatch,OTC Markets:otc_markets_security_profile,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,ASX::AEM,AEM,ASX,Stock,Advanced Energy Minerals Ltd,ADVANCED ENGINEERED MATERIALS LTD,entry_quality_official_name_mismatch,ASX:asx_listed_companies,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,OTC::AGNPF,AGNPF,OTC,Stock,Algernon Health Inc.,GREY MATTERS HEALTH INC,entry_quality_official_name_mismatch,OTC Markets:otc_markets_stock_screener|SEC:sec_company_tickers_exchange,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,NASDAQ::AGNT,AGNT,NASDAQ,Stock,eXp World Holdings Inc,"AGNT, Inc.",entry_quality_official_name_mismatch,Nasdaq Trader:nasdaq_listed|SEC:sec_company_tickers_exchange,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,NYSE::AIB,AIB,NYSE,Stock,"BlockchAIn Digital Infrastructure, Inc Common Shares",AIB Data Centers Inc.,entry_quality_official_name_mismatch,SEC:sec_company_tickers_exchange,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,BATS::AKAL,AKAL,BATS,ETF,T-REX 2X Long AKAM Daily Target ETF,ETF Opportunities Trust,entry_quality_official_name_mismatch,Nasdaq Trader:nasdaq_trading_system_adds_deletes,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,TSXV::AXO,AXO,TSXV,Stock,Axo Metals Corp.,AXO Copper Corp.,entry_quality_official_name_mismatch,TMX:tmx_listed_issuers,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,NASDAQ::BIRD,BIRD,NASDAQ,Stock,Allbirds Inc,"Smartbird, Inc.",entry_quality_official_name_mismatch,Nasdaq Trader:nasdaq_listed|SEC:sec_company_tickers_exchange,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
C2_name_freshness,NYSE::BLX,BLX,NYSE,Stock,Foreign Trade Bank of Latin America Inc,"BLADEX, INC.",entry_quality_official_name_mismatch,Nasdaq Trader:nasdaq_other_listed|SEC:sec_company_tickers_exchange,manual_review_name_update_or_matcher_false_positive,P1,official_active_reference_name_has_weak_overlap_with_current_name,official_current_name_plus_same_listing_identity_or_matcher_regression_evidence,"Official exchange directory, issuer page, OpenFIGI mismatch evidence, or corporate-action notice.",Do not update names until official current-name evidence proves the same listing identity.
