campaign,listing_key,ticker,exchange,asset_type,name,target_field,current_value,official_values,canonical_value,evidence_source,confidence_reason,decision,review_priority,verification_evidence_required,recommended_next_source,source_gate
C1_sector_etf_category_truth,SZSE::000004,000004,SZSE,Stock,Shenzhen CAU Technology Co Ltd,stock_sector,Financials,Information Technology,Information Technology,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000007,000007,SZSE,Stock,ShenZhen Zero-Seven Co Ltd,stock_sector,Consumer Discretionary,Real Estate,Real Estate,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000009,000009,SZSE,Stock,China Baoan Group Co Ltd,stock_sector,Industrials,Financials,Financials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000016,000016,SZSE,Stock,Konka Group Co Ltd,stock_sector,Information Technology,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000017,000017,SZSE,Stock,China Bicycle Co Holdings Ltd,stock_sector,Consumer Discretionary,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000019,000019,SZSE,Stock,Shenzhen Shenbao Industrial Co Ltd,stock_sector,Consumer Staples,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000021,000021,SZSE,Stock,Shenzhen Kaifa Technology Co Ltd,stock_sector,Information Technology,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000028,000028,SZSE,Stock,China National Accord Medicines Corp Ltd,stock_sector,Health Care,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000030,000030,SZSE,Stock,FAWER Automotive Parts Ltd Co,stock_sector,Consumer Discretionary,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000034,000034,SZSE,Stock,Digital China Group Co Ltd,stock_sector,Information Technology,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
