listing_key,ticker,exchange,name,official_sector,sector_update,decision,reason,official_source_context,mapping_review_context,apply_gate_context
NGX::ABCTRANS,ABCTRANS,NGX,ABC TRANSPORT PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::ACADEMY,ACADEMY,NGX,ACADEMY PRESS PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::AFROMEDIA,AFROMEDIA,NGX,AFROMEDIA PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::CAVERTON,CAVERTON,NGX,CAVERTON OFFSHORE SUPPORT GRP PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::CHELLARAM,CHELLARAM,NGX,CHELLARAMS PLC,CONGLOMERATES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=CONGLOMERATES,official_sector=CONGLOMERATES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::CILEASING,CILEASING,NGX,C & I LEASING PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::CUSTODIAN,CUSTODIAN,NGX,CUSTODIAN INVESTMENT PLC,CONGLOMERATES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=CONGLOMERATES,official_sector=CONGLOMERATES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::DAARCOMM,DAARCOMM,NGX,DAAR COMMUNICATIONS PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::EUNISELL,EUNISELL,NGX,EUNISELL INTERLINKED PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::IKEJAHOTEL,IKEJAHOTEL,NGX,IKEJA HOTELS PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::JOHNHOLT,JOHNHOLT,NGX,JOHN HOLT PLC,CONGLOMERATES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=CONGLOMERATES,official_sector=CONGLOMERATES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::JULI,JULI,NGX,JULI PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::LEARNAFRCA,LEARNAFRCA,NGX,LEARN AFRICA PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::NAHCO,NAHCO,NGX,NIGERIAN AVIATION HANDLING CO. PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::NSLTECH,NSLTECH,NGX,SECURE ELECTRONIC TECHNOLOGY PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::REDSTAREX,REDSTAREX,NGX,RED STAR EXPRESS PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::RTBRISCOE,RTBRISCOE,NGX,R T BRISCOE PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::SKYAVN,SKYAVN,NGX,SKYWAY AVIATION HANDLING COMPANY PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::TANTALIZER,TANTALIZER,NGX,TANTALIZERS PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::TRANSCOHOT,TRANSCOHOT,NGX,TRANSCORP HOTELS PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::TRANSCORP,TRANSCORP,NGX,TRANSNATIONAL CORPORATION OF NIGERIA PLC,CONGLOMERATES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=CONGLOMERATES,official_sector=CONGLOMERATES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::TRANSEXPR,TRANSEXPR,NGX,TRANS-NATIONWIDE EXPRESS PLC,SERVICES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=SERVICES,official_sector=SERVICES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::UACN,UACN,NGX,UAC OF NIGERIA PLC,CONGLOMERATES,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=CONGLOMERATES,official_sector=CONGLOMERATES;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
NGX::VFDGROUP,VFDGROUP,NGX,VFD GROUP,INVESTMENT,,skip,unsupported_broad_ngx_sector_label,exchange=NGX;official_sector=INVESTMENT,official_sector=INVESTMENT;sector_update=none;mapping_supported=false,decision=skip;reason=unsupported_broad_ngx_sector_label
