rank,exchange,collision_adjusted_recall_pct,true_missing_excluding_collisions,collision_hidden_missing,official_recall_pct,supplement_lane,next_action
1,FSX,56.28,6196,3949,44.02,refresh_only,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
2,OTC,69.47,3633,25,69.32,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
3,LSE,66.05,3513,790,61.36,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
4,NYSE,59.67,1339,566,50.98,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
5,NASDAQ,82.32,982,64,81.38,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
6,Borsa Italiana,23.79,801,1856,8.6,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
7,BSE_IN,80.01,631,1846,50.49,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
8,NSE_IN,82.15,540,460,71.31,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
9,Euronext,80.93,315,364,66.32,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
10,XETRA,92.92,312,707,80.07,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
11,UPCOM,0.67,296,520,0.24,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
12,BATS,81.99,282,57,79.11,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
13,KOSDAQ,87.67,224,3,87.52,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
14,PSX,67.24,190,142,54.02,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
15,NEO,55.7,167,66,47.4,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
16,BVB,37.39,144,119,24.64,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
17,KRX,93.36,139,14,92.74,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
18,B3,90.17,133,0,90.17,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
19,PSE,57.89,112,119,40.0,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
20,HKEX,96.84,99,70,94.73,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
21,NYSE ARCA,96.6,92,29,95.57,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
22,TSE,98.39,66,335,90.98,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
23,AMS,86.54,58,178,61.25,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
24,TWSE,95.39,49,31,92.69,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
25,NYSE MKT,82.67,48,32,74.11,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
26,SET,95.43,37,133,81.95,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
27,HNX,76.47,32,163,34.78,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
28,NSE_KE,25.58,32,25,16.18,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
29,BME,90.77,25,0,90.77,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
30,BIST,96.52,22,22,93.28,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
31,IDX,97.55,19,187,78.59,not_in_supplement_allowlist,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
32,CSE_MA,5.56,17,64,1.22,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
33,SGX,97.28,17,123,81.31,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
34,CSE_LK,96.23,12,0,96.23,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
35,BK,90.18,11,28,72.14,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
36,DFM,83.33,9,17,63.38,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
37,ADX,93.41,6,31,69.67,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
38,BHB,87.5,4,9,68.29,collision_free_supplement,repair parser/source coverage or add reviewed official evidence for true missing active symbols.
