listing_key,ticker,exchange,asset_type,current_name,proposed_name,decision,official_sources,supporting_sources
ASX::AEM,AEM,ASX,Stock,Advanced Energy Minerals Ltd,Advanced Engineered Materials LTD,accept,asx_listed_companies,asx_listed_companies
NASDAQ::AGNT,AGNT,NASDAQ,Stock,eXp World Holdings Inc,"AGNT, Inc.",accept,nasdaq_listed|sec_company_tickers_exchange,nasdaq_listed|sec_company_tickers_exchange
NYSE::AIB,AIB,NYSE,Stock,"BlockchAIn Digital Infrastructure, Inc Common Shares",AIB Data Centers Inc.,accept,sec_company_tickers_exchange,sec_company_tickers_exchange
BATS::AKAL,AKAL,BATS,ETF,T-REX 2X Long AKAM Daily Target ETF,ETF Opportunities Trust,accept,nasdaq_trading_system_adds_deletes,nasdaq_trading_system_adds_deletes
TSXV::AXO,AXO,TSXV,Stock,Axo Metals Corp.,AXO Copper Corp.,accept,tmx_listed_issuers,tmx_listed_issuers
NASDAQ::BIRD,BIRD,NASDAQ,Stock,Allbirds Inc,"Smartbird, Inc.",accept,nasdaq_listed|sec_company_tickers_exchange,nasdaq_listed|sec_company_tickers_exchange
NYSE::BLX,BLX,NYSE,Stock,Foreign Trade Bank of Latin America Inc,"Bladex, Inc.",accept,nasdaq_other_listed|sec_company_tickers_exchange,nasdaq_other_listed|sec_company_tickers_exchange
NYSE::BVN,BVN,NYSE,Stock,Compania de Minas Buenaventura SAA ADR,Buenaventura Mining Company Inc.,accept,nasdaq_other_listed|sec_company_tickers_exchange,nasdaq_other_listed
NYSE MKT::CTGO,CTGO,NYSE MKT,Stock,Contango ORE Inc,Contango Silver & Gold Inc.,accept,nasdaq_other_listed,nasdaq_other_listed
NYSE ARCA::CTWO,CTWO,NYSE ARCA,ETF,COtwo Advisors Physical European Carbon Allowance Trust,,skip,nasdaq_other_listed,
NYSE::GORO,GORO,NYSE,Stock,Gold Resource Corporation,Goldgroup Mining Inc.,accept,sec_company_tickers_exchange,sec_company_tickers_exchange
NASDAQ::GREE,GREE,NASDAQ,Stock,Greenidge Generation Holdings Inc,Vulcan Infrastructure & Power Inc.,accept,sec_company_tickers_exchange,sec_company_tickers_exchange
LSE::ISEM,ISEM,LSE,ETF,iShares II Public Limited Company - iShares MSCI Emerging Markets Islamic UCITS ETF,Leverage Shares Public Limited Co. Is Semiconductors Leaders ETP,accept,lse_company_reports|lse_price_explorer,lse_company_reports|lse_price_explorer
ASX::MGX,MGX,ASX,Stock,Mount Gibson Iron Ltd,Mgx Resources Limited,accept,asx_listed_companies,asx_listed_companies
TSXV::MKT,MKT,TSXV,Stock,Prospect Prediction Markets Inc.,DeepMarkit Corp.,accept,tmx_listed_issuers,tmx_listed_issuers
BATS::OCNL,OCNL,BATS,ETF,T-REX 2X Long DOCN Daily Target ETF,ETF Opportunities Trust,accept,nasdaq_trading_system_adds_deletes,nasdaq_trading_system_adds_deletes
BATS::PENU,PENU,BATS,ETF,T-REX 2X Long PENG Daily Target ETF,ETF Opportunities Trust,accept,nasdaq_trading_system_adds_deletes,nasdaq_trading_system_adds_deletes
ASX::PFE,PFE,ASX,Stock,Pantera Lithium Ltd,Pantera Minerals Limited,accept,asx_listed_companies,asx_listed_companies
ASX::PMT,PMT,ASX,Stock,Patriot Battery Metals Inc,Pmet Resources Inc.,accept,asx_listed_companies,asx_listed_companies
NASDAQ::PN,PN,NASDAQ,Stock,Skycorp Solar Group Limited Ordinary Shares,PN Smart Energy Limited,accept,nasdaq_listed|sec_company_tickers_exchange,nasdaq_listed|sec_company_tickers_exchange
NASDAQ::RTB,RTB,NASDAQ,Stock,Ryvyl Inc,"RTB Digital, Inc.",accept,nasdaq_listed|sec_company_tickers_exchange,nasdaq_listed|sec_company_tickers_exchange
NASDAQ::RUM,RUM,NASDAQ,Stock,Rumble Inc.,RUM Group Inc.,accept,nasdaq_listed|sec_company_tickers_exchange,nasdaq_listed|sec_company_tickers_exchange
NYSE::SRXH,SRXH,NYSE,Stock,SRx Health Solutions Inc.,SRX Global Inc.,accept,sec_company_tickers_exchange,sec_company_tickers_exchange
NYSE::TGB,TGB,NYSE,Stock,Taseko Mines Ltd,Trekor Metals Ltd,accept,sec_company_tickers_exchange,sec_company_tickers_exchange
LSE::TIR,TIR,LSE,Stock,Tiger Royalties and investments Plc,Tiger Alpha PLC ORD 0.1P,accept,lse_company_reports,lse_company_reports
NASDAQ::VYNE,VYNE,NASDAQ,Stock,Vyne Therapeutics Inc,"Yarrow Bioscience, Inc.",accept,sec_company_tickers_exchange,sec_company_tickers_exchange
